gene_symbol	category	source
FOS	immediate_early_AP1	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
FOSB	immediate_early_AP1	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
FOSL1	immediate_early_AP1	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
FOSL2	immediate_early_AP1	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
JUN	immediate_early_AP1	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
JUNB	immediate_early_AP1	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
JUND	immediate_early_AP1	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
EGR1	immediate_early_transcription_factor	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
EGR2	immediate_early_transcription_factor	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
EGR3	immediate_early_transcription_factor	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
ATF3	immediate_early_transcription_factor	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
NR4A1	immediate_early_nuclear_receptor	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
NR4A2	immediate_early_nuclear_receptor	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
NR4A3	immediate_early_nuclear_receptor	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
DUSP1	immediate_early_feedback	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
DUSP2	immediate_early_feedback	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
DUSP5	immediate_early_feedback	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
DUSP6	immediate_early_feedback	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
IER2	immediate_early_response	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
IER3	immediate_early_response	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
ZFP36	immediate_early_RNA_regulation	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
BTG2	immediate_early_antiproliferative	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
CCN1	immediate_early_matrix_response	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
CCN2	immediate_early_matrix_response	Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200
