probe_id,gene_symbol_raw,entrez_id_raw,gene_symbol,entrez_id
220951_s_at,A1CF,29974,A1CF,29974
217757_at,A2M,2,A2M,2
219488_at,A4GALT,53947,A4GALT,53947
221131_at,A4GNT,51146,A4GNT,51146
218075_at,AAAS,8086,AAAS,8086
218434_s_at,AACS,65985,AACS,65985
205969_at,AADAC,13,AADAC,13
202851_at,AAGAB,79719,AAGAB,79719
202852_s_at,AAGAB,79719,AAGAB,79719
205434_s_at,AAK1,22848,AAK1,22848
205435_s_at,AAK1,22848,AAK1,22848
211186_s_at,AAK1,22848,AAK1,22848
214956_at,AAK1,22848,AAK1,22848
214998_at,AAK1,22848,AAK1,22848
220268_at,AAMDC,28971,AAMDC,28971
221599_at,AAMDC,28971,AAMDC,28971
221600_s_at,AAMDC,28971,AAMDC,28971
201511_at,AAMP,14,AAMP,14
207225_at,AANAT,15,AANAT,15
218089_at,AAR2,25980,AAR2,25980
201000_at,AARS,16,AARS,16
202169_s_at,AASDHPPT,60496,AASDHPPT,60496
202170_s_at,AASDHPPT,60496,AASDHPPT,60496
210852_s_at,AASS,10157,AASS,10157
214829_at,AASS,10157,AASS,10157
209165_at,AATF,26574,AATF,26574
205986_at,AATK,9625,AATK,9625
206527_at,ABAT,18,ABAT,18
209459_s_at,ABAT,18,ABAT,18
209460_at,ABAT,18,ABAT,18
203504_s_at,ABCA1,19,ABCA1,19
203505_at,ABCA1,19,ABCA1,19
216066_at,ABCA1,19,ABCA1,19
220159_at,ABCA11P,79963,ABCA11P,79963
215465_at,ABCA12,26154,ABCA12,26154
210099_at,ABCA2,20,ABCA2,20
210100_s_at,ABCA2,20,ABCA2,20
212772_s_at,ABCA2,20,ABCA2,20
204343_at,ABCA3,21,ABCA3,21
210082_at,ABCA4,24,ABCA4,24
213353_at,ABCA5,23461,ABCA5,23461
217504_at,ABCA6,23460,ABCA6,23460
219577_s_at,ABCA7,10347,ABCA7,10347
204719_at,ABCA8,10351,ABCA8,10351
209993_at,ABCB1,5243,ABCB1,5243
208288_at,ABCB11,8647,ABCB11,8647
211224_s_at,ABCB11,8647,ABCB11,8647
207819_s_at,ABCB4,5244,ABCB4,5244
209994_s_at,ABCB4///ABCB1,5244///5243,ABCB4///ABCB1,5244///5243
203191_at,ABCB6,10058,ABCB6,10058
203192_at,ABCB6,10058,ABCB6,10058
209620_s_at,ABCB7,22,ABCB7,22
206317_s_at,ABCB8,11194,ABCB8,11194
207561_s_at,ABCB8///ASIC3,11194///9311,ABCB8///ASIC3,11194///9311
207321_s_at,ABCB9,23457,ABCB9,23457
214209_s_at,ABCB9,23457,ABCB9,23457
202804_at,ABCC1,4363,ABCC1,4363
202805_s_at,ABCC1,4363,ABCC1,4363
213485_s_at,ABCC10,89845,ABCC10,89845
215873_x_at,ABCC10,89845,ABCC10,89845
206155_at,ABCC2,1244,ABCC2,1244
208161_s_at,ABCC3,8714,ABCC3,8714
209641_s_at,ABCC3,8714,ABCC3,8714
203196_at,ABCC4,10257,ABCC4,10257
209380_s_at,ABCC5,10057,ABCC5,10057
210245_at,ABCC8,6833,ABCC8,6833
210246_s_at,ABCC8,6833,ABCC8,6833
208462_s_at,ABCC9,10060,ABCC9,10060
208561_at,ABCC9,10060,ABCC9,10060
208562_s_at,ABCC9,10060,ABCC9,10060
205142_x_at,ABCD1,215,ABCD1,215
207583_at,ABCD2,225,ABCD2,225
202850_at,ABCD3,5825,ABCD3,5825
203981_s_at,ABCD4,5826,ABCD4,5826
203982_s_at,ABCD4,5826,ABCD4,5826
201872_s_at,ABCE1,6059,ABCE1,6059
201873_s_at,ABCE1,6059,ABCE1,6059
200045_at,ABCF1,23,ABCF1,23
207622_s_at,ABCF2,10061,ABCF2,10061
207623_at,ABCF2,10061,ABCF2,10061
209246_at,ABCF2,10061,ABCF2,10061
209247_s_at,ABCF2,10061,ABCF2,10061
214232_at,ABCF2,10061,ABCF2,10061
202394_s_at,ABCF3,55324,ABCF3,55324
204567_s_at,ABCG1,9619,ABCG1,9619
211113_s_at,ABCG1,9619,ABCG1,9619
209735_at,ABCG2,9429,ABCG2,9429
207593_at,ABCG4,64137,ABCG4,64137
220383_at,ABCG5,64240,ABCG5,64240
218633_x_at,ABHD10,55347,ABHD10,55347
221927_s_at,ABHD11,83451,ABHD11,83451
