"accession","archive","member","gsm","extracted_path","compressed_cel_readable","metadata_match"
"GSE41258","GSE41258_RAW.tar","GSM1012278_00300BR2.CEL.gz","GSM1012278","data/interim/cel/GSE41258/GSM1012278_00300BR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012279_00450UR1.CEL.gz","GSM1012279","data/interim/cel/GSE41258/GSM1012279_00450UR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012280_00450UR1_ez.CEL.gz","GSM1012280","data/interim/cel/GSE41258/GSM1012280_00450UR1_ez.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012281_00450UR2.CEL.gz","GSM1012281","data/interim/cel/GSE41258/GSM1012281_00450UR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012282_00464UR1.CEL.gz","GSM1012282","data/interim/cel/GSE41258/GSM1012282_00464UR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012283_00485UR1.CEL.gz","GSM1012283","data/interim/cel/GSE41258/GSM1012283_00485UR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012284_00485UR1_ez.CEL.gz","GSM1012284","data/interim/cel/GSE41258/GSM1012284_00485UR1_ez.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012285_00485UR2.CEL.gz","GSM1012285","data/interim/cel/GSE41258/GSM1012285_00485UR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012286_00620AR1.CEL.gz","GSM1012286","data/interim/cel/GSE41258/GSM1012286_00620AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012287_00823UR1.CEL.gz","GSM1012287","data/interim/cel/GSE41258/GSM1012287_00823UR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012288_00823UR1_ez.CEL.gz","GSM1012288","data/interim/cel/GSE41258/GSM1012288_00823UR1_ez.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012289_00823UR2.CEL.gz","GSM1012289","data/interim/cel/GSE41258/GSM1012289_00823UR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012290_00838UR1.CEL.gz","GSM1012290","data/interim/cel/GSE41258/GSM1012290_00838UR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012291_00838UR1_ez.CEL.gz","GSM1012291","data/interim/cel/GSE41258/GSM1012291_00838UR1_ez.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012292_00838UR2.CEL.gz","GSM1012292","data/interim/cel/GSE41258/GSM1012292_00838UR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012293_00852UR1.CEL.gz","GSM1012293","data/interim/cel/GSE41258/GSM1012293_00852UR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012294_00871KR3.CEL.gz","GSM1012294","data/interim/cel/GSE41258/GSM1012294_00871KR3.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012295_00888BR1.CEL.gz","GSM1012295","data/interim/cel/GSE41258/GSM1012295_00888BR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012296_00947UR1.CEL.gz","GSM1012296","data/interim/cel/GSE41258/GSM1012296_00947UR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012297_00990AR1.CEL.gz","GSM1012297","data/interim/cel/GSE41258/GSM1012297_00990AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012298_01720MR1.CEL.gz","GSM1012298","data/interim/cel/GSE41258/GSM1012298_01720MR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012299_01720VR1.CEL.gz","GSM1012299","data/interim/cel/GSE41258/GSM1012299_01720VR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012300_01984BR1.CEL.gz","GSM1012300","data/interim/cel/GSE41258/GSM1012300_01984BR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012301_02050MR1.CEL.gz","GSM1012301","data/interim/cel/GSE41258/GSM1012301_02050MR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012302_02050VR1.CEL.gz","GSM1012302","data/interim/cel/GSE41258/GSM1012302_02050VR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012303_02184AR2.CEL.gz","GSM1012303","data/interim/cel/GSE41258/GSM1012303_02184AR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012304_02184HR2.CEL.gz","GSM1012304","data/interim/cel/GSE41258/GSM1012304_02184HR2.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012305_02189AR1.CEL.gz","GSM1012305","data/interim/cel/GSE41258/GSM1012305_02189AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012306_02189HR1.CEL.gz","GSM1012306","data/interim/cel/GSE41258/GSM1012306_02189HR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012307_02308AR1.CEL.gz","GSM1012307","data/interim/cel/GSE41258/GSM1012307_02308AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012308_02500AR1.CEL.gz","GSM1012308","data/interim/cel/GSE41258/GSM1012308_02500AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012309_02663BR1.CEL.gz","GSM1012309","data/interim/cel/GSE41258/GSM1012309_02663BR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012310_02679AR1.CEL.gz","GSM1012310","data/interim/cel/GSE41258/GSM1012310_02679AR1.CEL.gz",TRUE,TRUE
"GSE41258","GSE41258_RAW.tar","GSM1012311_02679BR1.CEL.gz","GSM1012311","data/interim/cel/GSE41258/GSM1012311_02679BR1.CEL.gz",TRUE,TRUE
