"probe_id","gene_symbol","entrez_id","symbol_count","entrez_count","mapping_status"
"11715100_at","H3C8","8355",1,1,"mapped_unique"
"11715101_s_at","H3C8","8355",1,1,"mapped_unique"
"11715102_x_at","H3C8","8355",1,1,"mapped_unique"
"11715103_x_at","TNFAIP8L1","126282",1,1,"mapped_unique"
"11715104_s_at","OTOP2","92736",1,1,"mapped_unique"
"11715105_at","C17orf78","284099",1,1,"mapped_unique"
"11715106_x_at","CTAGE15","441294",2,2,"ambiguous"
"11715106_x_at","CTAGE6","340307",2,2,"ambiguous"
"11715107_s_at","F8A1","8263",3,3,"ambiguous"
"11715107_s_at","F8A2","474383",3,3,"ambiguous"
"11715107_s_at","F8A3","474384",3,3,"ambiguous"
"11715108_x_at","LINC01098","285501",1,1,"mapped_unique"
"11715109_at","SAMD7","344658",1,1,"mapped_unique"
"11715110_at","ARRDC5","645432",1,1,"mapped_unique"
"11715111_s_at","CGB1","114335",6,6,"ambiguous"
"11715111_s_at","CGB2","114336",6,6,"ambiguous"
"11715111_s_at","CGB3","1082",6,6,"ambiguous"
"11715111_s_at","CGB5","93659",6,6,"ambiguous"
"11715111_s_at","CGB7","94027",6,6,"ambiguous"
"11715111_s_at","CGB8","94115",6,6,"ambiguous"
"11715112_at","ERICH3","127254",1,1,"mapped_unique"
"11715113_x_at","FAM86C1P","55199",1,1,"mapped_unique"
"11715114_x_at","FAM86C1P","55199",1,1,"mapped_unique"
"11715115_s_at","H2BC10","8346",1,1,"mapped_unique"
"11715116_s_at","H4C5","8367",1,1,"mapped_unique"
"11715117_x_at","H2AC14","8331",1,1,"mapped_unique"
"11715118_s_at","H2BC7","8343",1,1,"mapped_unique"
"11715119_s_at","C2CD4B","388125",1,1,"mapped_unique"
"11715120_s_at","H2BC6","8344",1,1,"mapped_unique"
"11715121_s_at","H3C1","8350",1,1,"mapped_unique"
"11715122_at","RAB3D","9545",1,1,"mapped_unique"
"11715123_s_at","PDZD9","255762",1,1,"mapped_unique"
"11715124_s_at","CACNG8","59283",1,1,"mapped_unique"
"11715125_at","MORC2","22880",1,1,"mapped_unique"
"11715126_s_at","H2BC15","8341",1,1,"mapped_unique"
"11715127_s_at","GPR32","2854",1,1,"mapped_unique"
"11715128_s_at","PCDHGB5","56101",1,1,"mapped_unique"
"11715129_s_at","ZNF600","162966",1,1,"mapped_unique"
"11715130_s_at","KRTAP6-2","337967",1,1,"mapped_unique"
"11715131_s_at","KRTAP20-1","337975",1,1,"mapped_unique"
"11715132_x_at","H2BC9","8345",1,1,"mapped_unique"
"11715133_s_at","PCDHGA1","56114",1,1,"mapped_unique"
"11715134_s_at","GLIPR1L2","144321",1,1,"mapped_unique"
"11715135_s_at","SNAPC5","10302",1,1,"mapped_unique"
"11715136_at","OR8U9","504190",1,1,"mapped_unique"
"11715137_s_at","SSX7","280658",1,1,"mapped_unique"
"11715138_s_at","CGB1","114335",6,6,"ambiguous"
"11715138_s_at","CGB2","114336",6,6,"ambiguous"
"11715138_s_at","CGB3","1082",6,6,"ambiguous"
"11715138_s_at","CGB5","93659",6,6,"ambiguous"
"11715138_s_at","CGB7","94027",6,6,"ambiguous"
"11715138_s_at","CGB8","94115",6,6,"ambiguous"
"11715139_x_at","IFNA10","3446",1,1,"mapped_unique"
"11715140_s_at","PCDHA11","56138",2,2,"ambiguous"
"11715140_s_at","PCDHA13","56136",2,2,"ambiguous"
"11715141_s_at","PCDHGB3","56102",1,1,"mapped_unique"
"11715142_s_at","GSC2","2928",1,1,"mapped_unique"
"11715143_s_at","OR9Q2","219957",1,1,"mapped_unique"
"11715144_s_at","KRTAP19-7","337974",1,1,"mapped_unique"
"11715145_s_at","KRTAP20-2","337976",1,1,"mapped_unique"
"11715146_x_at","SSX7","280658",1,1,"mapped_unique"
"11715147_at","CFAP91","89876",1,1,"mapped_unique"
"11715148_s_at","H2AC21","317772",1,1,"mapped_unique"
"11715149_x_at","H2AC21","317772",1,1,"mapped_unique"
"11715150_s_at","PCDHA4","56144",1,1,"mapped_unique"
"11715151_x_at","PRB3","5544",1,1,"mapped_unique"
