accession,covariate,included_samples,available_values,missing_values,unique_nonmissing_values,usable_for_association,source
GSE44076,batch,246,0,246,0,False,deposited metadata only
GSE44076,processing_date,246,0,246,0,False,deposited metadata only
GSE44076,scan_date,246,0,246,0,False,deposited metadata only
GSE44076,sex,246,246,0,2,True,deposited metadata only
GSE44076,age,246,246,0,45,True,deposited metadata only
GSE44076,location,246,246,0,2,True,deposited metadata only
GSE44076,stage,246,246,0,3,True,deposited metadata only
GSE44076,msi_status,246,0,246,0,False,deposited metadata only
GSE44076,molecular_subtype,246,0,246,0,False,deposited metadata only
GSE44076,center,246,0,246,0,False,deposited metadata only
GSE41258,batch,233,0,233,0,False,deposited metadata only
GSE41258,processing_date,233,0,233,0,False,deposited metadata only
GSE41258,scan_date,233,0,233,0,False,deposited metadata only
GSE41258,sex,233,224,9,2,True,deposited metadata only
GSE41258,age,233,224,9,53,True,deposited metadata only
GSE41258,location,233,224,9,9,True,deposited metadata only
GSE41258,stage,233,224,9,4,True,deposited metadata only
GSE41258,msi_status,233,208,25,3,True,deposited metadata only
GSE41258,molecular_subtype,233,0,233,0,False,deposited metadata only
GSE41258,center,233,0,233,0,False,deposited metadata only
