geo_accession,sample_title,original_tissue,tissue_class,patient_id,donor_or_patient_group,pairing_status,platform,cel_filename,cel_present_in_tar,author_included,technical_replicate_candidate,technical_replicate_rule,inclusion_status,exclusion_reason,metadata_parsing_source,metadata_parsing_confidence
GSM1012278,Polyp 00300BR2,Polyp,polyp,300,300,patient_grouped,GPL96,GSM1012278_00300BR2.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012279,Liver Metastasis 00450UR1,Liver Metastasis,liver_metastasis,450,450,patient_grouped,GPL96,GSM1012279_00450UR1.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012280,Liver Metastasis 00450UR1_ez,Liver Metastasis,liver_metastasis,450,450,patient_grouped,GPL96,GSM1012280_00450UR1_ez.CEL.gz,True,False,True,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes; technical-replicate indicator,"GEO tissue, patient id, and included characteristics",high
GSM1012281,Liver Metastasis 00450UR2,Liver Metastasis,liver_metastasis,450,450,patient_grouped,GPL96,GSM1012281_00450UR2.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012282,Liver Metastasis 00464UR1,Liver Metastasis,liver_metastasis,464,464,patient_grouped,GPL96,GSM1012282_00464UR1.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012283,Liver Metastasis 00485UR1,Liver Metastasis,liver_metastasis,485,485,patient_grouped,GPL96,GSM1012283_00485UR1.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012284,Liver Metastasis 00485UR1_ez,Liver Metastasis,liver_metastasis,485,485,patient_grouped,GPL96,GSM1012284_00485UR1_ez.CEL.gz,True,False,True,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes; technical-replicate indicator,"GEO tissue, patient id, and included characteristics",high
GSM1012285,Liver Metastasis 00485UR2,Liver Metastasis,liver_metastasis,485,485,patient_grouped,GPL96,GSM1012285_00485UR2.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012286,Primary Tumor 00620AR1,Primary Tumor,primary_tumor,620,620,patient_grouped,GPL96,GSM1012286_00620AR1.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012287,Liver Metastasis 00823UR1,Liver Metastasis,liver_metastasis,823,823,patient_grouped,GPL96,GSM1012287_00823UR1.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012288,Liver Metastasis 00823UR1_ez,Liver Metastasis,liver_metastasis,823,823,patient_grouped,GPL96,GSM1012288_00823UR1_ez.CEL.gz,True,False,True,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes; technical-replicate indicator,"GEO tissue, patient id, and included characteristics",high
GSM1012289,Liver Metastasis 00823UR2,Liver Metastasis,liver_metastasis,823,823,patient_grouped,GPL96,GSM1012289_00823UR2.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012290,Liver Metastasis 00838UR1,Liver Metastasis,liver_metastasis,838,838,patient_grouped,GPL96,GSM1012290_00838UR1.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012291,Liver Metastasis 00838UR1_ez,Liver Metastasis,liver_metastasis,838,838,patient_grouped,GPL96,GSM1012291_00838UR1_ez.CEL.gz,True,False,True,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes; technical-replicate indicator,"GEO tissue, patient id, and included characteristics",high
GSM1012292,Liver Metastasis 00838UR2,Liver Metastasis,liver_metastasis,838,838,patient_grouped,GPL96,GSM1012292_00838UR2.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012293,Liver Metastasis 00852UR1,Liver Metastasis,liver_metastasis,852,852,patient_grouped,GPL96,GSM1012293_00852UR1.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012294,Normal Liver 00871KR3,Normal Liver,normal_liver,871,871,patient_grouped,GPL96,GSM1012294_00871KR3.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012295,Polyp 00888BR1,Polyp,polyp,888,888,patient_grouped,GPL96,GSM1012295_00888BR1.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012296,Liver Metastasis 00947UR1,Liver Metastasis,liver_metastasis,947,947,patient_grouped,GPL96,GSM1012296_00947UR1.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012297,Primary Tumor 00990AR1,Primary Tumor,primary_tumor,990,990,patient_grouped,GPL96,GSM1012297_00990AR1.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),included,,"GEO tissue, patient id, and included characteristics",high
GSM1012298,Normal Lung 01720MR1,Normal Lung,normal_lung,1720,1720,patient_grouped,GPL96,GSM1012298_01720MR1.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012299,Lung Metastasis 01720VR1,Lung Metastasis,lung_metastasis,1720,1720,patient_grouped,GPL96,GSM1012299_01720VR1.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012300,Polyp 01984BR1,Polyp,polyp,1984,1984,patient_grouped,GPL96,GSM1012300_01984BR1.CEL.gz,True,True,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue,"GEO tissue, patient id, and included characteristics",high
GSM1012301,Normal Lung 02050MR1,Normal Lung,normal_lung,2050,2050,patient_grouped,GPL96,GSM1012301_02050MR1.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
GSM1012302,Lung Metastasis 02050VR1,Lung Metastasis,lung_metastasis,2050,2050,patient_grouped,GPL96,GSM1012302_02050VR1.CEL.gz,True,False,False,(?i)(?:_ez|rehyb),excluded,not primary external-validation tissue; GEO author flag included in analysis is not Yes,"GEO tissue, patient id, and included characteristics",high
