"accession","geo_accession","qc_candidate","exclusion_applied","decision","evidence","rule"
"GSE41258","GSM1012278",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012279",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012280",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012281",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012282",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012283",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012284",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012285",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012286",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012287",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012288",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012289",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012290",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012291",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012292",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012293",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012294",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012295",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012296",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012297",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012298",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012299",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012300",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012301",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012302",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012303",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012304",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012305",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012306",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012307",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012308",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012309",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012310",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012311",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012312",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012313",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012314",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012315",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012316",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012317",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012318",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012319",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012320",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012321",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012322",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012323",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012324",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012325",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012326",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012327",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012328",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
"GSE41258","GSM1012329",FALSE,FALSE,"include_prespecified_technically_valid_cohort","independent_failure_metrics=0","No PCA-only exclusion; exclusion requires severe failure supported by at least two independent QC metrics"
