"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_set","database"
"GO:0016054","organic acid catabolic process","31/591","231/16135",0.134199134199134,3.66379531354151,7.95127968362026,3.99983488349037e-10,8.40765292509676e-07,8.13229587101226e-07,"MCEE/AUH/RIDA/ETFA/ACADM/CRYL1/ETFDH/BCKDHB/GLUD1/PHYH/BDH2/MCCC1/EHHADH/CROT/NUDT7/ABCD3/ABAT/ACAA2/ACADS/HIBCH/ACOT4/SLC27A2/SLC16A1/CBS/CRYM/ABHD3/OTC/ACOX1/DPEP1/ARG2/ADTRP",31,"adjacent_vs_healthy_down","GO_BP"
"GO:0046395","carboxylic acid catabolic process","31/591","231/16135",0.134199134199134,3.66379531354151,7.95127968362026,3.99983488349037e-10,8.40765292509676e-07,8.13229587101226e-07,"MCEE/AUH/RIDA/ETFA/ACADM/CRYL1/ETFDH/BCKDHB/GLUD1/PHYH/BDH2/MCCC1/EHHADH/CROT/NUDT7/ABCD3/ABAT/ACAA2/ACADS/HIBCH/ACOT4/SLC27A2/SLC16A1/CBS/CRYM/ABHD3/OTC/ACOX1/DPEP1/ARG2/ADTRP",31,"adjacent_vs_healthy_down","GO_BP"
"GO:0006631","fatty acid metabolic process","40/591","369/16135",0.10840108401084,2.95947798733487,7.42465338846028,8.35062698653568e-10,1.17020119504653e-06,1.13187621224517e-06,"MCEE/LYPLA1/AUH/ETFA/PECR/ACADM/CRYL1/ETFDH/ABHD5/PHYH/HPGD/BDH2/DBI/PTGR1/EHHADH/CROT/NUDT7/ABCD3/FMO4/NR1H3/ACSM3/PPARG/PDK3/APOC2/ACAA2/ACADS/APPL2/ACOT4/EDN2/SLC27A2/HPGDS/FABP2/ACSF2/ABHD3/ACOX1/CYP2C18/LIPA/EDN1/GSTA1/ADTRP",40,"adjacent_vs_healthy_down","GO_BP"
"GO:0044248","cellular catabolic process","35/591","301/16135",0.116279069767442,3.17455632943769,7.42577801748313,1.53385798492846e-09,1.61208474215981e-06,1.55928773573122e-06,"MCEE/SUCLG2/AUH/RIDA/ETFA/ACADM/CRYL1/ETFDH/BCKDHB/SUCLA2/GLUD1/PHYH/BDH2/MCCC1/EHHADH/CROT/NUDT7/TRHDE/ABCD3/ABAT/ACAA2/ACADS/HIBCH/ACOT4/SLC27A2/SLC16A1/CBS/CRYM/ABHD3/OTC/ACOX1/ANPEP/DPEP1/ARG2/ADTRP",35,"adjacent_vs_healthy_down","GO_BP"
"GO:0044282","small molecule catabolic process","38/591","350/16135",0.108571428571429,2.96412859560068,7.24377614075982,2.1373901978953e-09,1.79711767839036e-06,1.73826070199358e-06,"MCEE/AUH/RIDA/ETFA/ACADM/CRYL1/ETFDH/BCKDHB/GLYCTK/GLUD1/PHYH/BDH2/GK/MCCC1/EHHADH/CROT/NUDT7/ABCD3/ABAT/GDA/SULT1B1/ACAA2/ACADS/HIBCH/ACOT4/SLC27A2/SLC16A1/ALDOB/CBS/CRYM/ABHD3/OTC/ACOX1/DPEP1/ARG2/ADTRP/FUT2/AKR1B10",38,"adjacent_vs_healthy_down","GO_BP"
"GO:0072329","monocarboxylic acid catabolic process","19/591","118/16135",0.161016949152542,4.39595342567897,7.21930706167959,5.41832477138128e-08,3.62450228698594e-05,3.5057970691138e-05,"MCEE/AUH/ETFA/ACADM/CRYL1/ETFDH/PHYH/BDH2/EHHADH/CROT/NUDT7/ABCD3/ACAA2/ACADS/SLC27A2/SLC16A1/ABHD3/ACOX1/ADTRP",19,"adjacent_vs_healthy_down","GO_BP"
"GO:0016042","lipid catabolic process","34/591","331/16135",0.102719033232628,2.8043512710803,6.4674778381585,6.03508944074729e-08,3.62450228698594e-05,3.5057970691138e-05,"MCEE/AUH/ETFA/ACADM/ETFDH/GDPD1/ABHD5/PHYH/HPGD/BDH2/NAPEPLD/SRD5A1/EHHADH/CROT/NUDT7/ABCD3/ACER3/SGPP1/BCO1/APOC2/ACAA2/ACADS/SLC27A2/GBA3/PLA2G12B/PLCD1/ABHD3/ACOX1/GDPD3/LIPA/DPEP1/ADRA2A/ADTRP/AKR1B10",34,"adjacent_vs_healthy_down","GO_BP"
"GO:0009062","fatty acid catabolic process","17/591","100/16135",0.17,4.6412013536379,7.12186252822823,1.20335569268204e-07,6.3236341650441e-05,6.11653031688251e-05,"MCEE/AUH/ETFA/ACADM/ETFDH/PHYH/BDH2/EHHADH/CROT/NUDT7/ABCD3/ACAA2/ACADS/SLC27A2/ABHD3/ACOX1/ADTRP",17,"adjacent_vs_healthy_down","GO_BP"
"GO:0019395","fatty acid oxidation","15/591","103/16135",0.145631067961165,3.97590064560643,5.90781056081303,4.97191347322236e-06,0.0023224360268252,0.00224637447334011,"AUH/ETFA/ACADM/ETFDH/PHYH/BDH2/EHHADH/CROT/ABCD3/FMO4/ACAA2/ACADS/APPL2/SLC27A2/ACOX1",15,"adjacent_vs_healthy_down","GO_BP"
"GO:0006790","sulfur compound metabolic process","28/591","301/16135",0.0930232558139535,2.53964506355015,5.25765293492929,6.21684398999759e-06,0.00261356121339499,0.00252796508772218,"MCEE/SUCLG2/MPC2/SUCLA2/PANK3/GCLM/PTER/TSTD1/MCCC1/CROT/NUDT7/ACSM3/APIP/PDK3/UGDH/SULT1B1/ACOT4/SLC27A2/ENPP1/HPGDS/CBS/SLC1A1/ACSF2/HMGCS2/DPEP1/GSTA1/PAPSS2/GSTT1",28,"adjacent_vs_healthy_down","GO_BP"
"GO:0006635","fatty acid beta-oxidation","12/591","70/16135",0.171428571428571,4.68020304568528,6.01677551624178,7.95414721588188e-06,0.00303993044505158,0.00294037040143078,"AUH/ETFA/ACADM/ETFDH/BDH2/EHHADH/CROT/ABCD3/ACAA2/ACADS/SLC27A2/ACOX1",12,"adjacent_vs_healthy_down","GO_BP"
"GO:0006066","alcohol metabolic process","30/591","342/16135",0.087719298245614,2.39484073975124,5.0838032194289,9.4068420561073e-06,0.00329553033365626,0.00318759919848618,"CAT/PECR/GDPD1/FMO5/FDX1/NAPEPLD/GK/DHFR/ADH6/LPCAT3/INPP5J/ACER3/SGPP1/IMPA1/BCO1/CEBPA/IMPA2/SULT1B1/ACAA2/P2RY1/ALDH1A1/ADH1C/HMGCS2/GDPD3/CYP2C18/LIPA/AQP8/NR1H4/AKR1B15/AKR1B10",30,"adjacent_vs_healthy_down","GO_BP"
"GO:0046486","glycerolipid metabolic process","32/591","379/16135",0.0844327176781003,2.30511319752309,5.01335170710807,1.0458882076033e-05,0.00338224155751097,0.00327147056353971,"CRLS1/CAT/TMX1/GDPD1/ABHD5/PIGF/NAPEPLD/GK/DBI/PIGP/PGAP2/LPCAT3/ETNK1/APOBEC1/PLCL2/INPP5J/AVIL/NR1H3/SH3YL1/IMPA1/IMPA2/SLC44A3/AGMO/APOC2/PIP5K1B/CWH43/PLCD1/ABHD3/AGPAT2/GDPD3/LIPA/NR1H4",32,"adjacent_vs_healthy_down","GO_BP"
"GO:0034440","lipid oxidation","15/591","110/16135",0.136363636363636,3.72288878634056,5.58741076003686,1.13060019413208e-05,0.0033950308686652,0.00328384101498665,"AUH/ETFA/ACADM/ETFDH/PHYH/BDH2/EHHADH/CROT/ABCD3/FMO4/ACAA2/ACADS/APPL2/SLC27A2/ACOX1",15,"adjacent_vs_healthy_down","GO_BP"
