"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","gene_set","database"
"GO:0033108","mitochondrial respiratory chain complex assembly",113,-0.701910380798344,-3.05389567237337,1e-10,6.181e-09,4.26315789473684e-09,3587,"tags=71%, list=19%, signal=57%","4706/4717/6834/51103/4722/4702/91647/51204/617/51079/79072/4535/79133/51300/25813/51287/4696/79145/28958/25994/10063/647087/90871/84275/4724/80775/9131/25915/25880/55744/131474/115209/54539/4720/790955/84233/57226/80224/7386/84987/7019/79064/55245/54902/90624/4708/4698/5018/51295/374291/440957/64756/137682/55967/4711/4719/90639/4700/4718/644096/29078/4712/9167/4694/4695/493753/91419/55101/4710/4707/57001/135154/6341/4713/192286/389203/1347/55863/4709/51241","adjacent_vs_healthy","GO_BP_ranked"
"GO:0030198","extracellular matrix organization",315,0.546536404219271,2.86873183068898,1e-10,6.181e-09,4.26315789473684e-09,2791,"tags=39%, list=15%, signal=34%","3491/6423/9510/165/26585/7049/7373/151887/60681/1805/4313/25890/3915/7837/1307/23213/2294/2192/11096/857/1278/285590/1842/3913/1513/10516/2296/4921/1291/2022/30008/1289/80781/1282/3908/4035/858/4239/4323/10266/169611/55790/9507/8425/144165/55959/1277/64094/1287/56999/5806/4629/1296/1511/4016/28984/5351/83872/183/1306/11117/2824/57188/3912/1290/1545/3688/10491/8516/25903/1281/5212/1215/2295/4060/5156/2131/57589/22795/79625/7133/4811/90102/871/1303/170690/1288/5768/64066/2191/1286/1284/26276/10631/11095/1305/57190/84695/23122/1285/84168/23768/133584/81621/7092/3569/4015/9509/3037/4148/2621/333/23332/4791/7045/4314/10459/149371/79875/79709/1301/1605/1991/10630","adjacent_vs_healthy","GO_BP_ranked"
"GO:0043062","extracellular structure organization",316,0.546272119278413,2.86758969603865,1e-10,6.181e-09,4.26315789473684e-09,2791,"tags=39%, list=15%, signal=34%","3491/6423/9510/165/26585/7049/7373/151887/60681/1805/4313/25890/3915/7837/1307/23213/2294/2192/11096/857/1278/285590/1842/3913/1513/10516/2296/4921/1291/2022/30008/1289/80781/1282/3908/4035/858/4239/4323/10266/169611/55790/9507/8425/144165/55959/1277/64094/1287/56999/5806/4629/1296/1511/4016/28984/5351/83872/183/1306/11117/2824/57188/3912/1290/1545/3688/10491/8516/25903/1281/5212/1215/2295/4060/5156/2131/57589/22795/79625/7133/4811/90102/871/1303/170690/1288/5768/64066/2191/1286/1284/26276/10631/11095/1305/57190/84695/23122/1285/84168/23768/133584/81621/7092/3569/4015/9509/3037/4148/2621/333/23332/4791/7045/4314/10459/149371/79875/79709/1301/1605/1991/10630","adjacent_vs_healthy","GO_BP_ranked"
"GO:0045229","external encapsulating structure organization",317,0.544352736474648,2.85903547816377,1e-10,6.181e-09,4.26315789473684e-09,2791,"tags=39%, list=15%, signal=34%","3491/6423/9510/165/26585/7049/7373/151887/60681/1805/4313/25890/3915/7837/1307/23213/2294/2192/11096/857/1278/285590/1842/3913/1513/10516/2296/4921/1291/2022/30008/1289/80781/1282/3908/4035/858/4239/4323/10266/169611/55790/9507/8425/144165/55959/1277/64094/1287/56999/5806/4629/1296/1511/4016/28984/5351/83872/183/1306/11117/2824/57188/3912/1290/1545/3688/10491/8516/25903/1281/5212/1215/2295/4060/5156/2131/57589/22795/79625/7133/4811/90102/871/1303/170690/1288/5768/64066/2191/1286/1284/26276/10631/11095/1305/57190/84695/23122/1285/84168/23768/133584/81621/7092/3569/4015/9509/3037/4148/2621/333/23332/4791/7045/4314/10459/149371/79875/79709/1301/1605/1991/10630","adjacent_vs_healthy","GO_BP_ranked"
"GO:0030199","collagen fibril organization",67,0.671236031317949,2.79615810528124,1e-10,6.181e-09,4.26315789473684e-09,2269,"tags=46%, list=12%, signal=41%","6423/165/26585/7373/60681/1805/7837/1278/2296/4921/1291/30008/1289/1277/4016/5351/11117/1290/1545/10491/1281/4060/2131/871/1303/26276/57190/84695/7092/4015/9509","adjacent_vs_healthy","GO_BP_ranked"
"GO:0006119","oxidative phosphorylation",132,-0.624310799511369,-2.78981380347182,1e-10,6.181e-09,4.26315789473684e-09,2211,"tags=48%, list=12%, signal=43%","92014/10105/387/7381/4696/1337/7124/134145/539/7384/51142/2631/84275/4724/1716/30968/4729/1345/515/54539/4720/790955/7385/1350/983/7386/9377/4701/6390/1329/54205/4708/1738/9551/4698/4697/522/374291/93974/55967/27069/10476/4711/4719/65084/4700/4718/6392/4712/9167/4694/79736/4695/27089/4710/29796/388753/4707/1349/4713/10975/1347/4709/509","adjacent_vs_healthy","GO_BP_ranked"
"GO:0010257","NADH dehydrogenase complex assembly",58,-0.720325160644984,-2.73230447662656,1e-10,6.181e-09,4.26315789473684e-09,3587,"tags=74%, list=19%, signal=60%","4706/4717/51103/4722/4702/617/51079/4535/79133/51300/4696/90871/4724/9131/25915/25880/55744/54539/4720/84233/57226/80224/4708/4698/5018/51295/374291/137682/55967/4711/4719/4700/4718/29078/4712/4694/4695/55101/4710/4707/4713/55863/4709","adjacent_vs_healthy","GO_BP_ranked"
"GO:0032981","mitochondrial respiratory chain complex I assembly",58,-0.720325160644984,-2.73230447662656,1e-10,6.181e-09,4.26315789473684e-09,3587,"tags=74%, list=19%, signal=60%","4706/4717/51103/4722/4702/617/51079/4535/79133/51300/4696/90871/4724/9131/25915/25880/55744/54539/4720/84233/57226/80224/4708/4698/5018/51295/374291/137682/55967/4711/4719/4700/4718/29078/4712/4694/4695/55101/4710/4707/4713/55863/4709","adjacent_vs_healthy","GO_BP_ranked"
"GO:0009060","aerobic respiration",180,-0.587474679288787,-2.71744871864061,1e-10,6.181e-09,4.26315789473684e-09,2293,"tags=46%, list=12%, signal=40%","5162/92014/10105/5160/3658/387/9650/7381/4696/1737/1337/3417/10873/7124/134145/539/7384/51142/2631/4191/84275/4724/1716/30968/4190/4729/1345/515/54539/4720/790955/7385/1350/983/7386/1743/9377/4701/6390/1329/54205/4708/1738/9551/4698/4697/5018/522/374291/93974/55967/27069/8802/10476/4711/4719/65084/4700/4718/92259/6392/4712/9167/2647/4694/79736/4695/27089/4710/29796/388753/4707/1349/8803/135154/4713/10975/847/8801/1347/4709/509","adjacent_vs_healthy","GO_BP_ranked"
"GO:0042773","ATP synthesis coupled electron transport",86,-0.655788013943961,-2.71310576077424,1e-10,6.181e-09,4.26315789473684e-09,1991,"tags=53%, list=11%, signal=48%","7381/4696/1337/7384/51142/4724/1716/4729/1345/4720/790955/7385/1350/983/7386/9377/4701/6390/1329/54205/4708/1738/4698/4697/374291/55967/27069/4711/4719/4700/4718/6392/4712/9167/4694/4695/27089/4710/29796/388753/4707/1349/4713/10975/1347/4709","adjacent_vs_healthy","GO_BP_ranked"
