"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_set","database"
"R-HSA-1474244","Extracellular matrix organization","76/614","313/10634",0.242811501597444,4.20530538760134,14.2481646459347,3.86704863540941e-28,4.29629103393985e-25,3.76528419763547e-25,"ADAMTS1/FBLN2/MFAP5/HTRA1/COL6A3/PECAM1/PCOLCE2/COL14A1/EFEMP1/MMP2/LAMC1/FN1/PXDN/SSPN/COL16A1/LTBP1/FBN1/DCN/FBLN1/ADAMTS5/HSPG2/COL1A2/SERPINE1/P3H1/VCAN/A2M/LAMB2/CTSK/FBLN5/DDR2/SPARC/COL6A1/EFEMP2/COL5A1/COL18A1/JAM2/COL4A1/LAMA2/PLEC/LTBP2/THBS1/TIMP2/JAM3/SDC2/MFAP4/ACTG2/TIMP1/ITGA7/ADAMTS4/LTBP4/ASPN/BMP4/LTBP3/COL1A1/COL4A5/CTSG/LOXL1/COL15A1/EMILIN1/CRTAP/SPP1/ITGA8/TNC/NRXN1/COL3A1/CMA1/ACTN1/ITGA5/LUM/SGCE/SGCD/NID1/FGF2/COL4A2/ADAMTS8/ITGA1",76,"adjacent_vs_healthy_up","Reactome"
"R-HSA-216083","Integrin cell surface interactions","25/614","83/10634",0.301204819277108,5.21663200031396,9.54632392538365,3.06453569041583e-12,1.20886983855379e-09,1.05945767271047e-09,"COL6A3/PECAM1/FN1/COL16A1/FBN1/HSPG2/COL1A2/COL6A1/COL5A1/COL18A1/JAM2/COL4A1/THBS1/JAM3/ITGA7/COL1A1/COL4A5/SPP1/ITGA8/TNC/COL3A1/ITGA5/LUM/COL4A2/ITGA1",25,"adjacent_vs_healthy_up","Reactome"
"R-HSA-1566948","Elastic fibre formation","18/614","42/10634",0.428571428571429,7.42252210330386,10.3233225852418,3.82778734531069e-12,1.20886983855379e-09,1.05945767271047e-09,"FBLN2/MFAP5/EFEMP1/FN1/LTBP1/FBN1/FBLN1/FBLN5/EFEMP2/LTBP2/MFAP4/LTBP4/BMP4/LTBP3/LOXL1/EMILIN1/ITGA8/ITGA5",18,"adjacent_vs_healthy_up","Reactome"
"R-HSA-1474228","Degradation of the extracellular matrix","32/614","136/10634",0.235294117647059,4.07511017436291,8.93418789551539,4.85073562079934e-12,1.20886983855379e-09,1.05945767271047e-09,"ADAMTS1/HTRA1/COL6A3/COL14A1/MMP2/LAMC1/FN1/COL16A1/FBN1/DCN/ADAMTS5/HSPG2/COL1A2/A2M/CTSK/COL6A1/COL5A1/COL18A1/COL4A1/TIMP2/TIMP1/ADAMTS4/COL1A1/COL4A5/CTSG/COL15A1/SPP1/COL3A1/CMA1/NID1/COL4A2/ADAMTS8",32,"adjacent_vs_healthy_up","Reactome"
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","30/614","121/10634",0.247933884297521,4.2940210514981,9.0205694606075,5.44045831932401e-12,1.20886983855379e-09,1.05945767271047e-09,"CCN1/C3/IGFBP6/MMP2/LAMC1/FN1/FSTL1/SCG2/IGFBP5/LTBP1/FBN1/VCAN/SPARCL1/LAMB2/FAM20C/IGFBP3/SDC2/TIMP1/BMP4/CP/CKAP4/CTSG/SPP1/TNC/CHRDL1/APOL1/CALU/CDH2/PENK/LGALS1",30,"adjacent_vs_healthy_up","Reactome"
"R-HSA-3000178","ECM proteoglycans","23/614","73/10634",0.315068493150685,5.45673999375307,9.45811169696372,8.07409171812722e-12,1.49505264980656e-09,1.31026927004696e-09,"COL6A3/LAMC1/FN1/DCN/HSPG2/COL1A2/SERPINE1/VCAN/LAMB2/SPARC/COL6A1/COL5A1/COL4A1/LAMA2/ITGA7/ASPN/COL1A1/COL4A5/ITGA8/TNC/COL3A1/LUM/COL4A2",23,"adjacent_vs_healthy_up","Reactome"
"R-HSA-909733","Interferon alpha/beta signaling","23/614","74/10634",0.310810810810811,5.38300026410776,9.36555738720035,1.10906475116214e-11,1.76024419791591e-09,1.54268405236839e-09,"EGR1/XAF1/SOCS3/PTPN11/EIF2AK2/MX1/MX2/IFIT3/IFIT1/IFI6/IFITM2/USP18/SOCS1/ISG15/OAS3/BST2/OAS2/IFITM3/IFI35/IRF7/IFITM1/RSAD2/IFIT2",23,"adjacent_vs_healthy_up","Reactome"
"R-HSA-2129379","Molecules associated with elastic fibres","16/614","35/10634",0.457142857142857,7.91735691019079,10.1465872009158,1.82989979072592e-11,2.54127333437062e-09,2.22718066634405e-09,"FBLN2/MFAP5/EFEMP1/FN1/LTBP1/FBN1/FBLN1/FBLN5/EFEMP2/LTBP2/MFAP4/LTBP4/BMP4/LTBP3/EMILIN1/ITGA8",16,"adjacent_vs_healthy_up","Reactome"
"R-HSA-8957275","Post-translational protein phosphorylation","27/614","105/10634",0.257142857142857,4.45351326198232,8.80319752347093,2.55046819012281e-11,3.14841128802938e-09,2.75927845130246e-09,"CCN1/C3/LAMC1/FN1/FSTL1/SCG2/IGFBP5/LTBP1/FBN1/VCAN/SPARCL1/LAMB2/FAM20C/IGFBP3/SDC2/TIMP1/BMP4/CP/CKAP4/SPP1/TNC/CHRDL1/APOL1/CALU/CDH2/PENK/LGALS1",27,"adjacent_vs_healthy_up","Reactome"
"R-HSA-3000171","Non-integrin membrane-ECM interactions","23/614","78/10634",0.294871794871795,5.10694896851249,9.01145978239025,3.72560280218056e-11,4.1391447132226e-09,3.62756062317581e-09,"LAMC1/FN1/SSPN/HSPG2/COL1A2/LAMB2/DDR2/COL5A1/COL4A1/LAMA2/THBS1/SDC2/ACTG2/COL1A1/COL4A5/TNC/NRXN1/COL3A1/ACTN1/SGCE/SGCD/FGF2/COL4A2",23,"adjacent_vs_healthy_up","Reactome"
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","27/614","107/10634",0.252336448598131,4.37027002344059,8.67326282005431,4.10142496916117e-11,4.14243921885278e-09,3.63044793920965e-09,"FOS/CEBPD/MMP2/S1PR1/FN1/JUNB/COL1A2/VIM/SOCS3/RORA/TIMP1/ZEB1/NDN/TWIST1/SOCS1/CD36/CCND1/PTGS2/ANXA1/MYC/CCL2/IL1B/SAA1/BCL6/MUC1/FGF2/LCN2",27,"adjacent_vs_healthy_up","Reactome"
"R-HSA-445355","Smooth Muscle Contraction","16/614","42/10634",0.380952380952381,6.59779742515899,8.99769088486675,5.1312276191017e-10,4.75066157068499e-08,4.16349609444655e-08,"TLN1/GUCY1A1/GUCY1B1/ACTG2/TPM2/MYL9/MYH11/CALD1/ANXA6/MYLK/ANXA1/LMOD1/CACNA1H/SORBS1/VCL/ITGA1",16,"adjacent_vs_healthy_up","Reactome"
"R-HSA-114608","Platelet degranulation","26/614","122/10634",0.213114754098361,3.69098093661558,7.39990411117831,4.82790509964390e-09,4.12600197361874e-07,3.6160422811098e-07,"TIMP3/PECAM1/VEGFC/CLU/SERPING1/FN1/SERPINA3/MMRN1/SERPINE1/TLN1/A2M/ISLR/SPARC/PCYOX1L/PCDH7/SELP/FLNA/THBS1/CFD/TIMP1/CD36/RARRES2/PROS1/ACTN1/CALU/VCL",26,"adjacent_vs_healthy_up","Reactome"
"R-HSA-76005","Response to elevated platelet cytosolic Ca2+","26/614","127/10634",0.204724409448819,3.54566672651261,7.14401359245508,1.1780538121234e-08,9.34869846620781e-07,8.19323140010633e-07,"TIMP3/PECAM1/VEGFC/CLU/SERPING1/FN1/SERPINA3/MMRN1/SERPINE1/TLN1/A2M/ISLR/SPARC/PCYOX1L/PCDH7/SELP/FLNA/THBS1/CFD/TIMP1/CD36/RARRES2/PROS1/ACTN1/CALU/VCL",26,"adjacent_vs_healthy_up","Reactome"
"R-HSA-913531","Interferon Signaling","38/614","257/10634",0.147859922178988,2.56081826132144,6.26990878353379,7.2990924436645e-08,5.40619446994084e-06,4.73800737571204e-06,"EGR1/TUBB3/RANBP2/TUBA1A/TUBB6/XAF1/SOCS3/PTPN11/FLNA/TUBB2B/EIF2AK2/HERC5/MX1/MX2/IFIT3/IFIT1/IFI6/IFITM2/IFI44/USP18/SOCS1/ISG15/IFI44L/TRIM22/TUBB2A/OAS3/BST2/OAS2/IFITM3/UBE2L6/RIGI/IFI35/IRF7/GBP1/IFITM1/RSAD2/HSPA2/IFIT2",38,"adjacent_vs_healthy_up","Reactome"
"R-HSA-5173105","O-linked glycosylation","22/614","110/10634",0.2,3.46384364820847,6.42979755684488,2.43049645739228e-07,1.68767597760177e-05,1.47908501518938e-05,"ADAMTS1/THBS2/THSD7A/ADAMTS5/MMRN1/THBS1/ST3GAL2/ADAMTS4/GALNT15/GALNT18/ADAMTSL3/MUC5B/MUC4/MUC12/GALNT5/MUC1/B3GNT7/SPON1/SBSPON/ST3GAL4/ADAMTS8/MUC17",22,"adjacent_vs_healthy_up","Reactome"
"R-HSA-3000157","Laminin interactions","11/614","30/10634",0.366666666666667,6.35038002171553,7.26421399252116,4.33579847728397e-07,2.8335718283897e-05,2.48335206903261e-05,"LAMC1/HSPG2/LAMB2/COL18A1/COL4A1/LAMA2/ITGA7/COL4A5/NID1/COL4A2/ITGA1",11,"adjacent_vs_healthy_up","Reactome"
"R-HSA-1474290","Collagen formation","19/614","90/10634",0.211111111111111,3.65627940644227,6.2642710803095,6.71337803975619e-07,4.0251680124735e-05,3.5276710517201e-05,"COL6A3/PCOLCE2/COL14A1/PXDN/COL16A1/COL1A2/P3H1/COL6A1/COL5A1/COL18A1/COL4A1/PLEC/COL1A1/COL4A5/LOXL1/COL15A1/CRTAP/COL3A1/COL4A2",19,"adjacent_vs_healthy_up","Reactome"
"R-HSA-8948216","Collagen chain trimerization","13/614","44/10634",0.295454545454545,5.11704175303524,6.77394804496306,6.88372567389707e-07,4.0251680124735e-05,3.5276710517201e-05,"COL6A3/COL14A1/COL16A1/COL1A2/COL6A1/COL5A1/COL18A1/COL4A1/COL1A1/COL4A5/COL15A1/COL3A1/COL4A2",13,"adjacent_vs_healthy_up","Reactome"
"R-HSA-3000170","Syndecan interactions","10/614","26/10634",0.384615384615385,6.66123778501629,7.15417479423574,8.75269443742037e-07,4.72762113028316e-05,4.1433033734539e-05,"FN1/COL1A2/COL5A1/THBS1/SDC2/COL1A1/TNC/COL3A1/ACTN1/FGF2",10,"adjacent_vs_healthy_up","Reactome"
"R-HSA-1650814","Collagen biosynthesis and modifying enzymes","16/614","67/10634",0.238805970149254,4.13593271427877,6.37391863265816,8.93609754598977e-07,4.72762113028316e-05,4.1433033734539e-05,"COL6A3/PCOLCE2/COL14A1/COL16A1/COL1A2/P3H1/COL6A1/COL5A1/COL18A1/COL4A1/COL1A1/COL4A5/COL15A1/CRTAP/COL3A1/COL4A2",16,"adjacent_vs_healthy_up","Reactome"
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","15/614","61/10634",0.245901639344262,4.25882415763336,6.31836863062718,1.31322023526692e-06,6.63176218809795e-05,5.81209912737752e-05,"COL6A3/COL14A1/PXDN/COL1A2/COL6A1/COL5A1/COL18A1/COL4A1/PLEC/COL1A1/COL4A5/LOXL1/COL15A1/COL3A1/COL4A2",15,"adjacent_vs_healthy_up","Reactome"
"R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","12/614","40/10634",0.3,5.1957654723127,6.58096298148739,1.54710832489148e-06,7.47320586501926e-05,6.54954325182891e-05,"COL1A2/SPARC/COL4A1/COL1A1/HBB/CD36/COLEC12/COL3A1/APOL1/MARCO/SAA1/COL4A2",12,"adjacent_vs_healthy_up","Reactome"
