"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-3000178","ECM proteoglycans","6/47","73/10634",7.29954849173194e-07,9.36517870723992e-05,8.53948578065457e-05,"COL6A3/LAMC1/FN1/COL1A2/VCAN/HAPLN1",6,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-1474244","Extracellular matrix organization","10/47","313/10634",8.32547806869799e-07,9.36517870723992e-05,8.53948578065457e-05,"HTRA1/COL6A3/MMP2/LAMC1/FN1/PXDN/COL1A2/VCAN/CTSK/HAPLN1",10,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","7/47","121/10634",8.94762296870056e-07,9.36517870723992e-05,8.53948578065457e-05,"MMP2/LAMC1/FN1/IGFBP5/VCAN/KLK1/IGFBP2",7,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-1474228","Degradation of the extracellular matrix","7/47","136/10634",1.96798943231542e-06,0.000154487170436761,0.000140866611997315,"HTRA1/COL6A3/MMP2/LAMC1/FN1/COL1A2/CTSK",7,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-1442490","Collagen degradation","4/47","63/10634",0.000164842882802669,0.0103521330400076,0.00943942402575281,"COL6A3/MMP2/COL1A2/CTSK",4,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-8874081","MET activates PTK2 signaling","3/47","30/10634",0.000302158627516534,0.0158129681733653,0.0144187976639469,"LAMC1/FN1/COL1A2",3,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-9820448","Developmental Cell Lineages of the Exocrine Pancreas","4/47","79/10634",0.000394867870629326,0.0177126444825155,0.0161509865881469,"LAMC1/FN1/COL1A2/KLK1",4,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-8875878","MET promotes cell motility","3/47","41/10634",0.000766793701280075,0.0300966527752429,0.0274431429931816,"LAMC1/FN1/COL1A2",3,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-9925563","Developmental Lineage of Pancreatic Ductal Cells","3/47","47/10634",0.00114493795122662,0.0362758136665915,0.0330775102826446,"LAMC1/FN1/COL1A2",3,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-8957275","Post-translational protein phosphorylation","4/47","105/10634",0.00115528069001884,0.0362758136665915,0.0330775102826446,"LAMC1/FN1/IGFBP5/VCAN",4,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
