"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-1474244","Extracellular matrix organization","8/18","313/10634",1.74461923051873e-08,1.76206542282392e-06,1.01004271240558e-06,"SPARC/EFEMP2/COL4A1/TIMP1/ASPN/COL15A1/SPP1/TNC",8,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-3000178","ECM proteoglycans","4/18","73/10634",5.815206818472e-06,0.000293667944332836,0.000168334934218926,"SPARC/COL4A1/ASPN/TNC",4,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-1474228","Degradation of the extracellular matrix","4/18","136/10634",6.81463462282947e-05,0.00229426032301925,0.0013151049272127,"COL4A1/TIMP1/COL15A1/SPP1",4,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-399956","CRMPs in Sema3A signaling","2/18","16/10634",0.000320220687750305,0.00694479693467275,0.00398086327677959,"SEMA3A/DPYSL3",2,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-216083","Integrin cell surface interactions","3/18","83/10634",0.000343801828449146,0.00694479693467275,0.00398086327677959,"COL4A1/SPP1/TNC",3,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-8957275","Post-translational protein phosphorylation","3/18","105/10634",0.000685286261394529,0.0115356520668079,0.00661241129415774,"TIMP1/SPP1/TNC",3,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","3/18","121/10634",0.00103506167603738,0.0149344613256822,0.00856066047850465,"TIMP1/SPP1/TNC",3,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","2/18","40/10634",0.00203196081313214,0.0256535052657933,0.0147049795687195,"SPARC/COL4A1",2,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-8948216","Collagen chain trimerization","2/18","44/10634",0.00245455073051013,0.0275455137535026,0.0157895076231646,"COL4A1/COL15A1",2,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-186797","Signaling by PDGF","2/18","58/10634",0.0042292895587053,0.0404451678229387,0.0231837856202358,"COL4A1/SPP1",2,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","2/18","61/10634",0.00466812086284585,0.0404451678229387,0.0231837856202358,"COL4A1/COL15A1",2,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-1442490","Collagen degradation","2/18","63/10634",0.00497192226244928,0.0404451678229387,0.0231837856202358,"COL4A1/COL15A1",2,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-373755","Semaphorin interactions","2/18","65/10634",0.00528465460157702,0.0404451678229387,0.0231837856202358,"SEMA3A/DPYSL3",2,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_sensitive_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_sensitive_high_confidence","over_representation","Reactome","Pathway","R-HSA-1650814","Collagen biosynthesis and modifying enzymes","2/18","67/10634",0.00560626088634794,0.0404451678229387,0.0231837856202358,"COL4A1/COL15A1",2,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
