"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","GO","Biological Process","GO:0030198","extracellular matrix organization","11/66","315/16135",5.4472121483245e-08,2.91257972988179e-05,2.43598318673624e-05,"AEBP1/FKBP10/MMP2/LAMC1/PXDN/SULF1/COL1A2/CTSK/EFEMP2/COL4A1/COL15A1",11,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","GO","Biological Process","GO:0031102","neuron projection regeneration","5/66","54/16135",2.65899244961197e-06,0.000999781161054102,0.000836183151917449,"PRRX1/MMP2/THY1/SPP1/TNC",5,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","GO","Biological Process","GO:0071559","response to transforming growth factor beta","8/66","263/16135",1.13643328102311e-05,0.00261096422111735,0.0021837221754166,"HTRA1/JUN/LRRC32/MXRA5/COL1A2/CDKN1C/CTSK/ASPN",8,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","GO","Biological Process","GO:0010951","negative regulation of endopeptidase activity","4/66","35/16135",1.2152094114243e-05,0.00261096422111735,0.0021837221754166,"TIMP3/SERPINE2/TIMP1/SPOCK1",4,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","GO","Biological Process","GO:0001503","ossification","9/66","418/16135",4.82965650404017e-05,0.00726380338207641,0.00607519949718737,"MMP2/IGFBP5/COL1A2/VCAN/CTSK/ASPN/AREG/SPP1/TNC",9,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","GO","Biological Process","GO:0052548","regulation of endopeptidase activity","4/66","56/16135",7.99218999592389e-05,0.00951685424560001,0.0079595750444373,"TIMP3/SERPINE2/TIMP1/SPOCK1",4,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","GO","Biological Process","GO:0071560","cellular response to transforming growth factor beta stimulus","7/66","256/16135",8.17728136811486e-05,0.00951685424560001,0.0079595750444373,"HTRA1/JUN/LRRC32/COL1A2/CDKN1C/CTSK/ASPN",7,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","GO","Biological Process","GO:1904705","regulation of vascular associated smooth muscle cell proliferation","4/66","58/16135",9.17561909389479e-05,0.00951685424560001,0.0079595750444373,"JUN/MMP2/IGFBP5/EFEMP2",4,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","GO","Biological Process","GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","8/66","355/16135",9.58383368952766e-05,0.00951685424560001,0.0079595750444373,"HTRA1/JUN/LRRC32/SULF1/COL1A2/CDKN1C/ASPN/RBPMS",8,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","GO","Biological Process","GO:1990874","vascular associated smooth muscle cell proliferation","4/66","60/16135",0.000104815310151203,0.00951685424560001,0.0079595750444373,"JUN/MMP2/IGFBP5/EFEMP2",4,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
