"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","Reactome","Pathway","R-HSA-1474244","Extracellular matrix organization","17/47","313/10634",7.48381519161281e-15,2.454691382849e-12,2.11122365405498e-12,"HTRA1/COL6A3/MMP2/LAMC1/FN1/PXDN/COL1A2/VCAN/CTSK/SPARC/EFEMP2/COL4A1/TIMP1/ASPN/COL15A1/SPP1/TNC",17,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","Reactome","Pathway","R-HSA-1474228","Degradation of the extracellular matrix","11/47","136/10634",1.17103190331043e-11,1.92049232142911e-09,1.6517713162484e-09,"HTRA1/COL6A3/MMP2/LAMC1/FN1/COL1A2/CTSK/COL4A1/TIMP1/COL15A1/SPP1",11,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","Reactome","Pathway","R-HSA-3000178","ECM proteoglycans","9/47","73/10634",2.25282247113448e-11,2.4630859017737e-09,2.11844358689137e-09,"COL6A3/LAMC1/FN1/COL1A2/VCAN/SPARC/COL4A1/ASPN/TNC",9,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","Reactome","Pathway","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","8/47","121/10634",4.83084535819232e-08,3.9612931937177e-06,3.40701725261984e-06,"MMP2/LAMC1/FN1/IGFBP5/VCAN/TIMP1/SPP1/TNC",8,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","Reactome","Pathway","R-HSA-1442490","Collagen degradation","6/47","63/10634",3.01171542151967e-07,1.85910199259169e-05,1.59897090505319e-05,"COL6A3/MMP2/COL1A2/CTSK/COL4A1/COL15A1",6,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","Reactome","Pathway","R-HSA-8957275","Post-translational protein phosphorylation","7/47","105/10634",3.40079632791163e-07,1.85910199259169e-05,1.59897090505319e-05,"LAMC1/FN1/IGFBP5/VCAN/TIMP1/SPP1/TNC",7,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","Reactome","Pathway","R-HSA-216083","Integrin cell surface interactions","6/47","83/10634",1.56573848040569e-06,7.33660316532951e-05,6.3100438007327e-05,"COL6A3/FN1/COL1A2/COL4A1/SPP1/TNC",6,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","Reactome","Pathway","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","5/47","61/10634",6.70172713260364e-06,0.000274770812436749,0.000236324062044444,"COL6A3/PXDN/COL1A2/COL4A1/COL15A1",5,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","Reactome","Pathway","R-HSA-3000171","Non-integrin membrane-ECM interactions","5/47","78/10634",2.24862631257949e-05,0.000819499367251193,0.000704832575171116,"LAMC1/FN1/COL1A2/COL4A1/TNC",5,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_field_up","adjacent_vs_healthy_u1","up","high_confidence","over_representation","Reactome","Pathway","R-HSA-8948216","Collagen chain trimerization","4/47","44/10634",3.99464782853626e-05,0.00131024448775989,0.00112691117689234,"COL6A3/COL1A2/COL4A1/COL15A1",4,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
