"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"high_confidence_without_stress","adjacent_vs_healthy_u1","both","high_confidence_stress_removed","over_representation","Reactome","Pathway","R-HSA-1474244","Extracellular matrix organization","18/62","313/10634",9.68684677946966e-14,3.24509367112234e-11,2.97743079958436e-11,"HTRA1/COL6A3/MMP2/LAMC1/FN1/PXDN/COL1A2/VCAN/CTSK/SPARC/EFEMP2/COL4A1/HAPLN1/TIMP1/ASPN/COL15A1/SPP1/TNC",18,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_without_stress","adjacent_vs_healthy_u1","both","high_confidence_stress_removed","over_representation","Reactome","Pathway","R-HSA-3000178","ECM proteoglycans","10/62","73/10634",9.93663177195407e-12,1.66438582180231e-09,1.52710340916347e-09,"COL6A3/LAMC1/FN1/COL1A2/VCAN/SPARC/COL4A1/HAPLN1/ASPN/TNC",10,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_without_stress","adjacent_vs_healthy_u1","both","high_confidence_stress_removed","over_representation","Reactome","Pathway","R-HSA-1474228","Degradation of the extracellular matrix","11/62","136/10634",2.90412711479952e-10,3.24294194485947e-08,2.97545655270688e-08,"HTRA1/COL6A3/MMP2/LAMC1/FN1/COL1A2/CTSK/COL4A1/TIMP1/COL15A1/SPP1",11,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_without_stress","adjacent_vs_healthy_u1","both","high_confidence_stress_removed","over_representation","Reactome","Pathway","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","10/62","121/10634",1.63209836945494e-09,1.36688238441851e-07,1.25413874705485e-07,"MMP2/LAMC1/FN1/IGFBP5/VCAN/TIMP1/KLK1/SPP1/TNC/IGFBP2",10,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_without_stress","adjacent_vs_healthy_u1","both","high_confidence_stress_removed","over_representation","Reactome","Pathway","R-HSA-1442490","Collagen degradation","6/62","63/10634",1.60920355867645e-06,0.000107816638431322,9.89236713965311e-05,"COL6A3/MMP2/COL1A2/CTSK/COL4A1/COL15A1",6,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_without_stress","adjacent_vs_healthy_u1","both","high_confidence_stress_removed","over_representation","Reactome","Pathway","R-HSA-8957275","Post-translational protein phosphorylation","7/62","105/10634",2.3557116845936e-06,0.000131527235723143,0.000120678563491462,"LAMC1/FN1/IGFBP5/VCAN/TIMP1/SPP1/TNC",7,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_without_stress","adjacent_vs_healthy_u1","both","high_confidence_stress_removed","over_representation","Reactome","Pathway","R-HSA-216083","Integrin cell surface interactions","6/62","83/10634",8.16639464945463e-06,0.000390820315366757,0.000358584547013647,"COL6A3/FN1/COL1A2/COL4A1/SPP1/TNC",6,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_without_stress","adjacent_vs_healthy_u1","both","high_confidence_stress_removed","over_representation","Reactome","Pathway","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","5/62","61/10634",2.64700536281829e-05,0.00110843349568016,0.00101700732360913,"COL6A3/PXDN/COL1A2/COL4A1/COL15A1",5,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_without_stress","adjacent_vs_healthy_u1","both","high_confidence_stress_removed","over_representation","Reactome","Pathway","R-HSA-3000171","Non-integrin membrane-ECM interactions","5/62","78/10634",8.70672397493918e-05,0.00324083614622736,0.00297352444524239,"LAMC1/FN1/COL1A2/COL4A1/TNC",5,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"high_confidence_without_stress","adjacent_vs_healthy_u1","both","high_confidence_stress_removed","over_representation","Reactome","Pathway","R-HSA-8948216","Collagen chain trimerization","4/62","44/10634",0.000119424048709858,0.00400070563178023,0.00367071812876615,"COL6A3/COL1A2/COL4A1/COL15A1",4,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
