"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"provisional_field_down","adjacent_vs_healthy_u1","down","provisional","over_representation","GO","Biological Process","GO:0006631","fatty acid metabolic process","38/484","369/16135",3.24926132322899e-11,9.30646758865419e-08,8.83562346458493e-08,"MCEE/LYPLA1/AUH/ETFA/PECR/ACADM/CRYL1/ETFDH/ABHD5/PHYH/HPGD/BDH2/DBI/PTGR1/EHHADH/CROT/NUDT7/ABCD3/FMO4/NR1H3/ACSM3/PPARG/PDK3/APOC2/ACAA2/ACADS/APPL2/ACOT4/EDN2/SLC27A2/HPGDS/FABP2/ACSF2/ABHD3/ACOX1/LIPA/EDN1/GSTA1",38,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_down","adjacent_vs_healthy_u1","down","provisional","over_representation","GO","Biological Process","GO:0046395","carboxylic acid catabolic process","29/484","231/16135",6.93133137188743e-11,9.30646758865419e-08,8.83562346458493e-08,"MCEE/AUH/ETFA/ACADM/CRYL1/ETFDH/BCKDHB/GLUD1/PHYH/BDH2/MCCC1/EHHADH/CROT/NUDT7/ABCD3/ABAT/ACAA2/ACADS/HIBCH/ACOT4/SLC27A2/SLC16A1/CBS/CRYM/ABHD3/OTC/ACOX1/DPEP1/ARG2",29,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_down","adjacent_vs_healthy_u1","down","provisional","over_representation","GO","Biological Process","GO:0044282","small molecule catabolic process","36/484","350/16135",1.1313206647295e-10,1.04830703676839e-07,9.95269812517521e-08,"MCEE/AUH/ETFA/ACADM/CRYL1/ETFDH/BCKDHB/GLYCTK/GLUD1/PHYH/BDH2/GK/MCCC1/EHHADH/CROT/NUDT7/ABCD3/ABAT/GDA/SULT1B1/ACAA2/ACADS/HIBCH/ACOT4/SLC27A2/SLC16A1/ALDOB/CBS/CRYM/ABHD3/OTC/ACOX1/DPEP1/ARG2/FUT2/AKR1B10",36,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_down","adjacent_vs_healthy_u1","down","provisional","over_representation","GO","Biological Process","GO:0044248","cellular catabolic process","33/484","301/16135",1.30127487185748e-10,1.04830703676839e-07,9.95269812517521e-08,"MCEE/SUCLG2/AUH/ETFA/ACADM/CRYL1/ETFDH/BCKDHB/SUCLA2/GLUD1/PHYH/BDH2/MCCC1/EHHADH/CROT/NUDT7/TRHDE/ABCD3/ABAT/ACAA2/ACADS/HIBCH/ACOT4/SLC27A2/SLC16A1/CBS/CRYM/ABHD3/OTC/ACOX1/ANPEP/DPEP1/ARG2",33,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_down","adjacent_vs_healthy_u1","down","provisional","over_representation","GO","Biological Process","GO:0016042","lipid catabolic process","31/484","331/16135",2.1429858885897e-08,1.23313530846276e-05,1.17074702755585e-05,"MCEE/AUH/ETFA/ACADM/ETFDH/GDPD1/ABHD5/PHYH/HPGD/BDH2/NAPEPLD/SRD5A1/EHHADH/CROT/NUDT7/ABCD3/ACER3/SGPP1/APOC2/ACAA2/ACADS/SLC27A2/PLA2G12B/PLCD1/ABHD3/ACOX1/GDPD3/LIPA/DPEP1/ADRA2A/AKR1B10",31,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_down","adjacent_vs_healthy_u1","down","provisional","over_representation","GO","Biological Process","GO:0006790","sulfur compound metabolic process","26/484","301/16135",1.40990927528951e-06,0.000436854966220473,0.000414753068593262,"MCEE/SUCLG2/SUCLA2/GCLM/PTER/TSTD1/MCCC1/CROT/NUDT7/ACSM3/APIP/PDK3/UGDH/SULT1B1/ACOT4/SLC27A2/ENPP1/HPGDS/CBS/SLC1A1/ACSF2/HMGCS2/DPEP1/GSTA1/PAPSS2/GSTT1",26,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_down","adjacent_vs_healthy_u1","down","provisional","over_representation","GO","Biological Process","GO:0006066","alcohol metabolic process","28/484","342/16135",1.61217518845693e-06,0.000463845832793178,0.000440378380425865,"CAT/PECR/GDPD1/FMO5/FDX1/NAPEPLD/GK/DHFR/ADH6/LPCAT3/INPP5J/ACER3/SGPP1/IMPA1/CEBPA/IMPA2/SULT1B1/ACAA2/P2RY1/ALDH1A1/ADH1C/HMGCS2/GDPD3/LIPA/AQP8/NR1H4/AKR1B15/AKR1B10",28,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_down","adjacent_vs_healthy_u1","down","provisional","over_representation","GO","Biological Process","GO:0043603","amide metabolic process","32/484","439/16135",3.5965174866557e-06,0.000905423277265572,0.000859615001909221,"MCEE/SUCLG2/CASP3/SUCLA2/GCLM/NAPEPLD/DHFR/MCCC1/CROT/NUDT7/SLC25A16/NAT8B/ACER3/ACSM3/GDA/PDK3/CEBPA/ACOT4/SLC27A2/HPGDS/ALDOB/SLC1A1/EFNA1/ACSF2/HMGCS2/OTC/DPEP1/GSTA1/AGMAT/NR1H4/GSTT1/ARG2",32,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_down","adjacent_vs_healthy_u1","down","provisional","over_representation","GO","Biological Process","GO:0019627","urea metabolic process","5/484","14/16135",3.80575425574994e-05,0.00766478907108038,0.00727700274270501,"CEBPA/OTC/AGMAT/NR1H4/ARG2",5,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_down","adjacent_vs_healthy_u1","down","provisional","over_representation","GO","Biological Process","GO:0071941","nitrogen cycle metabolic process","5/484","16/16135",7.90020240958892e-05,0.0144645524117383,0.0137327441885342,"CEBPA/OTC/AGMAT/NR1H4/ARG2",5,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
