"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","GO","Biological Process","GO:0030198","extracellular matrix organization","58/802","315/16135",2.45450646941683e-18,3.4285160135542e-15,2.46776686960225e-15,"SFRP2/ADAMTS1/GREM1/TGFBR3/COL14A1/CCDC80/DPT/ABI3BP/COL16A1/FOXF1/FBLN1/ADAMTS5/CAV1/SH3PXD2B/ECM2/LAMB2/FBLN5/FOXC1/DDR2/COL6A1/ENG/COL5A1/COL18A1/LAMA2/CAV2/MFAP4/RAMP2/OLFML2A/CSGALNACT1/ADAMTS4/LTBP4/PRICKLE1/COL1A1/SMOC2/COL4A5/PTX3/MYH11/CTSG/LOXL1/HMCN1/AGT/EMILIN1/GPM6B/ADAMTSL3/CYP1B1/CRTAP/ITGA8/OLFML2B/COL3A1/CMA1/FOXF2/LUM/NID1/PHLDB2/COL4A2/POSTN/ADAMTS8/SPINK5",58,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","GO","Biological Process","GO:0045765","regulation of angiogenesis","55/802","288/16135",3.43952248550782e-18,3.4285160135542e-15,2.46776686960225e-15,"SFRP2/ADAMTS1/KLF2/GREM1/C3/PTGIS/SFRP1/CDH5/VEGFC/SASH1/ECSCR/PTPRM/CLDN5/DCN/PLXND1/HSPG2/SERPINE1/FOXC1/ENG/ANGPT2/TEK/SPRY2/RHOJ/WNK1/THBS1/RAMP2/CXCR4/QKI/TGFBR2/SMOC2/EPHA2/F3/APLNR/TWIST1/EMILIN1/PRKD1/CD36/CYP1B1/SERPINF1/CMA1/ITGA5/ADM/SEMA3E/FYN/IL1B/HHEX/CCBE1/FGF2/THBS4/COL4A2/HSPB6/CHI3L1/CXCL13/SPINK5/CXCL10",55,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","GO","Biological Process","GO:0031589","cell-substrate adhesion","57/802","342/16135",5.36963747956645e-16,4.46037886635986e-13,3.21047798778289e-13,"GREM1/FBLN2/SFRP1/LYVE1/CCDC80/APOD/ABI3BP/FAM107A/L1CAM/COL16A1/FOXF1/FBLN1/SERPINE1/TLN1/ECM2/FBLN5/MAP4K4/DLC1/ANGPT2/TEK/MYOC/JAG1/FLNA/THBS1/JAM3/SIGLEC1/CCL21/ITGA7/PKD1/EFNA5/COL1A1/FERMT2/EMILIN1/GPM6B/CD36/MYADM/FZD7/ANGPT1/ITGA8/STON1/COL3A1/ACTN1/LIMCH1/MUC4/ITGA5/SEMA3E/AXL/SGCE/SORBS1/VCL/NID1/PHLDB2/BCL6/LIMS2/GBP1/POSTN/ITGA1",57,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","GO","Biological Process","GO:0042692","muscle cell differentiation","60/802","385/16135",2.186488475703e-15,1.55677979470054e-12,1.12053424439035e-12,"GREM1/LMNA/COL14A1/UCHL1/HEY2/RGS2/CSRP2/FOXF1/ADAMTS5/LAMB2/COL6A1/ENG/SKI/LAMA2/PLEC/CAV2/RORA/MEIS1/RAMP2/RBPMS2/ZEB1/PRICKLE1/PI16/QKI/DNMT1/BMP4/MYL9/SYNE1/CFL2/APLNR/MYH11/AKAP13/PRKD1/FZD7/TBX2/TMOD1/ITGA8/FLNC/CD81/DNER/PRDM6/ACTN1/PROX1/ADM/PLEKHO1/BHLHE41/LMOD1/CACNA1H/KCNJ8/SLC8A1/CDH2/SGCD/FHOD3/SORBS2/NID1/POPDC2/CSRP1/ASB2/GDF15/CXCL10",60,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","GO","Biological Process","GO:0090287","regulation of cellular response to growth factor stimulus","52/802","314/16135",1.40350754525061e-14,8.74385200691131e-12,6.29362330817642e-12,"SFRP2/GREM1/TGFBR3/CILP/SFRP1/CDH5/VEGFC/GLG1/FSTL1/GREM2/LTBP1/FBN1/DCN/CAV1/MMRN1/VASN/ZEB2/SLIT2/ENG/FAM20C/SKI/HTRA3/SPRY1/CAV2/SPRY2/THBS1/RBPMS2/ZEB1/LTBP4/LATS2/BMP4/SMOC2/TGFB1I1/AGT/EMILIN1/ITGA8/PMEPA1/NRXN1/CHRDL1/CHST11/WASF1/ITGA5/GPR155/IL1B/HHEX/CCBE1/TWSG1/TNFAIP6/FGF2/CXCL13/GDF15/HOXA13",52,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","GO","Biological Process","GO:0010810","regulation of cell-substrate adhesion","40/802","213/16135",2.57485822804656e-13,1.2833093408584e-10,9.23696509598175e-11,"GREM1/FBLN2/SFRP1/CCDC80/APOD/ABI3BP/FAM107A/COL16A1/FOXF1/FBLN1/SERPINE1/TLN1/ECM2/MAP4K4/DLC1/ANGPT2/TEK/MYOC/JAG1/FLNA/THBS1/CCL21/EFNA5/COL1A1/FERMT2/EMILIN1/GPM6B/CD36/MYADM/FZD7/LIMCH1/ITGA5/SEMA3E/VCL/NID1/PHLDB2/BCL6/LIMS2/GBP1/POSTN",40,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","GO","Biological Process","GO:0060537","muscle tissue development","59/802","420/16135",4.01216448220566e-13,1.70824219593472e-10,1.2295533926978e-10,"EGR1/FOS/GREM1/TGFBR3/HEG1/LMNA/COL14A1/S1PR1/ZFPM2/HEY2/RGS2/CSRP2/CAV1/PLN/DDX5/FOXC1/COL6A1/ENG/MAFF/FGFR1/SKI/MEOX2/PLEC/CAV2/MEIS1/NR2F2/ATF3/PRICKLE1/PI16/BMP4/SYNE1/CFL2/TWIST1/MYH11/AKAP13/FZD7/TBX2/HLF/PHOX2B/MYLK/ITGA8/COL3A1/DNER/PROX1/KCNJ8/HLX/SLC8A1/SGCD/FHOD3/SORBS2/FGF2/SVIL/GJC1/POPDC2/CSRP1/BTG2/ASB2/RBP4/HAND1",59,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","GO","Biological Process","GO:0030336","negative regulation of cell migration","47/802","287/16135",4.11294268684122e-13,1.70824219593472e-10,1.2295533926978e-10,"SFRP2/GREM1/TGFBR3/SFRP1/DUSP1/APOD/PTPRM/CLDN5/DCN/MMRN1/SERPINE1/HYAL2/ZEB2/SLIT2/ENG/TRIB1/DLC1/IGFBP3/ANGPT2/MEOX2/JAG1/THBS1/TMEFF2/CCL21/NR2F2/STC1/BMP4/CXCL12/PODN/EPHA4/MITF/EMILIN1/CYP1B1/SERPINF1/ADIPOQ/COL3A1/BST2/LIMCH1/CCL2/CLIC4/VCL/TNFAIP6/PHLDB2/FGF2/IFITM1/CXCL13/GDF15",47,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","GO","Biological Process","GO:0043542","endothelial cell migration","40/802","220/16135",7.68823235587957e-13,2.73701071869313e-10,1.97003728337125e-10,"GREM1/TGFBR3/CDH5/VEGFC/SOX18/SASH1/CLEC14A/PTPRM/FSTL1/SCG2/DCN/PLXND1/MMRN1/ZEB2/SLIT2/ANGPT2/FGFR1/TEK/MEOX2/RHOJ/THBS1/PTN/NR2F2/STC1/SMOC2/EPHA2/SRPX2/ID1/AGT/PRKD1/PTGS2/ANGPT1/CYP1B1/ANXA1/SERPINF1/PROX1/CCBE1/FGF2/S100A8/CXCL13",40,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","GO","Biological Process","GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","52/802","355/16135",2.05181391195028e-12,6.39140033572511e-10,4.60038277100431e-10,"EGR1/FOS/SFRP2/GREM1/TGFBR3/SPTBN1/CILP/SFRP1/CDH5/TMEM100/GLG1/CLDN5/FSTL1/GREM2/LTBP1/FBN1/CAV1/VASN/ZEB2/DDX5/ENG/WWTR1/SKI/HTRA3/SPRY1/CAV2/SPRY2/LTBP2/THBS1/RBPMS2/ZEB1/LTBP4/LATS2/BMP4/LTBP3/TGFBR2/INHBB/TGFB1I1/FERMT2/ID1/EMILIN1/ITGA8/PMEPA1/CHRDL1/CHST11/NFIA/COL3A1/GPR155/TWSG1/TNFAIP6/GDF15/HOXA13",52,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","GO","Biological Process","GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","50/802","335/16135",2.70728084323857e-12,7.93711042511826e-10,5.71294929644399e-10,"EGR1/FOS/SFRP2/GREM1/TGFBR3/CILP/SFRP1/CDH5/TMEM100/GLG1/CLDN5/FSTL1/GREM2/LTBP1/FBN1/CAV1/VASN/ZEB2/DDX5/ENG/SKI/HTRA3/SPRY1/CAV2/SPRY2/LTBP2/THBS1/RBPMS2/ZEB1/LTBP4/LATS2/BMP4/LTBP3/TGFBR2/INHBB/TGFB1I1/FERMT2/ID1/EMILIN1/ITGA8/PMEPA1/CHRDL1/CHST11/NFIA/COL3A1/GPR155/TWSG1/TNFAIP6/GDF15/HOXA13",50,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
