"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"qc_excluded_field_down","adjacent_vs_healthy_qc_excluded","down","qc_sensitivity","over_representation","GO","Biological Process","GO:0046395","carboxylic acid catabolic process","30/538","231/16135",1.82693478275815e-10,3.70685067421629e-07,3.63463867306622e-07,"MCEE/AUH/RIDA/ETFA/ACADM/CRYL1/ETFDH/BCKDHB/GLUD1/PHYH/BDH2/MCCC1/EHHADH/CROT/NUDT7/ABCD3/ABAT/ACAA2/ACADS/HIBCH/ACOT4/SLC27A2/SLC16A1/CBS/ABHD3/OTC/ACOX1/DPEP1/ARG2/ADTRP",30,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_down","adjacent_vs_healthy_qc_excluded","down","qc_sensitivity","over_representation","GO","Biological Process","GO:0044248","cellular catabolic process","34/538","301/16135",5.00768205409548e-10,6.77372459183982e-07,6.64176777701085e-07,"MCEE/SUCLG2/AUH/RIDA/ETFA/ACADM/CRYL1/ETFDH/BCKDHB/SUCLA2/GLUD1/PHYH/BDH2/MCCC1/EHHADH/CROT/NUDT7/TRHDE/ABCD3/ABAT/ACAA2/ACADS/HIBCH/ACOT4/SLC27A2/SLC16A1/CBS/ABHD3/OTC/ACOX1/ANPEP/DPEP1/ARG2/ADTRP",34,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_down","adjacent_vs_healthy_qc_excluded","down","qc_sensitivity","over_representation","GO","Biological Process","GO:0006631","fatty acid metabolic process","38/538","369/16135",6.91108135899038e-10,7.01129203869574e-07,6.87470724657464e-07,"MCEE/LYPLA1/AUH/ETFA/PECR/ACADM/CRYL1/ETFDH/ABHD5/PHYH/HPGD/BDH2/DBI/PTGR1/EHHADH/CROT/NUDT7/ABCD3/FMO4/NR1H3/ACSM3/PPARG/PDK3/APOC2/ACAA2/ACADS/APPL2/ACOT4/EDN2/SLC27A2/HPGDS/FABP2/ACSF2/ABHD3/ACOX1/CYP2C18/LIPA/ADTRP",38,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_down","adjacent_vs_healthy_qc_excluded","down","qc_sensitivity","over_representation","GO","Biological Process","GO:0044282","small molecule catabolic process","35/538","350/16135",7.15210121003296e-09,5.80464534206275e-06,5.69156685766834e-06,"MCEE/AUH/RIDA/ETFA/ACADM/CRYL1/ETFDH/BCKDHB/GLYCTK/GLUD1/PHYH/BDH2/GK/MCCC1/EHHADH/CROT/NUDT7/ABCD3/ABAT/GDA/SULT1B1/ACAA2/ACADS/HIBCH/ACOT4/SLC27A2/SLC16A1/ALDOB/CBS/ABHD3/OTC/ACOX1/DPEP1/ARG2/ADTRP",35,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_down","adjacent_vs_healthy_qc_excluded","down","qc_sensitivity","over_representation","GO","Biological Process","GO:0016042","lipid catabolic process","32/538","331/16135",7.07916667435162e-08,3.59090729556486e-05,3.52095395119068e-05,"MCEE/AUH/ETFA/ACADM/ETFDH/GDPD1/ABHD5/PHYH/HPGD/BDH2/NAPEPLD/SRD5A1/EHHADH/CROT/NUDT7/ABCD3/ACER3/SGPP1/BCO1/APOC2/ACAA2/ACADS/SLC27A2/GBA3/PLA2G12B/ABHD3/ACOX1/GDPD3/LIPA/DPEP1/ADRA2A/ADTRP",32,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_down","adjacent_vs_healthy_qc_excluded","down","qc_sensitivity","over_representation","GO","Biological Process","GO:0006790","sulfur compound metabolic process","26/538","301/16135",9.54750866579734e-06,0.0032286491804838,0.00316575287339596,"MCEE/SUCLG2/MPC2/SUCLA2/PANK3/GCLM/PTER/TSTD1/MCCC1/CROT/NUDT7/ACSM3/APIP/PDK3/UGDH/SULT1B1/ACOT4/SLC27A2/ENPP1/HPGDS/CBS/SLC1A1/ACSF2/HMGCS2/DPEP1/GSTT1",26,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_down","adjacent_vs_healthy_qc_excluded","down","qc_sensitivity","over_representation","GO","Biological Process","GO:0006066","alcohol metabolic process","28/538","342/16135",1.19536714424705e-05,0.00354927874048831,0.00348013634900413,"CAT/PECR/GDPD1/FMO5/FDX1/NAPEPLD/GK/DHFR/ADH6/LPCAT3/INPP5J/ACER3/SGPP1/IMPA1/BCO1/CEBPA/SULT1B1/ACAA2/P2RY1/ALDH1A1/ADH1C/HMGCS2/GDPD3/CYP2C18/LIPA/AQP8/NR1H4/AKR1B15",28,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_down","adjacent_vs_healthy_qc_excluded","down","qc_sensitivity","over_representation","GO","Biological Process","GO:0043603","amide metabolic process","33/538","439/16135",1.22449241909405e-05,0.00354927874048831,0.00348013634900413,"MCEE/SUCLG2/MPC2/CASP3/SUCLA2/PANK3/GCLM/NAPEPLD/DHFR/MCCC1/CROT/NUDT7/SLC25A16/NAT8B/ACER3/ACSM3/GDA/PDK3/CEBPA/ACOT4/SLC27A2/GBA3/HPGDS/ALDOB/SLC1A1/EFNA1/ACSF2/HMGCS2/OTC/DPEP1/NR1H4/GSTT1/ARG2",33,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_down","adjacent_vs_healthy_qc_excluded","down","qc_sensitivity","over_representation","GO","Biological Process","GO:0055088","lipid homeostasis","16/538","160/16135",9.04451001003481e-05,0.0183513108103606,0.0179938146515429,"SAR1B/SLC25A46/APOM/ABHD5/NR1H3/ACSM3/PPARG/CEBPA/TLCD4/APOC2/PLA2G12B/ACOX1/LIPA/TM6SF2/NR1H4/IL18",16,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_down","adjacent_vs_healthy_qc_excluded","down","qc_sensitivity","over_representation","GO","Biological Process","GO:0006644","phospholipid metabolic process","27/538","370/16135",0.000123688425982236,0.0239013158398055,0.0234357017650553,"CRLS1/GDPD1/TMEM38B/ABHD5/FLVCR1/NAPEPLD/DBI/PIGP/PGAP2/LPCAT3/ETNK1/PLCL2/INPP5J/NR1H3/SH3YL1/SGPP1/IMPA1/SLC44A3/CHP1/APOC2/PIP5K1B/CWH43/PLA2G12B/ABHD3/HMGCS2/GDPD3/NR1H4",27,NA,NA,NA,TRUE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
