"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"qc_excluded_field_up","adjacent_vs_healthy_qc_excluded","up","qc_sensitivity","over_representation","Reactome","Pathway","R-HSA-1474244","Extracellular matrix organization","77/610","313/10634",4.18393105435266e-29,4.72365816036415e-26,4.18393105435266e-26,"ADAMTS1/FBLN2/MFAP5/HTRA1/COL6A3/PECAM1/PCOLCE2/COL14A1/EFEMP1/MMP2/LAMC1/FN1/PXDN/SSPN/COL16A1/LTBP1/FBN1/DCN/FBLN1/ADAMTS5/HSPG2/COL1A2/SERPINE1/P3H1/VCAN/A2M/LAMB2/CTSK/FBLN5/DDR2/SPARC/COL6A1/EFEMP2/COL5A1/COL18A1/JAM2/COL4A1/LAMA2/PLEC/LTBP2/THBS1/TIMP2/JAM3/SDC2/MFAP4/ACTG2/TIMP1/ITGA7/ADAMTS4/LTBP4/ASPN/BMP4/LTBP3/COL1A1/COL4A5/CTSG/LOXL1/COL15A1/EMILIN1/BMP7/CRTAP/SPP1/ITGA8/TNC/NRXN1/COL3A1/CMA1/ACTN1/ITGA5/LUM/SGCE/SGCD/NID1/FGF2/COL4A2/ADAMTS8/VCAM1",77,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_up","adjacent_vs_healthy_qc_excluded","up","qc_sensitivity","over_representation","Reactome","Pathway","R-HSA-1566948","Elastic fibre formation","19/610","42/10634",2.54473296196538e-13,1.43650175702946e-10,1.27236648098269e-10,"FBLN2/MFAP5/EFEMP1/FN1/LTBP1/FBN1/FBLN1/FBLN5/EFEMP2/LTBP2/MFAP4/LTBP4/BMP4/LTBP3/LOXL1/EMILIN1/BMP7/ITGA8/ITGA5",19,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_up","adjacent_vs_healthy_qc_excluded","up","qc_sensitivity","over_representation","Reactome","Pathway","R-HSA-2129379","Molecules associated with elastic fibres","17/610","35/10634",1.09173641798773e-12,4.10856805302714e-10,3.63912139329242e-10,"FBLN2/MFAP5/EFEMP1/FN1/LTBP1/FBN1/FBLN1/FBLN5/EFEMP2/LTBP2/MFAP4/LTBP4/BMP4/LTBP3/EMILIN1/BMP7/ITGA8",17,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_up","adjacent_vs_healthy_qc_excluded","up","qc_sensitivity","over_representation","Reactome","Pathway","R-HSA-216083","Integrin cell surface interactions","25/610","83/10634",2.65209027122987e-12,7.4855247905463e-10,6.63022567807467e-10,"COL6A3/PECAM1/FN1/COL16A1/FBN1/HSPG2/COL1A2/COL6A1/COL5A1/COL18A1/JAM2/COL4A1/THBS1/JAM3/ITGA7/COL1A1/COL4A5/SPP1/ITGA8/TNC/COL3A1/ITGA5/LUM/COL4A2/VCAM1",25,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_up","adjacent_vs_healthy_qc_excluded","up","qc_sensitivity","over_representation","Reactome","Pathway","R-HSA-1474228","Degradation of the extracellular matrix","32/610","136/10634",4.07390464882442e-12,8.6723959484818e-10,7.68148445392542e-10,"ADAMTS1/HTRA1/COL6A3/COL14A1/MMP2/LAMC1/FN1/COL16A1/FBN1/DCN/ADAMTS5/HSPG2/COL1A2/A2M/CTSK/COL6A1/COL5A1/COL18A1/COL4A1/TIMP2/TIMP1/ADAMTS4/COL1A1/COL4A5/CTSG/COL15A1/SPP1/COL3A1/CMA1/NID1/COL4A2/ADAMTS8",32,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_up","adjacent_vs_healthy_qc_excluded","up","qc_sensitivity","over_representation","Reactome","Pathway","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","30/610","121/10634",4.60889067235525e-12,8.6723959484818e-10,7.68148445392542e-10,"CCN1/C3/IGFBP6/MMP2/LAMC1/FN1/FSTL1/SCG2/IGFBP5/LTBP1/FBN1/VCAN/SPARCL1/LAMB2/FAM20C/IGFBP3/SDC2/TIMP1/BMP4/CP/CKAP4/CTSG/SPP1/TNC/CHRDL1/APOL1/CALU/CDH2/PENK/LGALS1",30,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_up","adjacent_vs_healthy_qc_excluded","up","qc_sensitivity","over_representation","Reactome","Pathway","R-HSA-3000178","ECM proteoglycans","23/610","73/10634",7.06093516969565e-12,1.13882797236948e-09,1.00870502424224e-09,"COL6A3/LAMC1/FN1/DCN/HSPG2/COL1A2/SERPINE1/VCAN/LAMB2/SPARC/COL6A1/COL5A1/COL4A1/LAMA2/ITGA7/ASPN/COL1A1/COL4A5/ITGA8/TNC/COL3A1/LUM/COL4A2",23,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_up","adjacent_vs_healthy_qc_excluded","up","qc_sensitivity","over_representation","Reactome","Pathway","R-HSA-909733","Interferon alpha/beta signaling","23/610","74/10634",9.70263995634393e-12,1.36928506383904e-09,1.21282999454299e-09,"EGR1/XAF1/SOCS3/PTPN11/EIF2AK2/MX1/MX2/IFIT3/IFIT1/IFI6/IFITM2/USP18/SOCS1/ISG15/OAS3/BST2/OAS2/IFITM3/IFI35/IRF7/IFITM1/RSAD2/IFIT2",23,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_up","adjacent_vs_healthy_qc_excluded","up","qc_sensitivity","over_representation","Reactome","Pathway","R-HSA-8957275","Post-translational protein phosphorylation","27/610","105/10634",2.19417993651793e-11,2.75247683147638e-09,2.43797770724214e-09,"CCN1/C3/LAMC1/FN1/FSTL1/SCG2/IGFBP5/LTBP1/FBN1/VCAN/SPARCL1/LAMB2/FAM20C/IGFBP3/SDC2/TIMP1/BMP4/CP/CKAP4/SPP1/TNC/CHRDL1/APOL1/CALU/CDH2/PENK/LGALS1",27,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"qc_excluded_field_up","adjacent_vs_healthy_qc_excluded","up","qc_sensitivity","over_representation","Reactome","Pathway","R-HSA-3000171","Non-integrin membrane-ECM interactions","23/610","78/10634",3.26427778293502e-11,3.62426045740223e-09,3.21015098087e-09,"LAMC1/FN1/SSPN/HSPG2/COL1A2/LAMB2/DDR2/COL5A1/COL4A1/LAMA2/THBS1/SDC2/ACTG2/COL1A1/COL4A5/TNC/NRXN1/COL3A1/ACTN1/SGCE/SGCD/FGF2/COL4A2",23,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
