"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"task_c_locked_panel","tumor_vs_adjacent_predictive","model","locked_model_panel","over_representation","GO","Biological Process","GO:0043588","skin development","2/3","315/16135",0.00112511408162055,0.0347243489371887,0.00892547524701301,"FOXQ1/ETV4",2,NA,NA,NA,TRUE,"exploratory small-panel over-representation; not mechanistic evidence","raw_cel_rma_tier_specific_enrichment"
"task_c_locked_panel","tumor_vs_adjacent_predictive","model","locked_model_panel","over_representation","GO","Biological Process","GO:0008544","epidermis development","2/3","384/16135",0.00166813045655525,0.0347243489371887,0.00892547524701301,"FOXQ1/ETV4",2,NA,NA,NA,TRUE,"exploratory small-panel over-representation; not mechanistic evidence","raw_cel_rma_tier_specific_enrichment"
"task_c_locked_panel","tumor_vs_adjacent_predictive","model","locked_model_panel","over_representation","GO","Biological Process","GO:0030213","hyaluronan biosynthetic process","1/3","13/16135",0.00241530830659009,0.0347243489371887,0.00892547524701301,"CEMIP",1,NA,NA,NA,TRUE,"exploratory small-panel over-representation; not mechanistic evidence","raw_cel_rma_tier_specific_enrichment"
"task_c_locked_panel","tumor_vs_adjacent_predictive","model","locked_model_panel","over_representation","GO","Biological Process","GO:0030214","hyaluronan catabolic process","1/3","16/16135",0.00297213428283716,0.0347243489371887,0.00892547524701301,"CEMIP",1,NA,NA,NA,TRUE,"exploratory small-panel over-representation; not mechanistic evidence","raw_cel_rma_tier_specific_enrichment"
"task_c_locked_panel","tumor_vs_adjacent_predictive","model","locked_model_panel","over_representation","GO","Biological Process","GO:0045618","positive regulation of keratinocyte differentiation","1/3","17/16135",0.00315769688579959,0.0347243489371887,0.00892547524701301,"ETV4",1,NA,NA,NA,TRUE,"exploratory small-panel over-representation; not mechanistic evidence","raw_cel_rma_tier_specific_enrichment"
"task_c_locked_panel","tumor_vs_adjacent_predictive","model","locked_model_panel","over_representation","GO","Biological Process","GO:0010800","positive regulation of peptidyl-threonine phosphorylation","1/3","18/16135",0.00334323646324985,0.0347243489371887,0.00892547524701301,"CEMIP",1,NA,NA,NA,TRUE,"exploratory small-panel over-representation; not mechanistic evidence","raw_cel_rma_tier_specific_enrichment"
"task_c_locked_panel","tumor_vs_adjacent_predictive","model","locked_model_panel","over_representation","GO","Biological Process","GO:0090314","positive regulation of protein targeting to membrane","1/3","25/16135",0.00464136891106548,0.0347243489371887,0.00892547524701301,"CEMIP",1,NA,NA,NA,TRUE,"exploratory small-panel over-representation; not mechanistic evidence","raw_cel_rma_tier_specific_enrichment"
"task_c_locked_panel","tumor_vs_adjacent_predictive","model","locked_model_panel","over_representation","GO","Biological Process","GO:0045684","positive regulation of epidermis development","1/3","31/16135",0.00575315629852546,0.0347243489371887,0.00892547524701301,"ETV4",1,NA,NA,NA,TRUE,"exploratory small-panel over-representation; not mechanistic evidence","raw_cel_rma_tier_specific_enrichment"
"task_c_locked_panel","tumor_vs_adjacent_predictive","model","locked_model_panel","over_representation","GO","Biological Process","GO:0031069","hair follicle morphogenesis","1/3","33/16135",0.00612356803501735,0.0347243489371887,0.00892547524701301,"FOXQ1",1,NA,NA,NA,TRUE,"exploratory small-panel over-representation; not mechanistic evidence","raw_cel_rma_tier_specific_enrichment"
"task_c_locked_panel","tumor_vs_adjacent_predictive","model","locked_model_panel","over_representation","GO","Biological Process","GO:0030212","hyaluronan metabolic process","1/3","34/16135",0.00630873939856791,0.0347243489371887,0.00892547524701301,"CEMIP",1,NA,NA,NA,TRUE,"exploratory small-panel over-representation; not mechanistic evidence","raw_cel_rma_tier_specific_enrichment"
