"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_set","database"
"GO:0016042","lipid catabolic process","87/1839","331/16135",0.262839879154079,2.3061019304791,8.61117031424925,3.00070277224745e-14,1.71130079101272e-10,1.3733742793402e-10,"HPGD/PLCD1/ACADS/PRDX6/PLCE1/ETFDH/GBA2/PLAAT2/PLPP1/SMPD1/ADTRP/ABHD3/GBA3/ACADVL/GDPD3/FUCA1/PCK1/CPT2/ACAT1/MGLL/ABHD5/AKR1B10/HADHB/CPT1A/ACADM/ACAA1/HSD17B11/ACAA2/CYP4F12/ACOX1/ECHDC2/PLPP3/SCP2/SESN2/LIPH/ETFBKMT/HADHA/PLCG2/PRKCE/ADRA2A/PAFAH2/PLCD3/NEU4/PLD1/GDE1/ETFA/ABCD3/NAPEPLD/CNR1/ECHS1/HADH/EHHADH/SCARB2/FABP1/SMPD3/ECI2/GBA1/CRAT/BCO1/AUH/CIDEC/PRKCD/PLCXD3/ENPP2/SLC27A4/SMPDL3B/DECR1/DGKD/PLAAT4/RARRES2/SPART/PNLIPRP2/ACER3/ADIPOQ/PHYH/SGPP1/PNPLA4/CYP3A4/NUDT7/AKR1C3/STS/PLA2G2A/PLIN1/CYP27A1/PCK2/CYP1B1/PLA2G4A",87,"tumor_vs_adjacent_down","GO_BP"
"GO:0009062","fatty acid catabolic process","36/1839","100/16135",0.36,3.15856443719413,7.76578131706325,1.01459364941927e-10,2.89311379131904e-07,2.32181746719735e-07,"ACADS/ETFDH/ADTRP/ABHD3/ACADVL/PCK1/CPT2/ACAT1/HADHB/CPT1A/ACADM/ACAA1/ACAA2/CYP4F12/ACOX1/ECHDC2/SCP2/SESN2/ETFBKMT/HADHA/ETFA/ABCD3/CNR1/ECHS1/HADH/EHHADH/FABP1/ECI2/CRAT/AUH/SLC27A4/DECR1/ADIPOQ/PHYH/NUDT7/PCK2",36,"tumor_vs_adjacent_down","GO_BP"
"GO:0006631","fatty acid metabolic process","84/1839","369/16135",0.227642276422764,1.99728555197461,6.95066840978042,2.83280674314062e-10,5.38516561871032e-07,4.32176972602646e-07,"HPGD/ACADS/HPGDS/ETFDH/FABP2/ADTRP/ABHD3/MGST3/APPL2/PLP1/CD36/ACADVL/PCK1/CPT2/PPARGC1A/PDK4/ACAT1/MGLL/ABHD5/CEACAM1/HADHB/CPT1A/ACADM/ACAA1/ACAA2/CYP4F12/ACOX1/TNFRSF1A/ECHDC2/SCP2/SESN2/FMO4/ETFBKMT/CES2/HADHA/MMUT/ACSS2/PRKAR2B/NCOR1/ETFA/ABCD3/ACSF2/CNR1/ECHS1/HADH/EHHADH/FABP1/EDN2/CYP2C18/ECI2/AKR1C1/GSTM4/CRAT/PTGS1/AUH/KAT2B/ELOVL6/PTGIS/SLC27A4/DECR1/PTGDS/CAV1/PNLIPRP2/ADIPOQ/PRKAA2/PPARG/GSTA1/PTGR1/FA2H/PHYH/CYP3A4/NUDT7/AKR1C3/ACSM3/TYRP1/ALDH3A2/CYP2J2/FMO2/PCK2/EPHX1/C3/CYP1B1/EDN1/PLA2G4A",84,"tumor_vs_adjacent_down","GO_BP"
"GO:0006635","fatty acid beta-oxidation","28/1839","70/16135",0.4,3.50951604132681,7.54663338251726,7.35122415946503e-10,1.04810078453573e-06,8.41134806456683e-07,"ACADS/ETFDH/ACADVL/CPT2/ACAT1/HADHB/CPT1A/ACADM/ACAA1/ACAA2/ACOX1/ECHDC2/SCP2/SESN2/ETFBKMT/HADHA/ETFA/ABCD3/CNR1/ECHS1/HADH/EHHADH/FABP1/ECI2/CRAT/AUH/DECR1/ADIPOQ",28,"tumor_vs_adjacent_down","GO_BP"
"GO:0072329","monocarboxylic acid catabolic process","38/1839","118/16135",0.322033898305085,2.82545782988175,7.13800490004778,1.26949426087394e-09,1.44798515395282e-06,1.16205495711156e-06,"ACADS/LDHD/ETFDH/ADTRP/ABHD3/ACADVL/PCK1/CPT2/ACAT1/HADHB/CPT1A/ACADM/ACAA1/ACAA2/CYP4F12/ACOX1/ECHDC2/SCP2/SESN2/ETFBKMT/HADHA/ETFA/ABCD3/CNR1/ECHS1/HADH/EHHADH/FABP1/ECI2/CRAT/AUH/SLC27A4/DECR1/ADIPOQ/SLC16A1/PHYH/NUDT7/PCK2",38,"tumor_vs_adjacent_down","GO_BP"
"GO:0030258","lipid modification","51/1839","188/16135",0.271276595744681,2.38012391100621,6.82672060363014,1.98404031886723e-09,1.8858303230833e-06,1.51343987832188e-06,"ACADS/ETFDH/GBA2/PLPP1/APPL2/ACADVL/CPT2/PPARGC1A/PDK4/ACAT1/HADHB/CPT1A/ACADM/MTM1/ACAA1/ACAA2/EPHX2/ACOX1/ECHDC2/PLPP3/SCP2/SESN2/FMO4/ETFBKMT/INPP5K/HADHA/INPP5A/ETFA/ABCD3/CNR1/ECHS1/HADH/EHHADH/PTEN/FABP1/B4GALNT2/ECI2/GBA1/CRAT/AUH/MTMR11/DECR1/DGKD/ADIPOQ/ST3GAL4/FA2H/PHYH/SGPP1/CYP3A4/APOD/FMO2",51,"tumor_vs_adjacent_down","GO_BP"
"GO:0002685","regulation of leukocyte migration","57/1839","224/16135",0.254464285714286,2.23261623164763,6.66281530825657,3.08662957421912e-09,2.51472120882452e-06,2.0181451712338e-06,"IL6R/MMP28/BDKRB1/LYVE1/EDN3/PADI2/ADTRP/PTN/P2RX4/BMP5/WASL/JAM2/MADCAM1/PTGER4/LGALS3/MAPK3/CXCL12/HMOX1/CCL21/MTUS1/NEDD9/CCL28/F2RL1/CRK/CCL8/LGALS9/RIPK3/PTK2B/SLIT2/GPR15LG/EDN2/SMPD3/MCU/DUSP1/CCL19/CCL5/GPR18/RARRES2/CCN3/ST3GAL4/S100A14/GAS6/STAP1/MIA3/THBS1/JAM3/CAMK1D/APOD/DPP4/CXCL13/SELP/BST1/EDN1/THBS4/AIF1/CCL2/GREM1",57,"tumor_vs_adjacent_down","GO_BP"
"GO:0032970","regulation of actin filament-based process","81/1839","369/16135",0.219512195121951,1.92595392511837,6.45351643116587,3.59674510514334e-09,2.56402966682906e-06,2.0577168048899e-06,"SFRP1/GBA2/LPAR1/SCIN/FAM107A/ASAP3/CRACD/ARHGAP44/LIMA1/GSN/SRI/EFNA5/PDE4D/CAMK2D/RHOC/DSC2/DAAM2/ARPIN/ARHGEF18/RHOF/PTGER4/VILL/CXCL12/INPP5K/IQGAP2/AKAP13/PRKCE/TMEFF2/MYOC/CCL21/NEDD9/ARHGAP17/ZEB2/SH3BP1/F2RL1/CRK/WASHC2C/PTK2B/SLIT2/PLN/GPM6B/SNX9/ARF6/VASP/CTTN/FLII/PRKCD/TMOD1/ASB2/NCK1/CDC42EP5/BAIAP2L2/SYNPO2/CFL2/AVIL/TPM1/KCNJ2/CAV1/LMOD1/S1PR1/KANK4/PDGFA/EPS8/RND3/JAM3/TRPM4/SVIL/ARHGEF16/CD2AP/CCL11/PKP2/CDC42EP3/DSG2/KANK2/FERMT2/BST1/ARHGEF26/EDN1/GMFG/WASF3/FLNA",81,"tumor_vs_adjacent_down","GO_BP"
"GO:0019395","fatty acid oxidation","34/1839","103/16135",0.330097087378641,2.89620255837649,6.9241124065321,4.5470972592765e-09,2.88134396329488e-06,2.31237179922038e-06,"ACADS/ETFDH/APPL2/ACADVL/CPT2/PPARGC1A/PDK4/ACAT1/HADHB/CPT1A/ACADM/ACAA1/ACAA2/ACOX1/ECHDC2/SCP2/SESN2/FMO4/ETFBKMT/HADHA/ETFA/ABCD3/CNR1/ECHS1/HADH/EHHADH/FABP1/ECI2/CRAT/AUH/DECR1/ADIPOQ/PHYH/FMO2",34,"tumor_vs_adjacent_down","GO_BP"
"GO:0007015","actin filament organization","92/1839","442/16135",0.208144796380091,1.82621875453657,6.31695549822203,5.37225347767119e-09,3.06379615831588e-06,2.45879559167519e-06,"SFRP1/GBA2/LPAR1/SCIN/FAM107A/GDPD2/ASAP3/CRACD/LIMA1/GSN/MYO1C/RHOU/RHOC/MYO1A/DAAM2/WASL/ARPIN/ARHGEF18/RHOF/PTGER4/PPARGC1B/VILL/CXCL12/CAP1/INPP5K/IQGAP2/MARCKS/PRKCE/TMEFF2/MYOC/CCL21/NEDD9/ARHGAP17/ZEB2/SH3BP1/F2RL1/WASHC2C/PTK2B/SLIT2/SNX9/ESPN/ARF6/VASP/PLS1/SHROOM3/DNM2/SH3KBP1/CTTN/FLII/PDLIM1/PRKCD/TMOD1/ASB2/NCK1/CDC42EP5/EZR/BAIAP2L2/MYO1E/MYO5B/SYNPO2/MYO1D/CFL2/AVIL/CNN1/MYO7B/TPM1/LMOD1/S1PR1/MICALL2/KANK4/EPS8/JAK2/RND3/TAGLN3/SVIL/RHOJ/MYL9/RHOH/CD2AP/CCL11/CAP2/PPP1R9A/CDC42EP3/ANG/KANK2/FERMT2/GMFG/LCP1/WASF3/FLNA/AIF1/CALD1",92,"tumor_vs_adjacent_down","GO_BP"
