"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_set","database"
"R-HSA-5660526","Response to metal ions","11/1206","14/10634",0.785714285714286,6.92809760720208,7.93795950678216,1.00683087087253e-08,9.490542876115e-06,8.70927011573306e-06,"MT1M/MT1E/MT1H/MT2A/MT1F/MT1X/MT1G/MTF1/CSRP1/MT3/MT1A",11,"tumor_vs_adjacent_down","Reactome"
"R-HSA-211859","Biological oxidations","50/1206","194/10634",0.257731958762887,2.27257184866048,6.3977122255662,1.35192918463177e-08,9.490542876115e-06,8.70927011573306e-06,"UGP2/ADH1B/HPGDS/UGDH/MGST3/SLC26A2/MAOA/UGT2A3/ADH1C/PAPSS2/CYP4F12/SLC35D1/CMBL/CES3/GGT6/SULT1B1/NAT1/BPNT1/CES2/MAOB/NCOA1/ACSS2/GSTZ1/TPMT/MTARC2/AOC1/NAT2/UGT2B17/UGT2B15/NR1H4/RXRA/GSTM3/CYP2C18/AOC3/GSTM4/PTGS1/PTGIS/SLC35D2/AKR7A3/GSTA1/ADH6/ALDH1A1/CYP3A4/CYP2J2/MGST1/CYP27A1/FMO2/EPHX1/CYP1B1/UGT2B7",50,"tumor_vs_adjacent_down","Reactome"
"R-HSA-5661231","Metallothioneins bind metals","9/1206","11/10634",0.818181818181818,7.21438263229308,7.37500834218646,1.34241245664288e-07,6.28249029708867e-05,5.76530823484521e-05,"MT1M/MT1E/MT1H/MT2A/MT1F/MT1X/MT1G/MT3/MT1A",9,"tumor_vs_adjacent_down","Reactome"
"R-HSA-77286","mitochondrial fatty acid beta-oxidation of saturated fatty acids","8/1206","11/10634",0.727272727272727,6.41278456203829,6.42370025496168,3.22355890961123e-06,0.00113146917727354,0.0010383252908853,"ACADS/ACADVL/HADHB/ACADM/HADHA/ECHS1/HADH/ACSM3",8,"tumor_vs_adjacent_down","Reactome"
"R-HSA-8978868","Fatty acid metabolism","39/1206","166/10634",0.234939759036145,2.07159983216448,4.97675885518555,6.2415729829655e-06,0.00175263369361671,0.00160835480655785,"HPGD/ACADS/HPGDS/SLC25A20/ACADVL/CPT2/HADHB/SLC22A5/CPT1A/ACADM/ACAA1/ACAA2/EPHX2/ACOX1/SCP2/HADHA/MMUT/ACSF2/ECHS1/HADH/RXRA/EHHADH/ECI2/CRAT/PTGS1/ELOVL6/PTGIS/DECR1/PTGDS/PRKAA2/PTGR1/PHYH/NUDT7/AKR1C3/ACSM3/ALDH3A2/CYP2J2/CYP1B1/PLA2G4A",39,"tumor_vs_adjacent_down","Reactome"
"R-HSA-913531","Interferon Signaling","53/1206","257/10634",0.206225680933852,1.81841118660911,4.75000409677506,9.59178138553406e-06,0.00224447684421497,0.00205970884489363,"EIF4E3/TUBAL3/RNASEL/PPP2CB/CAMK2D/RSAD2/MT2A/GBP3/MAPK3/IFIT1/PIAS1/OASL/RIGI/FLNB/ISG20/IFIT2/IRF4/MAP2K6/PRKCD/EIF4G3/OAS1/NCK1/HERC5/HSPA2/TRIM31/IFI27/TRIM38/IRF7/TUBB2A/MX1/HLA-F/ISG15/IFNGR1/IFI35/PPM1B/SP100/JAK2/FKBP5/IFI44L/USP18/CAMK2G/IFIT5/XAF1/GBP2/TRIM22/TUBB2B/IFIT3/MX2/OAS2/FLNA/VCAM1/TUBB6/EGR1",53,"tumor_vs_adjacent_down","Reactome"
"R-HSA-909733","Interferon alpha/beta signaling","22/1206","74/10634",0.297297297297297,2.62144233786025,5.00584252648124,1.42512441603964e-05,0.00285839240017093,0.00262308614320679,"RNASEL/RSAD2/IFIT1/OASL/ISG20/IFIT2/IRF4/OAS1/IFI27/IRF7/MX1/HLA-F/ISG15/IFI35/USP18/IFIT5/XAF1/GBP2/IFIT3/MX2/OAS2/EGR1",22,"tumor_vs_adjacent_down","Reactome"
"R-HSA-163560","Triglyceride catabolism","11/1206","24/10634",0.458333333333333,4.04139027086788,5.33472276793834,2.34072808027993e-05,0.00410797778089127,0.0037698041713982,"FABP2/MGLL/ABHD5/FABP4/PRKACB/PPP1CB/FABP1/CAV1/GPD2/PNPLA4/PLIN1",11,"tumor_vs_adjacent_down","Reactome"
"R-HSA-211945","Phase I - Functionalization of compounds","26/1206","99/10634",0.262626262626263,2.31572775851383,4.70390062841546,2.84537915949966e-05,0.00427648245491924,0.00392443734054667,"ADH1B/MAOA/ADH1C/CYP4F12/CMBL/CES3/CES2/MAOB/NCOA1/ACSS2/MTARC2/AOC1/NR1H4/RXRA/CYP2C18/AOC3/PTGS1/PTGIS/ADH6/ALDH1A1/CYP3A4/CYP2J2/CYP27A1/FMO2/EPHX1/CYP1B1",26,"tumor_vs_adjacent_down","Reactome"
"R-HSA-983712","Ion channel transport","39/1206","177/10634",0.220338983050847,1.94285633977008,4.52397690002881,3.0459276744439e-05,0.00427648245491924,0.00392443734054667,"BEST4/SCNN1B/TRPM6/CLCA4/FXYD1/BEST2/SGK1/SRI/ANO5/ATP6V1D/SGK2/CAMK2D/ATP2B1/ATP6V0D1/FKBP1B/ATP1B3/NEDD4L/MCOLN2/FXYD3/ATP8B1/ANO10/ATP2A3/CLCA1/ATP8A1/RIPK3/PLN/ATP6V1G2/MCOLN1/RIPK1/ATP8B4/CASQ2/SCNN1G/TSC22D3/SCNN1A/STOM/TRPM4/RYR3/TRPC1/CAMK2G",39,"tumor_vs_adjacent_down","Reactome"
"R-HSA-9748784","Drug ADME","23/1206","88/10634",0.261363636363636,2.30459445198251,4.39505944809841,8.78087436184074e-05,0.0112075887309313,0.0102849667166441,"ABCG2/PCK1/UGT2A3/HSD11B2/XDH/GGT6/NAT1/CES2/BCHE/TPMT/NAT2/UGT2B17/UGT2B15/ABCB1/NT5C2/AKR1C1/BSG/SLC16A1/GSTA1/ABCC3/CYP3A4/SLC28A2/UGT2B7",23,"tumor_vs_adjacent_down","Reactome"
"R-HSA-76002","Platelet activation, signaling and aggregation","49/1206","252/10634",0.194444444444444,1.71452920582274,4.10555161991723,9.98349913157434e-05,0.0114395825290137,0.0104978625097562,"GNA11/ENDOD1/CFD/GNG7/P2RY1/CD36/SYTL4/MGLL/F13A1/MMRN1/GNG12/GNAQ/GNA13/VTI1B/MAPK3/CAP1/PLCG2/CLU/PRKCE/RAP1A/ADRA2A/SELENOP/CRK/BRPF3/PRKCB/IGF1/LHFPL2/APLP2/PRKCD/GNAI1/A2M/PCDH7/GNA14/RASGRP2/DGKD/RARRES2/PDGFA/GAS6/THBS1/ITPR1/VCL/QSOX1/GNG11/SELP/TOR4A/SERPINA3/PLA2G4A/FLNA/SRGN",49,"tumor_vs_adjacent_down","Reactome"
"R-HSA-156580","Phase II - Conjugation of compounds","23/1206","89/10634",0.258426966292135,2.27870013229732,4.33243639304339,0.000105922060453831,0.0114395825290137,0.0104978625097562,"UGP2/HPGDS/UGDH/MGST3/SLC26A2/UGT2A3/PAPSS2/SLC35D1/GGT6/SULT1B1/NAT1/BPNT1/GSTZ1/TPMT/NAT2/UGT2B17/UGT2B15/GSTM3/GSTM4/SLC35D2/GSTA1/MGST1/UGT2B7",23,"tumor_vs_adjacent_down","Reactome"
"R-HSA-2672351","Stimuli-sensing channels","25/1206","101/10634",0.247524752475248,2.18256900316897,4.27073781091739,0.000115167155154301,0.0115496204169027,0.0105988419480349,"BEST4/SCNN1B/TRPM6/CLCA4/BEST2/SGK1/SRI/ANO5/SGK2/FKBP1B/NEDD4L/MCOLN2/ANO10/CLCA1/RIPK3/MCOLN1/RIPK1/CASQ2/SCNN1G/TSC22D3/SCNN1A/STOM/TRPM4/RYR3/TRPC1",25,"tumor_vs_adjacent_down","Reactome"
"R-HSA-156588","Glucuronidation","8/1206","16/10634",0.5,4.40878938640133,4.88012081436165,0.000148858194635909,0.013062306579301,0.0119870019891022,"UGP2/UGDH/UGT2A3/SLC35D1/UGT2B17/UGT2B15/SLC35D2/UGT2B7",8,"tumor_vs_adjacent_down","Reactome"
"R-HSA-418457","cGMP effects","8/1206","16/10634",0.5,4.40878938640133,4.88012081436165,0.000148858194635909,0.013062306579301,0.0119870019891022,"PDE9A/PDE5A/PDE2A/KCNMA1/ITPR1/PDE1A/KCNMB1/IRAG1",8,"tumor_vs_adjacent_down","Reactome"
