"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0022613","ribonucleoprotein complex biogenesis",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.691426651060491,3.01151575111658,424,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0042254","ribosome biogenesis",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.703715622441834,2.97823517753784,289,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0006364","rRNA processing",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.702045724580548,2.87042748118945,203,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0016072","rRNA metabolic process",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.687450482399441,2.84605000078351,245,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0042274","ribosomal small subunit biogenesis",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.731554244759836,2.72265496070469,96,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0042273","ribosomal large subunit biogenesis",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.789626457761941,2.70124083527255,58,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0006261","DNA-templated DNA replication",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.67367884843519,2.6857189313281,155,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0071826","protein-RNA complex organization",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.652227144026471,2.65417155325665,186,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0022618","protein-RNA complex assembly",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.654566288724241,2.64434701638895,177,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0006399","tRNA metabolic process",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.638795762638224,2.59853499982144,190,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0006260","DNA replication",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.617054402976442,2.59418732736102,271,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0006403","RNA localization",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.633890124185437,2.5782307745683,189,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0002181","cytoplasmic translation",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.647681302916115,2.54452137963361,139,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0019646","aerobic electron transport chain",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,-0.646335678348259,-2.5362546955237,78,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0009451","RNA modification",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.623466700338716,2.49681343499797,164,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0051304","chromosome separation",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.684047811256974,2.48892332571204,83,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0030490","maturation of SSU-rRNA",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.741660843346342,2.4824834319035,51,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0034502","protein localization to chromosome",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.642787690218962,2.46836862084745,120,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0008033","tRNA processing",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.633571834960906,2.4644653918384,129,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0030071","regulation of mitotic metaphase/anaphase transition",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.666788581334383,2.46365167459562,92,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0043414","macromolecule methylation",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.645245760176445,2.46204871901603,114,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0010965","regulation of mitotic sister chromatid separation",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.713755557208837,2.45560419116027,61,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:1905818","regulation of chromosome separation",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.687035752360332,2.45457492945426,76,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0051236","establishment of RNA localization",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.615998553536673,2.44694004751137,153,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0007091","metaphase/anaphase transition of mitotic cell cycle",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.657083849112694,2.43870572654819,95,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0051306","mitotic sister chromatid separation",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.706421638232229,2.43780711997741,64,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0050657","nucleic acid transport",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.614705008696572,2.43478258649147,150,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0050658","RNA transport",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.614705008696572,2.43478258649147,150,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:1902099","regulation of metaphase/anaphase transition of cell cycle",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.65600774855022,2.43471187917606,95,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0000070","mitotic sister chromatid segregation",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.594538357834488,2.419412947064,186,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0001510","RNA methylation",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.67491940629736,2.41771980047002,77,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0000725","recombinational repair",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.593853010231633,2.41473492116563,187,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0051983","regulation of chromosome segregation",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.618955776847425,2.4115974955928,133,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0044784","metaphase/anaphase transition of cell cycle",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.646595023578795,2.40485634759415,98,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0006400","tRNA modification",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.649709046977543,2.40054617969447,92,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0000375","RNA splicing, via transesterification reactions",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.56824492507806,2.3977949522253,282,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0006397","mRNA processing",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.548913582465227,2.39669039683519,454,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0051028","mRNA transport",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.621579776915925,2.39494075577419,121,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0000724","double-strand break repair via homologous recombination",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.589797962457873,2.38699786874502,181,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"tumor_vs_adjacent_paired","tumor_vs_adjacent_paired","ranked","full_rank_paired","ranked_GSEA","GO","Biological Process","GO:0000819","sister chromatid segregation",NA,NA,1e-10,6.86777777777778e-09,5.19298245614035e-09,NA,NA,0.576151184851524,2.38201907491367,226,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
