"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_set","database"
"GO:0022613","ribonucleoprotein complex biogenesis","200/2304","424/16135",0.471698113207547,3.30331990303983,19.6164649835525,5.60044342918698e-61,3.23257594732672e-57,2.91399914426013e-57,"NOP58/WDR43/WDR77/NOB1/EXOSC5/NSUN5/RUVBL1/NAT10/RPS21/WDR12/DDX21/RPS14/GEMIN5/ZNF593/GTPBP4/HSP90AB1/PNO1/DDX56/RCL1/EIF3M/NOPCHAP1/WDR75/POP7/ATR/CLNS1A/UTP4/DIS3/NUFIP1/RPP40/RRS1/SNRPD2/RBMX2/WDR74/GTF3A/WDR3/DCAF13/NOL8/EIF3B/RRP9/SNRPB/NOP2/DDX18/EIF2S3/MRM2/NPM1/URB2/TGS1/NLE1/EIF3E/LYAR/UTP18/WDR46/FBL/NIP7/PRKDC/SNRPF/RPF2/LAS1L/MTERF3/MALSU1/BRIX1/PWP1/AATF/DDX10/EXOSC4/EXOSC7/MPHOSPH10/GNL3L/AIRIM/NHP2/EXOSC2/NOP16/RUVBL2/NMD3/NOLC1/SNRPC/METTL5/RAN/EXOSC8/RPL38/EIF5B/USP39/GEMIN6/RIOK1/DDX27/SNRPG/BUD23/PDCD11/CHD7/RIOX2/NOL10/RPS15A/IMP4/RPL7L1/FASTKD2/NOL11/UTP20/TRMT112/LTV1/RRP15/ISG20L2/UTP6/RPL14/STRAP/TRMT61B/DIMT1/SDAD1/NPM3/UTP15/TMA16/PAK1IP1/DHX37/URB1/GNL2/GRWD1/XRCC5/USP36/NOM1/GAR1/PRPF6/XPO1/SRFBP1/DDX54/UTP25/SF3B3/LSM2/SRSF10/TFB2M/UTP23/TSR1/CUL4A/RPS5/DENR/MRTO4/RRP1B/RPUSD4/TBL3/AGO2/EIF1AX/PES1/XRN2/KRI1/PRPF19/RPS25/EIF3J/MRPS2/EIF6/WDR18/SNRPE/RPL26L1/SNRPB2/DDX49/PTGES3/PA2G4/NOC4L/RBIS/KRR1/SRPK1/NOP14/EXOSC3/MAK16/EIF2S2/EIF3D/XAB2/NOC2L/RPS9/ZNHIT6/PRPF31/SF3A3/EIF3H/RPL7/AAR2/GEMIN8/PUF60/REXO4/SUV39H1/MYBBP1A/UTP11/EXOSC9/DHX9/TFB1M/ZNHIT3/CINP/MTG2/SNRPA1/EIF3I/PSIP1/WDR36/SNRPD1/LSM6/NSUN4/PRMT5/HEATR3/ERAL1/RSL24D1/CRNKL1/RRP1/EIF4B/C1QBP/RPP25",200,"tumor_vs_adjacent_up","GO_BP"
"GO:0042254","ribosome biogenesis","148/2304","289/16135",0.512110726643599,3.58633097846982,18.1075073569131,7.66925066371591e-51,2.21334574154841e-47,1.99521610688146e-47,"NOP58/WDR43/NOB1/EXOSC5/NSUN5/NAT10/RPS21/WDR12/DDX21/RPS14/ZNF593/GTPBP4/PNO1/DDX56/RCL1/WDR75/POP7/UTP4/DIS3/RPP40/RRS1/WDR74/GTF3A/WDR3/DCAF13/NOL8/RRP9/NOP2/DDX18/MRM2/NPM1/URB2/NLE1/LYAR/UTP18/WDR46/FBL/NIP7/PRKDC/RPF2/LAS1L/MTERF3/MALSU1/BRIX1/PWP1/AATF/DDX10/EXOSC4/EXOSC7/MPHOSPH10/GNL3L/AIRIM/NHP2/EXOSC2/NOP16/NMD3/NOLC1/METTL5/RAN/EXOSC8/RPL38/EIF5B/RIOK1/DDX27/BUD23/PDCD11/CHD7/RIOX2/NOL10/RPS15A/IMP4/RPL7L1/FASTKD2/NOL11/UTP20/TRMT112/LTV1/RRP15/ISG20L2/UTP6/RPL14/TRMT61B/DIMT1/SDAD1/NPM3/UTP15/TMA16/PAK1IP1/DHX37/URB1/GNL2/GRWD1/XRCC5/USP36/NOM1/GAR1/XPO1/SRFBP1/DDX54/UTP25/TFB2M/UTP23/TSR1/CUL4A/RPS5/MRTO4/RRP1B/RPUSD4/TBL3/EIF1AX/PES1/XRN2/KRI1/RPS25/MRPS2/EIF6/WDR18/RPL26L1/DDX49/PA2G4/NOC4L/RBIS/KRR1/NOP14/EXOSC3/MAK16/NOC2L/RPS9/ZNHIT6/RPL7/REXO4/SUV39H1/MYBBP1A/UTP11/EXOSC9/TFB1M/ZNHIT3/CINP/MTG2/WDR36/LSM6/NSUN4/HEATR3/ERAL1/RSL24D1/RRP1/C1QBP/RPP25",148,"tumor_vs_adjacent_up","GO_BP"
"GO:0006364","rRNA processing","104/2304","203/16135",0.512315270935961,3.58776340996169,15.1433831545643,5.53363586148e-36,1.06467153974875e-32,9.5974603730862e-33,"NOP58/WDR43/NOB1/EXOSC5/NSUN5/NAT10/RPS21/WDR12/DDX21/RPS14/GTPBP4/DDX56/RCL1/WDR75/POP7/UTP4/DIS3/RPP40/RRS1/WDR74/WDR3/DCAF13/NOL8/RRP9/NOP2/DDX18/MRM2/LYAR/UTP18/WDR46/FBL/PRKDC/RPF2/LAS1L/BRIX1/PWP1/DDX10/EXOSC4/EXOSC7/MPHOSPH10/NHP2/EXOSC2/NOLC1/METTL5/EXOSC8/RIOK1/DDX27/BUD23/PDCD11/CHD7/NOL10/IMP4/RPL7L1/NOL11/UTP20/TRMT112/RRP15/UTP6/RPL14/TRMT61B/DIMT1/NPM3/UTP15/PAK1IP1/DHX37/URB1/USP36/GAR1/SRFBP1/DDX54/UTP25/TFB2M/UTP23/TSR1/MRTO4/RRP1B/RPUSD4/TBL3/PES1/XRN2/KRI1/RPS25/EIF6/WDR18/DDX49/PA2G4/NOC4L/KRR1/NOP14/EXOSC3/MAK16/ZNHIT6/RPL7/REXO4/SUV39H1/UTP11/EXOSC9/TFB1M/ZNHIT3/WDR36/LSM6/NSUN4/RRP1/RPP25",104,"tumor_vs_adjacent_up","GO_BP"
"GO:0016072","rRNA metabolic process","116/2304","245/16135",0.473469387755102,3.31572420634921,14.9071081401739,9.51102919205426e-36,1.37244151241343e-32,1.23718466569274e-32,"POLR1B/NOP58/WDR43/NOB1/EXOSC5/NSUN5/NAT10/RPS21/WDR12/DDX21/RPS14/POLR1D/GTPBP4/MYC/POLR1G/DDX56/RCL1/WDR75/POP7/UTP4/DIS3/RPP40/RRS1/WDR74/GTF3A/WDR3/DCAF13/NOL8/RRP9/NOP2/POLR1F/DDX18/NCL/MRM2/LYAR/NIFK/UTP18/WDR46/FBL/PRKDC/RPF2/LAS1L/BRIX1/PWP1/DDX10/SMARCA4/EXOSC4/EXOSC7/MPHOSPH10/NHP2/EXOSC2/NOLC1/METTL5/EXOSC8/RIOK1/DDX27/BUD23/PDCD11/CHD7/NOL10/IMP4/RPL7L1/NOL11/UTP20/TRMT112/RRP15/UTP6/RPL14/TRMT61B/DIMT1/NPM3/GTF3C4/UTP15/PAK1IP1/DHX37/URB1/USP36/GAR1/SRFBP1/DDX54/UTP25/TFB2M/UTP23/TSR1/MRTO4/RRP1B/RPUSD4/POLR1E/TBL3/PES1/XRN2/KRI1/RPS25/TAF1B/EIF6/WDR18/DDX49/PA2G4/NOC4L/KRR1/NOP14/EXOSC3/MAK16/ZNHIT6/RPL7/REXO4/SUV39H1/UTP11/EXOSC9/TFB1M/ZNHIT3/WDR36/LSM6/NSUN4/RRP1/RPP25",116,"tumor_vs_adjacent_up","GO_BP"
"GO:0006260","DNA replication","117/2304","271/16135",0.431734317343173,3.02345191420664,13.7106061666066,2.41710593484511e-31,2.7903070911852e-28,2.51531676546093e-28,"DNAJC2/S100A11/ACTL6A/RUVBL1/TOP1MT/GTPBP4/RNASEH2A/ATR/RFC3/ZPR1/TWNK/SSBP1/MCM3/PRIM2/BRCA2/ORC6/POLD2/DACH1/NAP1L1/DBF4/ACTR5/CDK2/POLA1/RUVBL2/POLB/MCM7/MMS22L/CDK1/CDC6/ORC3/DSCC1/PRIM1/FBXO5/MCM8/NOC3L/DTD1/EXO1/CHEK1/TIMELESS/INO80B/POLG2/GRWD1/E2F7/RNASEH1/MCM10/TOPBP1/FAM111B/MCM2/EHMT2/GINS3/CCNE1/LIG1/RFC2/DNAJA3/RECQL4/MCM4/ORC5/SSRP1/OBI1/DTL/CHAF1B/CDT1/DNA2/RBBP7/PARP1/WDR18/POLA2/RFC5/DONSON/JADE3/WEE1/RRM1/BLM/RFWD3/ATAD5/FEN1/PCNA/CHTF18/CCNA2/CHAF1A/MCM6/CDC45/POLE2/BRCA1/POLD1/GINS1/DHX9/ORC2/TFPT/WDHD1/CINP/RECQL/RPA3/TICRR/RAD50/CDC25A/SMC3/NBN/POLE3/RTF2/ZRANB3/TIPIN/SUPT16H/E2F8/MGME1/UCHL5/EREG/RTEL1/TK1/PCLAF/CCNE2/ESCO2/CDKN1B/LPIN1/BARD1/RAD51/RMI2",117,"tumor_vs_adjacent_up","GO_BP"
"GO:0007059","chromosome segregation","150/2304","411/16135",0.364963503649635,2.55585335563666,13.0404784944729,4.84875426635461e-30,4.66450160423313e-27,4.20480567343699e-27,"ACTL6A/NTMT1/MZT1/TPX2/RRS1/ECT2/DCAF13/UBE2C/TRIP13/CCNB1IP1/SKA3/DSN1/RAD18/SMARCC1/BOD1/NUP37/RCC2/HAUS6/SMARCA4/SPDL1/CSNK2A2/NCAPD3/MYBL2/PCID2/RAN/RACGAP1/CENPH/PIBF1/UBE2I/AKAP8L/GPSM2/KIF18A/NEK2/CDK1/NDE1/AURKA/HAUS5/MAD2L1/CDC6/DIAPH3/KIF14/CENPL/MAD2L2/HAUS2/FBXO5/BUB1/MAP3K20/BIRC5/SPC25/NUF2/NUP62/TOP2A/CENPW/KIF2C/CDCA5/KIF4A/CCNB1/HNRNPU/SMC4/MND1/CENPN/BUB3/TUBG1/STIL/EHMT2/CCNE1/RCC1/ASPM/ZW10/NUSAP1/MAP1S/HJURP/CDT1/CENPO/CENPF/HAUS7/ANAPC11/KIFC1/NCAPD2/BAZ1B/P3H4/SGO2/KNSTRN/BRD7/KIF23/TUBGCP3/CDC16/CENPQ/SRPK1/NEK6/BUB1B/CENPE/CDCA8/MAPRE1/PLK1/KPNB1/MKI67/NUDC/ESPL1/NSMCE2/AURKB/TUBB/PSRC1/TTK/DLGAP5/ZWILCH/SMC2/CDC23/KNTC1/KIF11/MIS18A/BRCA1/AAAS/SMARCD2/CHAMP1/BCL7A/PSMC3IP/KNL1/MAD1L1/SPAG5/CDC20/SMC3/ITGB3BP/KIF15/RB1/CDCA2/HECW2/OIP5/NCAPG/SEH1L/HAUS1/ZWINT/TTL/NDC80/TUBGCP4/ANAPC7/HASPIN/FAM83D/PINX1/CENPK/CCNE2/ESCO2/SKA1/HAUS3/CCNB2/NDC1/CENPU/RMI2/CHMP4C/MTCL1",150,"tumor_vs_adjacent_up","GO_BP"
"GO:0140014","mitotic nuclear division","108/2304","270/16135",0.4,2.80121527777778,12.1818413405846,1.15793867234012e-25,9.54803145249593e-23,8.60705392086796e-23,"MZT1/TPX2/ANLN/UBE2S/RRS1/UBE2C/TRIP13/SKA3/BOD1/SPDL1/NCAPD3/MYBL2/PCID2/RAN/RACGAP1/PIBF1/UBE2I/AKAP8L/KIF18A/NEK2/CDK1/NDE1/AURKA/MAD2L1/KIF14/MAD2L2/FBXO5/BUB1/MTBP/BIRC5/SPC25/CHEK1/NUF2/NUP62/KIF2C/CDCA5/KIF4A/CCNB1/HNRNPU/SMC4/CDC25C/BUB3/TUBG1/RCC1/RANBP1/ZW10/NUSAP1/PKMYT1/BORA/CDT1/CENPF/ANAPC11/KIFC1/NCAPD2/BAZ1B/KNSTRN/KIF23/CDC16/BUB1B/CENPE/CDCA8/MAPRE1/PLK1/KPNB1/MKI67/NUDC/ESPL1/NSMCE2/AURKB/PSRC1/TTK/DLGAP5/ZWILCH/SMC2/CDC23/KNTC1/KIF11/KIF20B/AAAS/BANF1/CHAMP1/KNL1/MAD1L1/SPAG5/CDC20/SMC3/BMP4/KIF15/RB1/BMP7/CDCA2/NCAPG/SEH1L/ZWINT/PRMT5/NDC80/EREG/ANAPC7/HASPIN/PINX1/CENPK/SKA1/IL1A/CDKN1B/LRP5/IL1B/RGCC/CHMP4C",108,"tumor_vs_adjacent_up","GO_BP"
"GO:0000819","sister chromatid segregation","96/2304","226/16135",0.424778761061947,2.9747418879056,12.2019317116036,2.86771543560203e-25,2.06905668678686e-22,1.86514702607642e-22,"ACTL6A/MZT1/TPX2/RRS1/UBE2C/TRIP13/SKA3/SMARCC1/BOD1/SMARCA4/SPDL1/NCAPD3/MYBL2/PCID2/RAN/RACGAP1/PIBF1/AKAP8L/KIF18A/NEK2/CDK1/MAD2L1/CDC6/KIF14/MAD2L2/FBXO5/BUB1/MAP3K20/BIRC5/SPC25/NUF2/NUP62/TOP2A/KIF2C/CDCA5/KIF4A/CCNB1/HNRNPU/SMC4/BUB3/TUBG1/RCC1/ZW10/NUSAP1/CDT1/CENPF/ANAPC11/KIFC1/NCAPD2/BAZ1B/KNSTRN/BRD7/KIF23/CDC16/NEK6/BUB1B/CENPE/CDCA8/MAPRE1/PLK1/KPNB1/NUDC/ESPL1/NSMCE2/AURKB/PSRC1/TTK/DLGAP5/ZWILCH/SMC2/CDC23/KNTC1/KIF11/AAAS/SMARCD2/CHAMP1/BCL7A/KNL1/MAD1L1/SPAG5/CDC20/SMC3/KIF15/RB1/HECW2/NCAPG/SEH1L/ZWINT/NDC80/ANAPC7/HASPIN/PINX1/CENPK/SKA1/RMI2/CHMP4C",96,"tumor_vs_adjacent_up","GO_BP"
"GO:1901987","regulation of cell cycle phase transition","143/2304","424/16135",0.337264150943396,2.36187373067348,11.5985401396127,1.08276719561116e-24,6.94414694785291e-22,6.25978742445143e-22,"CDK4/ACTL6A/TTI1/INHBA/CCND1/ANLN/ATR/UBE2C/CPSF3/BID/TRIP13/SKA3/NPM1/CDC25B/BRCA2/SMARCC1/TCF3/PRKDC/INTS7/RCC2/DBF4/SMARCA4/PAXIP1/SPDL1/CDK2/PCID2/CDK5/CDK1/AURKA/MAD2L1/CDC6/KIF14/MAD2L2/FBXO5/BUB1/MAP3K20/MTBP/BIRC5/SPC25/CHEK1/TIMELESS/NABP2/NUF2/RNASEH2B/CDCA5/CCNB1/CDK7/E2F1/MBTPS2/PROX1/E2F7/CDC25C/BUB3/STIL/TOPBP1/CCNE1/CUL4A/MSH2/PSME3/NAE1/ZW10/RINT1/DTL/TPRA1/PKMYT1/CDT1/DNA2/GNB1L/CENPF/ANAPC11/PRPF19/CCNQ/RRM2/BRD7/EZH2/CDC16/DONSON/MNAT1/NEK6/WEE1/BUB1B/RRM1/CENPE/BLM/CDCA8/RFWD3/ATAD5/MEPCE/TFDP1/PLK1/TFAP4/ESPL1/NSMCE2/AURKB/TTK/NSUN2/DLGAP5/ZWILCH/AVEN/CDC23/KNTC1/CDC45/BRCA1/H2AX/LSM11/RHNO1/SMARCD2/BCL7A/TICRR/RAD50/KNL1/MAD1L1/CDC25A/CDC20/LYN/RAD1/DGKZ/NBN/RB1/TIPIN/HECW2/BRCC3/ZWINT/NDC80/TP53BP1/ANAPC7/HASPIN/RAD51C/STOX1/FAM83D/PINX1/CCNE2/SKA1/IER3/CDKN1B/BARD1/NABP1/RAD51/APBB2/RGCC/CDK6/CCND2/CHMP4C",143,"tumor_vs_adjacent_up","GO_BP"
"GO:0098813","nuclear chromosome segregation","115/2304","306/16135",0.375816993464052,2.63186075935004,11.7625788024522,1.67655905248928e-24,9.67709885096813e-22,8.72340146995212e-22,"ACTL6A/MZT1/TPX2/RRS1/ECT2/DCAF13/UBE2C/TRIP13/CCNB1IP1/SKA3/DSN1/SMARCC1/BOD1/RCC2/SMARCA4/SPDL1/NCAPD3/MYBL2/PCID2/RAN/RACGAP1/PIBF1/AKAP8L/KIF18A/NEK2/CDK1/AURKA/MAD2L1/CDC6/KIF14/MAD2L2/FBXO5/BUB1/MAP3K20/BIRC5/SPC25/NUF2/NUP62/TOP2A/KIF2C/CDCA5/KIF4A/CCNB1/HNRNPU/SMC4/MND1/BUB3/TUBG1/EHMT2/CCNE1/RCC1/ASPM/ZW10/NUSAP1/MAP1S/CDT1/CENPF/ANAPC11/KIFC1/NCAPD2/BAZ1B/P3H4/KNSTRN/BRD7/KIF23/CDC16/CENPQ/NEK6/BUB1B/CENPE/CDCA8/MAPRE1/PLK1/KPNB1/NUDC/ESPL1/NSMCE2/AURKB/PSRC1/TTK/DLGAP5/ZWILCH/SMC2/CDC23/KNTC1/KIF11/AAAS/SMARCD2/CHAMP1/BCL7A/PSMC3IP/KNL1/MAD1L1/SPAG5/CDC20/SMC3/KIF15/RB1/HECW2/NCAPG/SEH1L/ZWINT/TTL/NDC80/ANAPC7/HASPIN/FAM83D/PINX1/CENPK/CCNE2/SKA1/CCNB2/NDC1/RMI2/CHMP4C",115,"tumor_vs_adjacent_up","GO_BP"
