"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_set","database"
"R-HSA-69620","Cell Cycle Checkpoints","117/1651","262/10634",0.446564885496183,2.87629981366833,13.1829428933397,6.56528453631501e-30,9.84792680447252e-27,7.72630327536861e-27,"CKAP5/ATR/RFC3/UBE2S/UBE2C/NUP107/PSMA7/MCM3/DSN1/ORC6/PSMD14/ERCC6L/NUP37/RCC2/DBF4/NUP85/SPDL1/CDK2/MCM7/PSMA2/CENPH/ADRM1/KIF18A/CDK1/NDE1/PSMB4/MAD2L1/CDC6/RANGAP1/ORC3/CENPL/BUB1/MCM8/CENPA/BIRC5/SPC25/EXO1/CHEK1/NUF2/PPP2R5C/KIF2C/CCNB1/PHF20/MCM10/XPO1/PSMB2/CENPN/CDC25C/BUB3/TOPBP1/MCM2/GTSE1/CCNE1/RFC2/MCM4/ORC5/ZW10/PKMYT1/PSMD12/DNA2/CENPO/CENPF/ANAPC11/RANBP2/SGO2/NUP133/CDC16/RFC5/CENPQ/NUP160/WEE1/BUB1B/CENPE/BLM/PSMB5/CDCA8/ANAPC10/MAPRE1/PLK1/NUDC/AURKB/CCNA2/ZWILCH/MCM6/CDC23/KNTC1/CDC45/BRCA1/H2AX/ORC2/RHNO1/RPA3/RAD50/KNL1/MAD1L1/CDC25A/CDC20/RAD1/ITGB3BP/NBN/PSMA3/BRCC3/SEH1L/ZWINT/NDC80/TP53BP1/CENPK/PCBP4/CCNE2/SKA1/CDKN1B/UBE2V2/CCNB2/YWHAG/BARD1/CENPU/RMI2",117,"tumor_vs_adjacent_up","Reactome"
"R-HSA-2555396","Mitotic Metaphase and Anaphase","95/1651","209/10634",0.454545454545455,2.9277022190408,12.0660689375501,3.65891380860982e-25,2.74418535645736e-22,2.15298191475041e-22,"CKAP5/UBE2S/UBE2C/NUP58/NUP107/PSMA7/DSN1/PSMD14/ERCC6L/NUP37/RCC2/NUP205/NUP35/NUP85/SPDL1/NUP155/POM121/PSMA2/RAN/CENPH/UBE2I/ADRM1/EMD/KIF18A/CDK1/NDE1/PSMB4/MAD2L1/RANGAP1/CENPL/FBXO5/BUB1/CENPA/BIRC5/SPC25/NUF2/NUP62/PPP2R5C/KIF2C/CDCA5/CCNB1/XPO1/PSMB2/CENPN/BUB3/NUP93/RCC1/NUP188/ZW10/PSMD12/CENPO/CENPF/ANAPC11/RANBP2/SGO2/NUP133/CDC16/CENPQ/LBR/NUP160/BUB1B/CENPE/PSMB5/CDCA8/ANAPC10/MAPRE1/PLK1/KPNB1/NUDC/ESPL1/AURKB/ZWILCH/CDC23/KNTC1/TMPO/BANF1/KNL1/MAD1L1/CDC20/SMC3/ITGB3BP/PSMA3/TUBA4A/SEH1L/VRK1/ZWINT/NDC80/TUBB3/CENPK/SKA1/CCNB2/NDC1/LMNB1/CENPU/CHMP4C",95,"tumor_vs_adjacent_up","Reactome"
"R-HSA-68882","Mitotic Anaphase","94/1651","208/10634",0.451923076923077,2.91081162931557,11.9311258497688,1.11690962724383e-24,5.58454813621915e-22,4.38142092371439e-22,"CKAP5/UBE2S/UBE2C/NUP58/NUP107/PSMA7/DSN1/PSMD14/ERCC6L/NUP37/RCC2/NUP205/NUP35/NUP85/SPDL1/NUP155/POM121/PSMA2/RAN/CENPH/UBE2I/ADRM1/EMD/KIF18A/CDK1/NDE1/PSMB4/MAD2L1/RANGAP1/CENPL/BUB1/CENPA/BIRC5/SPC25/NUF2/NUP62/PPP2R5C/KIF2C/CDCA5/CCNB1/XPO1/PSMB2/CENPN/BUB3/NUP93/RCC1/NUP188/ZW10/PSMD12/CENPO/CENPF/ANAPC11/RANBP2/SGO2/NUP133/CDC16/CENPQ/LBR/NUP160/BUB1B/CENPE/PSMB5/CDCA8/ANAPC10/MAPRE1/PLK1/KPNB1/NUDC/ESPL1/AURKB/ZWILCH/CDC23/KNTC1/TMPO/BANF1/KNL1/MAD1L1/CDC20/SMC3/ITGB3BP/PSMA3/TUBA4A/SEH1L/VRK1/ZWINT/NDC80/TUBB3/CENPK/SKA1/CCNB2/NDC1/LMNB1/CENPU/CHMP4C",94,"tumor_vs_adjacent_up","Reactome"
"R-HSA-68886","M Phase","134/1651","367/10634",0.365122615803815,2.35173464352378,11.2977884742726,9.3354074311823e-24,3.50077778669336e-21,2.74657513370048e-21,"RAE1/CKAP5/MZT1/UBE2S/UBE2C/NUP58/NUP107/PSMA7/DSN1/PSMD14/ERCC6L/NUP37/RCC2/NUP205/HAUS6/NUP35/NUP85/SPDL1/CSNK2A2/NUP155/NCAPD3/MZT2A/POM121/PSMA2/RAN/CENPH/UBE2I/KIF20A/ADRM1/EMD/KIF18A/NEK2/CDK1/NDE1/PSMB4/HAUS5/MAD2L1/RANGAP1/CENPL/HAUS2/FBXO5/BUB1/CEP72/CEP41/CENPA/BIRC5/SPC25/NUF2/NUP62/PPP2R5C/KIF2C/CDCA5/CCNB1/SMC4/XPO1/PSMB2/CENPN/BUB3/NUP93/TUBG1/NUP42/RCC1/NUP188/NEDD1/ZW10/PSMD12/MASTL/CETN2/CENPO/CENPF/HAUS7/ANAPC11/NCAPD2/RANBP2/SGO2/KIF23/NUP133/TUBGCP3/CDC16/CENPQ/LBR/NUP160/NEK6/BUB1B/CENPE/PSMB5/CDCA8/ANAPC10/MAPRE1/PLK1/KPNB1/NUDC/ESPL1/NUP153/AURKB/TUBB/H2AZ2/ZWILCH/SMC2/CDC23/KNTC1/AAAS/TMPO/H2AX/NUP210/BANF1/KNL1/MAD1L1/CDC20/SMC3/ITGB3BP/PSMA3/RB1/TUBA4A/NCAPG/SEH1L/VRK1/HAUS1/ZWINT/NDC80/TUBGCP4/TUBB3/CENPK/CEP78/SKA1/HAUS3/NME7/LPIN1/CCNB2/YWHAG/NDC1/LMNB1/CENPU/CHMP4C",134,"tumor_vs_adjacent_up","Reactome"
"R-HSA-72312","rRNA processing","82/1651","173/10634",0.473988439306358,3.05293341222521,11.6708384447424,2.3669006504162e-23,7.10070195124859e-21,5.57093668876907e-21,"NOP58/WDR43/NOB1/EXOSC5/NAT10/TEX10/RPS21/WDR12/DDX21/RPS14/PNO1/RCL1/WDR75/RBM28/RPL36/UTP4/DIS3/RPP40/WDR3/DCAF13/RRP9/NOP2/NCL/MRM2/UTP18/WDR46/FBL/NIP7/LAS1L/EXOSC4/EXOSC7/MPHOSPH10/NHP2/EXOSC2/EXOSC8/RPL38/RIOK1/BUD23/PDCD11/RPS15A/IMP4/NOL11/UTP20/TRMT112/LTV1/ISG20L2/UTP6/RPL14/TRMT10C/DIMT1/UTP15/DHX37/RPL8/GAR1/UTP25/RPL18/TSR1/RPS5/HSD17B10/TBL3/PES1/XRN2/RPS25/WDR18/RPL26L1/DDX49/NOC4L/KRR1/NOP14/EXOSC3/RPS9/RPL7/RPL22L1/UTP11/EXOSC9/TFB1M/RPL37A/WDR36/NSUN4/RRP1/RPL37/RPP25",82,"tumor_vs_adjacent_up","Reactome"
"R-HSA-69242","S Phase","73/1651","147/10634",0.496598639455782,3.19856446515614,11.5070230065076,1.92137660492421e-22,4.80344151231051e-20,3.76859481457063e-20,"CDK4/MYC/CCND1/RFC3/UBE2S/UBE2C/PSMA7/MCM3/E2F5/CDC25B/PRIM2/ORC6/PSMD14/POLD2/CDK2/POLA1/MCM7/PSMA2/ADRM1/PSMB4/CDC6/ORC3/PRIM1/MCM8/CDCA5/CDK7/E2F1/CKS1B/PSMB2/MCM2/GINS3/CCNE1/LIG1/RFC2/MCM4/ORC5/PSMD12/CDT1/DNA2/ANAPC11/POLA2/CUL1/CDC16/RFC5/MNAT1/WEE1/E2F4/PSMB5/ANAPC10/TFDP1/FEN1/PCNA/TFDP2/GINS2/CCNA2/MCM6/CDC23/CDC45/POLE2/POLD1/GINS1/ORC2/RPA3/GINS4/CDC25A/SMC3/LIN9/POLE3/PSMA3/RB1/CCNE2/ESCO2/CDKN1B",73,"tumor_vs_adjacent_up","Reactome"
"R-HSA-8868773","rRNA processing in the nucleus and cytosol","77/1651","164/10634",0.469512195121951,3.02410217015556,11.19880693121,1.11491390649686e-21,2.38910122820757e-19,1.87439661272706e-19,"NOP58/WDR43/NOB1/EXOSC5/NAT10/TEX10/RPS21/WDR12/DDX21/RPS14/PNO1/RCL1/WDR75/RBM28/RPL36/UTP4/DIS3/RPP40/WDR3/DCAF13/RRP9/NOP2/NCL/UTP18/WDR46/FBL/NIP7/LAS1L/EXOSC4/EXOSC7/MPHOSPH10/NHP2/EXOSC2/EXOSC8/RPL38/RIOK1/BUD23/PDCD11/RPS15A/IMP4/NOL11/UTP20/TRMT112/LTV1/ISG20L2/UTP6/RPL14/DIMT1/UTP15/DHX37/RPL8/GAR1/UTP25/RPL18/TSR1/RPS5/TBL3/PES1/XRN2/RPS25/WDR18/RPL26L1/DDX49/NOC4L/KRR1/NOP14/EXOSC3/RPS9/RPL7/RPL22L1/UTP11/EXOSC9/RPL37A/WDR36/RRP1/RPL37/RPP25",77,"tumor_vs_adjacent_up","Reactome"
"R-HSA-68877","Mitotic Prometaphase","84/1651","193/10634",0.435233160621762,2.80331279833544,10.8385058235962,7.42236418698765e-21,1.39169328506018e-18,1.09186883698055e-18,"CKAP5/MZT1/NUP107/DSN1/ERCC6L/NUP37/RCC2/HAUS6/NUP85/SPDL1/CSNK2A2/MZT2A/CENPH/KIF18A/NEK2/CDK1/NDE1/HAUS5/MAD2L1/RANGAP1/CENPL/HAUS2/BUB1/CEP72/CEP41/CENPA/BIRC5/SPC25/NUF2/PPP2R5C/KIF2C/CDCA5/CCNB1/SMC4/XPO1/CENPN/BUB3/TUBG1/NEDD1/ZW10/CETN2/CENPO/CENPF/HAUS7/NCAPD2/RANBP2/SGO2/NUP133/TUBGCP3/CENPQ/NUP160/NEK6/BUB1B/CENPE/CDCA8/MAPRE1/PLK1/NUDC/AURKB/TUBB/ZWILCH/SMC2/KNTC1/KNL1/MAD1L1/CDC20/SMC3/ITGB3BP/TUBA4A/NCAPG/SEH1L/HAUS1/ZWINT/NDC80/TUBGCP4/TUBB3/CENPK/CEP78/SKA1/HAUS3/NME7/CCNB2/YWHAG/CENPU",84,"tumor_vs_adjacent_up","Reactome"
"R-HSA-453279","Mitotic G1 phase and G1/S transition","67/1651","138/10634",0.485507246376812,3.12712541367112,10.782301515427,5.15700475599248e-20,8.59500792665413e-18,6.74331148210479e-18,"CDK4/MYC/CCND1/PSMA7/MCM3/E2F5/PRIM2/ORC6/PSMD14/DBF4/CDK2/MYBL2/POLA1/MCM7/PSMA2/ADRM1/CDK1/PSMB4/CDC6/E2F6/ORC3/PRIM1/FBXO5/MCM8/E2F3/TOP2A/CCNB1/CDK7/E2F1/CKS1B/MCM10/PSMB2/MCM2/CCNE1/MCM4/ORC5/PSMD12/CDT1/RRM2/POLA2/CUL1/MNAT1/WEE1/E2F4/PSMB5/TFDP1/PCNA/TFDP2/CCNA2/MCM6/CDC45/POLE2/ORC2/RPA3/CDC25A/DHFR/LIN9/LYN/POLE3/PSMA3/RB1/TK1/CCNE2/CDKN1B/CDK6/CCND2/TYMS",67,"tumor_vs_adjacent_up","Reactome"
"R-HSA-69618","Mitotic Spindle Checkpoint","57/1651","107/10634",0.532710280373832,3.43115755390389,10.8353620125903,1.10745068137727e-19,1.66117602206591e-17,1.30329459134715e-17,"CKAP5/UBE2S/UBE2C/NUP107/DSN1/ERCC6L/NUP37/RCC2/NUP85/SPDL1/CENPH/KIF18A/NDE1/MAD2L1/RANGAP1/CENPL/BUB1/CENPA/BIRC5/SPC25/NUF2/PPP2R5C/KIF2C/XPO1/CENPN/BUB3/ZW10/CENPO/CENPF/ANAPC11/RANBP2/SGO2/NUP133/CDC16/CENPQ/NUP160/BUB1B/CENPE/CDCA8/ANAPC10/MAPRE1/PLK1/NUDC/AURKB/ZWILCH/CDC23/KNTC1/KNL1/MAD1L1/CDC20/ITGB3BP/SEH1L/ZWINT/NDC80/CENPK/SKA1/CENPU",57,"tumor_vs_adjacent_up","Reactome"
