"accession","geo_accession","sample_median","sample_iqr","median_robust_z","iqr_robust_z","missing_values","non_finite_values","independent_failure_metrics","technical_outlier_candidate","automatic_exclusion"
"GSE44076","GSM1077598",3.60743196591738,3.43175304465435,-0.86967130498495,0.731002784964357,0,0,0,FALSE,FALSE
"GSE44076","GSM1077599",3.59178572079114,3.39300137285921,-1.15680285707391,0.338303815085749,0,0,0,FALSE,FALSE
"GSE44076","GSM1077600",3.68455554188512,3.08535806273929,0.545659459144035,-2.7792703533998,0,0,0,FALSE,FALSE
"GSE44076","GSM1077601",3.64633312034047,3.24262891225075,-0.155778050888938,-1.18553006468178,0,0,0,FALSE,FALSE
"GSE44076","GSM1077602",3.60620307397682,3.25493854449265,-0.892223274955823,-1.06078757804698,0,0,0,FALSE,FALSE
"GSE44076","GSM1077603",3.66727068589851,3.12263036650269,0.228456993822357,-2.40156289937641,0,0,0,FALSE,FALSE
"GSE44076","GSM1077604",3.64205387371226,3.11882180023249,-0.234308504439583,-2.44015788074733,0,0,0,FALSE,FALSE
"GSE44076","GSM1077605",3.5870038944346,3.37160119262887,-1.24455638595559,0.121440171728608,0,0,0,FALSE,FALSE
"GSE44076","GSM1077606",3.61895031425725,3.28869021825292,-0.658292714809306,-0.718757237074697,0,0,0,FALSE,FALSE
"GSE44076","GSM1077607",3.60016863334126,3.21169493257842,-1.00296411352107,-1.499006655209,0,0,0,FALSE,FALSE
"GSE44076","GSM1077608",3.633965801384,3.18832941170825,-0.382736497372342,-1.73578652950452,0,0,0,FALSE,FALSE
"GSE44076","GSM1077609",3.60534877166115,3.35446717845806,-0.907900975763377,-0.0521912976524667,0,0,0,FALSE,FALSE
"GSE44076","GSM1077610",3.60944749548239,3.33601299695362,-0.832683380558736,-0.239200986035922,0,0,0,FALSE,FALSE
"GSE44076","GSM1077611",3.59039400215805,3.26130013769366,-1.18234293572963,-0.996320911678949,0,0,0,FALSE,FALSE
"GSE44076","GSM1077612",3.62146387671779,3.24099389489758,-0.612165156104689,-1.20209888869842,0,0,0,FALSE,FALSE
"GSE44076","GSM1077613",3.58585154341019,3.34060002528224,-1.26570371782466,-0.192717280533502,0,0,0,FALSE,FALSE
"GSE44076","GSM1077614",3.60813591938654,3.36978876696528,-0.856752726081957,0.103073539836282,0,0,0,FALSE,FALSE
"GSE44076","GSM1077615",3.59653579091974,3.24832243728841,-1.06963210156351,-1.12783342054501,0,0,0,FALSE,FALSE
"GSE44076","GSM1077616",3.58476929150865,3.40208678685416,-1.2855646279493,0.430372945305414,0,0,0,FALSE,FALSE
"GSE44076","GSM1077617",3.58942635795707,3.25241147909791,-1.20010062641237,-1.08639617585348,0,0,0,FALSE,FALSE
"GSE44076","GSM1077618",3.58520605637852,3.33163927443708,-1.2775493518257,-0.283523108081661,0,0,0,FALSE,FALSE
"GSE44076","GSM1077619",3.58674608340184,3.29810610734848,-1.24928759663163,-0.623339161491677,0,0,0,FALSE,FALSE
"GSE44076","GSM1077620",3.58586807777017,3.39370683777382,-1.26540028806202,0.345452805888416,0,0,0,FALSE,FALSE
"GSE44076","GSM1077621",3.60188360821799,3.31688941372888,-0.971491808557326,-0.432994210556554,0,0,0,FALSE,FALSE
"GSE44076","GSM1077622",3.61941936860976,3.21501026919638,-0.649684879308617,-1.46540992984565,0,0,0,FALSE,FALSE
"GSE44076","GSM1077623",3.5822452374679,3.10933590598006,-1.33188472254262,-2.53628536967215,0,0,0,FALSE,FALSE
"GSE44076","GSM1077624",3.63222750559609,3.3385298784035,-0.414636775269489,-0.213695589574656,0,0,0,FALSE,FALSE
"GSE44076","GSM1077625",3.59670708754016,3.11809274662444,-1.06648855727589,-2.44754591299484,0,0,0,FALSE,FALSE
"GSE44076","GSM1077626",3.60047126486361,3.30367903595699,-0.997410381106503,-0.566864608978423,0,0,0,FALSE,FALSE
"GSE44076","GSM1077627",3.68246492140375,3.09447689416638,0.507293506239556,-2.68686257995345,0,0,0,FALSE,FALSE
"GSE44076","GSM1077628",3.61318989155701,3.26437586990721,-0.764004922259904,-0.965152272600128,0,0,0,FALSE,FALSE
"GSE44076","GSM1077629",3.57283319639141,3.30527584434754,-1.50460948435043,-0.550682984263609,0,0,0,FALSE,FALSE
"GSE44076","GSM1077630",3.59414746670317,3.31762592052949,-1.11346135475883,-0.425530649669791,0,0,0,FALSE,FALSE
"GSE44076","GSM1077631",3.58951096659833,3.29189944362312,-1.19854793371902,-0.686235814421051,0,0,0,FALSE,FALSE
"GSE44076","GSM1077632",3.65027883420619,3.1965499051188,-0.0833684128434413,-1.65248227075457,0,0,0,FALSE,FALSE
"GSE44076","GSM1077633",3.6355770900037,3.28230539263237,-0.353166987339457,-0.783459334504214,0,0,0,FALSE,FALSE
"GSE44076","GSM1077634",3.60554537693386,3.32770390834457,-0.904292980576961,-0.32340304458598,0,0,0,FALSE,FALSE
"GSE44076","GSM1077635",3.60844851555553,3.36257553355687,-0.8510161277828,0.0299765817501762,0,0,0,FALSE,FALSE
"GSE44076","GSM1077636",3.62402436235355,3.31504062092968,-0.565176488295415,-0.451729377173496,0,0,0,FALSE,FALSE
"GSE44076","GSM1077637",3.61520300905045,3.2845128739569,-0.727061262885602,-0.76108931530217,0,0,0,FALSE,FALSE
"GSE44076","GSM1077638",3.62569455046364,3.26195524117296,-0.534526086204582,-0.989682270052195,0,0,0,FALSE,FALSE
"GSE44076","GSM1077639",3.60433083247827,3.31451435896033,-0.926581653149732,-0.457062373755918,0,0,0,FALSE,FALSE
"GSE44076","GSM1077640",3.61194479590142,3.33106776166775,-0.786854254173292,-0.289314664042846,0,0,0,FALSE,FALSE
"GSE44076","GSM1077641",3.66638787738566,3.40663216158985,0.212256162476129,0.476434544553387,0,0,0,FALSE,FALSE
"GSE44076","GSM1077642",3.57773818307867,3.33997587868737,-1.41459578271629,-0.199042213459116,0,0,0,FALSE,FALSE
"GSE44076","GSM1077643",3.59979901567341,3.36763149581002,-1.00974713997835,0.0812123369210186,0,0,0,FALSE,FALSE
"GSE44076","GSM1077644",3.60894282104214,3.33953856773902,-0.841944896926418,-0.203473804432568,0,0,0,FALSE,FALSE
"GSE44076","GSM1077645",3.67841697092598,3.32405820015111,0.433007676375407,-0.360347666217153,0,0,0,FALSE,FALSE
