gene_symbol,high_confidence_field_gene,task_a_predictive_gene,task_b_predictive_gene,task_c_predictive_gene,leading_edge_enrichment_gene,membership_count,conceptual_roles
CEMIP,False,True,False,True,True,3,task_a_predictive;task_c_predictive;leading_edge_enrichment
ABCG2,False,True,False,False,True,2,task_a_predictive;leading_edge_enrichment
AEBP1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
ANGPTL2,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
APCDD1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
APOLD1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
AQP8,False,True,False,False,True,2,task_a_predictive;leading_edge_enrichment
AREG,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
ASCL2,False,True,False,False,True,2,task_a_predictive;leading_edge_enrichment
ASPN,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
BAG2,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
BEST4,False,True,False,False,True,2,task_a_predictive;leading_edge_enrichment
CA7,False,True,False,False,True,2,task_a_predictive;leading_edge_enrichment
CCDC3,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
CCL13,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
CCL20,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
CD93,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
CDH3,False,True,False,False,True,2,task_a_predictive;leading_edge_enrichment
CDKN1C,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
CH25H,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
CHRM3,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
CLC,True,False,True,False,False,2,high_confidence_field;task_b_predictive
CLCA1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
CLDN1,False,True,False,False,True,2,task_a_predictive;leading_edge_enrichment
COL15A1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
COL1A2,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
COL4A1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
COL6A3,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
CTSK,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
CXCL11,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
CYP2C18,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
DBN1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
DPYSL3,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
DUOX2,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
DYNC1H1,False,False,True,False,True,2,task_b_predictive;leading_edge_enrichment
EFEMP2,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
ENC1,False,True,False,False,True,2,task_a_predictive;leading_edge_enrichment
ETNK1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
ETV4,False,True,False,True,False,2,task_a_predictive;task_c_predictive
FKBP10,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
FN1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
FOS,False,False,True,False,True,2,task_b_predictive;leading_edge_enrichment
FOXQ1,False,True,False,True,False,2,task_a_predictive;task_c_predictive
GAL,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
GBA3,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
GPR34,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
HIGD1A,False,True,False,False,True,2,task_a_predictive;leading_edge_enrichment
HPGD,False,True,False,False,True,2,task_a_predictive;leading_edge_enrichment
HTRA1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
IFI6,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
IGFBP5,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
IL33,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
ITLN1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
JUN,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
KLK1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
LAMC1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
LARP6,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
LPL,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
LRRC32,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
LY96,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
MB,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
MESP1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
MMP2,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
MXRA5,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
NDRG1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
NIPSNAP3A,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
NLN,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
NNMT,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
NR4A1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
NR4A2,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
OTOP2,False,True,False,False,True,2,task_a_predictive;leading_edge_enrichment
PANK3,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
PRRX1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
PXDN,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
RBPMS,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
ROBO4,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
S100A4,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
S1PR3,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
SEMA3A,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
SERPINE2,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
SFXN1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
SIK1,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
SLC4A4,False,True,False,False,True,2,task_a_predictive;leading_edge_enrichment
SNORA12,True,False,True,False,False,2,high_confidence_field;task_b_predictive
SOCS3,True,False,False,False,True,2,high_confidence_field;leading_edge_enrichment
