task,panel_size,rank,gene_symbol
task_a_three_class,10,1,ENC1
task_a_three_class,10,2,OTOP2
task_a_three_class,10,3,CA7
task_a_three_class,10,4,MTHFD1L
task_a_three_class,10,5,ASCL2
task_a_three_class,10,6,GTF2IRD1
task_a_three_class,10,7,SLC4A4
task_a_three_class,10,8,GRAMD3
task_a_three_class,10,9,TMEM206
task_a_three_class,10,10,KIAA1199
task_a_three_class,20,1,ENC1
task_a_three_class,20,2,OTOP2
task_a_three_class,20,3,CA7
task_a_three_class,20,4,MTHFD1L
task_a_three_class,20,5,ASCL2
task_a_three_class,20,6,GTF2IRD1
task_a_three_class,20,7,SLC4A4
task_a_three_class,20,8,GRAMD3
task_a_three_class,20,9,TMEM206
task_a_three_class,20,10,KIAA1199
task_a_three_class,20,11,FOXQ1
task_a_three_class,20,12,CLDN1
task_a_three_class,20,13,OTOP2
task_a_three_class,20,14,AQP8
task_a_three_class,20,15,RDH5
task_a_three_class,20,16,ETV4
task_a_three_class,20,17,TMEM206
task_a_three_class,20,18,HPGD
task_a_three_class,20,19,ABCG2
task_a_three_class,20,20,GTF2IRD1
task_a_three_class,30,1,ENC1
task_a_three_class,30,2,OTOP2
task_a_three_class,30,3,CA7
task_a_three_class,30,4,MTHFD1L
task_a_three_class,30,5,ASCL2
task_a_three_class,30,6,GTF2IRD1
task_a_three_class,30,7,SLC4A4
task_a_three_class,30,8,GRAMD3
task_a_three_class,30,9,TMEM206
task_a_three_class,30,10,KIAA1199
task_a_three_class,30,11,FOXQ1
task_a_three_class,30,12,CLDN1
task_a_three_class,30,13,OTOP2
task_a_three_class,30,14,AQP8
task_a_three_class,30,15,RDH5
task_a_three_class,30,16,ETV4
task_a_three_class,30,17,TMEM206
task_a_three_class,30,18,HPGD
task_a_three_class,30,19,ABCG2
task_a_three_class,30,20,GTF2IRD1
task_a_three_class,30,21,ETV4
task_a_three_class,30,22,GUCA2A
task_a_three_class,30,23,CA7
task_a_three_class,30,24,HIGD1A
task_a_three_class,30,25,GUCA2B
task_a_three_class,30,26,TSPAN7
task_a_three_class,30,27,ENC1
task_a_three_class,30,28,NONO
task_a_three_class,30,29,TGIF2
task_a_three_class,30,30,FOXQ1
task_b_field_effect,10,1,CLC
task_b_field_effect,10,2,VIP
task_b_field_effect,10,3,FOS
task_b_field_effect,10,4,CYR61
task_b_field_effect,10,5,SFRP2
task_b_field_effect,10,6,DYNC1H1
task_b_field_effect,10,7,APOLD1
task_b_field_effect,10,8,EGR1
task_b_field_effect,10,9,C3orf38
task_b_field_effect,10,10,ADAMTS1
task_b_field_effect,20,1,CLC
task_b_field_effect,20,2,VIP
task_b_field_effect,20,3,FOS
task_b_field_effect,20,4,CYR61
task_b_field_effect,20,5,SFRP2
task_b_field_effect,20,6,DYNC1H1
task_b_field_effect,20,7,APOLD1
task_b_field_effect,20,8,EGR1
task_b_field_effect,20,9,C3orf38
task_b_field_effect,20,10,ADAMTS1
task_b_field_effect,20,11,SNORA12
task_b_field_effect,20,12,CH25H
task_b_field_effect,30,1,CLC
task_b_field_effect,30,2,VIP
task_b_field_effect,30,3,FOS
task_b_field_effect,30,4,CYR61
task_b_field_effect,30,5,SFRP2
task_b_field_effect,30,6,DYNC1H1
task_b_field_effect,30,7,APOLD1
task_b_field_effect,30,8,EGR1
task_b_field_effect,30,9,C3orf38
task_b_field_effect,30,10,ADAMTS1
task_b_field_effect,30,11,SNORA12
task_b_field_effect,30,12,CH25H
task_c_tumor_vs_adjacent,10,1,FOXQ1
task_c_tumor_vs_adjacent,10,2,ETV4
task_c_tumor_vs_adjacent,10,3,KIAA1199
task_c_tumor_vs_adjacent,10,4,GTF2IRD1
task_c_tumor_vs_adjacent,10,5,CA7
task_c_tumor_vs_adjacent,10,6,CDH3
task_c_tumor_vs_adjacent,10,7,OTOP2
task_c_tumor_vs_adjacent,10,8,UGP2
task_c_tumor_vs_adjacent,10,9,GUCA2B
task_c_tumor_vs_adjacent,10,10,CLDN1
task_c_tumor_vs_adjacent,20,1,FOXQ1
task_c_tumor_vs_adjacent,20,2,ETV4
task_c_tumor_vs_adjacent,20,3,KIAA1199
task_c_tumor_vs_adjacent,20,4,GTF2IRD1
task_c_tumor_vs_adjacent,20,5,CA7
task_c_tumor_vs_adjacent,20,6,CDH3
task_c_tumor_vs_adjacent,20,7,OTOP2
task_c_tumor_vs_adjacent,20,8,UGP2
task_c_tumor_vs_adjacent,20,9,GUCA2B
task_c_tumor_vs_adjacent,20,10,CLDN1
task_c_tumor_vs_adjacent,20,11,SLC4A4
task_c_tumor_vs_adjacent,20,12,PPM1H
task_c_tumor_vs_adjacent,20,13,AQP8
task_c_tumor_vs_adjacent,20,14,ABCG2
task_c_tumor_vs_adjacent,20,15,TMIGD1
task_c_tumor_vs_adjacent,20,16,GREM2
task_c_tumor_vs_adjacent,20,17,TMEM206
task_c_tumor_vs_adjacent,20,18,TMEM100
task_c_tumor_vs_adjacent,20,19,BEST4
task_c_tumor_vs_adjacent,30,1,FOXQ1
task_c_tumor_vs_adjacent,30,2,ETV4
task_c_tumor_vs_adjacent,30,3,KIAA1199
task_c_tumor_vs_adjacent,30,4,GTF2IRD1
task_c_tumor_vs_adjacent,30,5,CA7
task_c_tumor_vs_adjacent,30,6,CDH3
task_c_tumor_vs_adjacent,30,7,OTOP2
task_c_tumor_vs_adjacent,30,8,UGP2
task_c_tumor_vs_adjacent,30,9,GUCA2B
task_c_tumor_vs_adjacent,30,10,CLDN1
task_c_tumor_vs_adjacent,30,11,SLC4A4
task_c_tumor_vs_adjacent,30,12,PPM1H
task_c_tumor_vs_adjacent,30,13,AQP8
task_c_tumor_vs_adjacent,30,14,ABCG2
task_c_tumor_vs_adjacent,30,15,TMIGD1
task_c_tumor_vs_adjacent,30,16,GREM2
task_c_tumor_vs_adjacent,30,17,TMEM206
task_c_tumor_vs_adjacent,30,18,TMEM100
task_c_tumor_vs_adjacent,30,19,BEST4
