gene_symbol,reference_model,adjusted_model,unadjusted_log2fc,adjusted_log2fc,effect_difference,unadjusted_fdr,adjusted_fdr,effect_direction_agreement,reference_significant,adjusted_significant,significance_retained,lost_significance,gained_significance,changed_direction
VIP,U0_unadjusted,U1_age_sex_adjusted,4.72795273063213,4.50260390837166,-0.22534882226046982,1.33549627910183e-50,2.53658712236669e-45,True,True,True,True,False,False,False
CCN1,U0_unadjusted,U1_age_sex_adjusted,4.43353870707428,4.2941559878658,-0.13938271920848067,2.36180748761663e-49,4.56134172646388e-44,True,True,True,True,False,False,False
EGR1,U0_unadjusted,U1_age_sex_adjusted,3.6446180794518,3.52436207958351,-0.12025599986829016,6.02213158236529e-47,7.358627435541619e-42,True,True,True,True,False,False,False
FOS,U0_unadjusted,U1_age_sex_adjusted,3.67060296612635,3.54124109799949,-0.12936186812686,1.16844688582163e-46,1.29404234113876e-41,True,True,True,True,False,False,False
CLC,U0_unadjusted,U1_age_sex_adjusted,-3.5746184745732,-3.68717832725262,-0.11255985267942004,2.6215895580258397e-43,7.358627435541619e-42,True,True,True,True,False,False,False
SFRP2,U0_unadjusted,U1_age_sex_adjusted,4.40400326815491,4.29132220596745,-0.11268106218745988,5.37638907261891e-43,3.3916751413888e-38,True,True,True,True,False,False,False
ADAMTS1,U0_unadjusted,U1_age_sex_adjusted,2.64991614591567,2.57857248902115,-0.07134365689451982,2.13130552695245e-41,7.91889798100038e-37,True,True,True,True,False,False,False
APOLD1,U0_unadjusted,U1_age_sex_adjusted,1.44011874570621,1.4238498438929,-0.016268901813309977,3.91928160388631e-41,7.91889798100038e-37,True,True,True,True,False,False,False
DYNC1H1,U0_unadjusted,U1_age_sex_adjusted,0.768304742481069,0.75012463223084,-0.01818011025022892,5.28102194895088e-40,2.68734358001874e-35,True,True,True,True,False,False,False
KLF2,U0_unadjusted,U1_age_sex_adjusted,2.0016365056803,1.91849129506682,-0.08314521061347979,7.32327192206247e-38,4.4139476239337095e-33,True,True,True,True,False,False,False
CD248,U0_unadjusted,U1_age_sex_adjusted,2.39106871297058,2.34980900127554,-0.04125971169503995,1.62202217615102e-37,2.52950721371704e-33,True,True,True,True,False,False,False
C1R,U0_unadjusted,U1_age_sex_adjusted,1.93664455578855,1.90469497082148,-0.03194958496707012,4.78902871834655e-37,7.93075755537111e-33,True,True,True,True,False,False,False
OGN,U0_unadjusted,U1_age_sex_adjusted,3.53674396684044,3.48144543012719,-0.05529853671324991,5.70250388365678e-37,7.93075755537111e-33,True,True,True,True,False,False,False
CH25H,U0_unadjusted,U1_age_sex_adjusted,2.11096848013481,2.06052679503787,-0.0504416850969398,1.62728670721118e-36,4.19626591949821e-32,True,True,True,True,False,False,False
GAP43,U0_unadjusted,U1_age_sex_adjusted,0.706686158093898,0.684042149081444,-0.022644009012454003,1.8279567629670498e-36,6.10579320130173e-32,True,True,True,True,False,False,False
AEBP1,U0_unadjusted,U1_age_sex_adjusted,1.68998119353293,1.67240078755519,-0.01758040597774002,2.11421756447573e-36,2.52729141320396e-32,True,True,True,True,False,False,False
RSPO3,U0_unadjusted,U1_age_sex_adjusted,2.38129335456094,2.38809110287165,0.006797748310710006,3.23833208067226e-36,7.93075755537111e-33,True,True,True,True,False,False,False
C3orf38,U0_unadjusted,U1_age_sex_adjusted,-0.625882082773847,-0.612122525535662,0.013759557238185005,4.0018777243267396e-36,3.77603891143337e-32,True,True,True,True,False,False,False
CCN2,U0_unadjusted,U1_age_sex_adjusted,2.64791972282921,2.58359675880875,-0.06432296402046012,5.38450410058012e-36,6.10579320130173e-32,True,True,True,True,False,False,False
SNORA12,U0_unadjusted,U1_age_sex_adjusted,-2.20336025835863,-2.12035686791791,0.08300339044071992,1.8941208192968902e-35,7.725199769857181e-31,True,True,True,True,False,False,False
GREM1,U0_unadjusted,U1_age_sex_adjusted,2.67039134601187,2.66524638927404,-0.005144956737829887,3.87719939175839e-35,9.40490515157027e-32,True,True,True,True,False,False,False
FBLN2,U0_unadjusted,U1_age_sex_adjusted,2.22986941440363,2.17997432281472,-0.049895091588910034,4.47437488158487e-35,4.55624913775307e-31,True,True,True,True,False,False,False
NNMT,U0_unadjusted,U1_age_sex_adjusted,2.45370134821551,2.4567022945962,0.0030009463806899284,5.02612710269707e-35,1.01960764721332e-31,True,True,True,True,False,False,False
C3,U0_unadjusted,U1_age_sex_adjusted,3.31938394862415,3.28962569948743,-0.029758249136719872,7.06167505865949e-35,5.1537074082828605e-31,True,True,True,True,False,False,False
EFHD1,U0_unadjusted,U1_age_sex_adjusted,1.09356721015302,1.06103245474534,-0.03253475540768003,1.08961890136304e-34,3.0392332172270696e-30,True,True,True,True,False,False,False
TIMP3,U0_unadjusted,U1_age_sex_adjusted,2.84752561098242,2.76610822206652,-0.0814173889159,1.1110544643033999e-34,2.7350556212404097e-30,True,True,True,True,False,False,False
IGFBP6,U0_unadjusted,U1_age_sex_adjusted,3.19958428420052,3.14788184189435,-0.05170244230617005,1.52630552658094e-34,1.80384915939996e-30,True,True,True,True,False,False,False
RERGL,U0_unadjusted,U1_age_sex_adjusted,3.16146887208054,3.04042524819363,-0.12104362388690992,3.51065264556156e-34,1.451717867135e-29,True,True,True,True,False,False,False
TGFBR3,U0_unadjusted,U1_age_sex_adjusted,1.98967950635164,1.98965033914974,-2.9167201899937822e-05,3.66575978637401e-34,3.35868550394823e-31,True,True,True,True,False,False,False
TCIM,U0_unadjusted,U1_age_sex_adjusted,1.98039663422666,1.885978343394,-0.09441829083265985,3.88669369861977e-34,2.21830318744087e-29,True,True,True,True,False,False,False
MGP,U0_unadjusted,U1_age_sex_adjusted,2.98323327103368,2.86522453021934,-0.11800874081434021,4.08986946323381e-34,1.75217912590958e-29,True,True,True,True,False,False,False
EBF1,U0_unadjusted,U1_age_sex_adjusted,2.16672632646726,2.12793894037124,-0.03878738609602017,9.08001660576968e-34,4.29304403270903e-30,True,True,True,True,False,False,False
SPTBN1,U0_unadjusted,U1_age_sex_adjusted,0.976204285201545,0.998033800902051,0.021829515700505953,1.20156796667944e-33,3.35868550394823e-31,True,True,True,True,False,False,False
CILP,U0_unadjusted,U1_age_sex_adjusted,3.1998097692273,3.08198151784203,-0.1178282513852702,2.13352411673679e-33,1.45830803747053e-29,True,True,True,True,False,False,False
ATP5F1C,U0_unadjusted,U1_age_sex_adjusted,-0.798902081352648,-0.784675221445082,0.014226859907566003,2.1689321671218498e-33,1.87866660602788e-29,True,True,True,True,False,False,False
PTGIS,U0_unadjusted,U1_age_sex_adjusted,1.57450619386462,1.49642771010536,-0.07807848375926008,2.9742747771932498e-33,1.48822822584465e-28,True,True,True,True,False,False,False
SFRP1,U0_unadjusted,U1_age_sex_adjusted,2.34103959499527,2.33177209965445,-0.009267495340819831,5.37671164065317e-33,1.45830803747053e-29,True,True,True,True,False,False,False
MFAP5,U0_unadjusted,U1_age_sex_adjusted,3.36644975837782,3.33125754559185,-0.03519221278597007,6.23094302242607e-33,1.95313209322076e-29,True,True,True,True,False,False,False
NIPSNAP3A,U0_unadjusted,U1_age_sex_adjusted,-1.02197387810773,-1.03088624502298,-0.008912366915249992,6.56030825586427e-33,8.257792670555049e-30,True,True,True,True,False,False,False
