gene_symbol,log2_fold_change_reference,adjusted_p_value_reference,log2_fold_change_adjusted,adjusted_p_value_adjusted,reference_significant,adjusted_significant,sign_agreement,lost_significance,gained_significance,changed_direction,adjusted_model
GLG1,0.507187815609203,9.6856962751251e-26,0.491142012930786,3.2218436147326e-22,True,False,True,True,False,False,U1_age_sex_adjusted
INIP,-0.521455025732394,4.61572219159364e-20,-0.488594419444892,2.05994365949239e-16,True,False,True,True,False,False,U1_age_sex_adjusted
ACTR6,-0.500829228249828,1.0026258545643e-18,-0.493886658608448,2.6537449523204e-16,True,False,True,True,False,False,U1_age_sex_adjusted
ADGRD1,0.505996948843651,1.3059499142650599e-18,0.459272275642147,1.1939792468589301e-14,True,False,True,True,False,False,U1_age_sex_adjusted
SDR42E1,-0.510749972073475,3.16735599091904e-16,-0.494284787075026,8.490753338218391e-14,True,False,True,True,False,False,U1_age_sex_adjusted
PIGF,-0.506086942596147,8.98975531088994e-16,-0.489965645678216,3.32826895731039e-13,True,False,True,True,False,False,U1_age_sex_adjusted
SOWAHD,-0.509669605070167,4.60051119405789e-14,-0.49022017524926,1.11531097390439e-11,True,False,True,True,False,False,U1_age_sex_adjusted
NR2F6,-0.510282713326335,1.36377189822897e-13,-0.49192686039081,2.3241625801934698e-11,True,False,True,True,False,False,U1_age_sex_adjusted
CDK5RAP2,0.501089884601692,2.3526373082266598e-12,0.440432966489236,3.91867297524295e-09,True,False,True,True,False,False,U1_age_sex_adjusted
SLC39A2,-0.503182533834341,5.394816086677419e-12,-0.461341474256459,2.3682357637389604e-09,True,False,True,True,False,False,U1_age_sex_adjusted
CEP43,-0.508866937842715,7.48752346305443e-12,-0.479865643885937,1.6349278607377602e-09,True,False,True,True,False,False,U1_age_sex_adjusted
RAVER2,-0.519969045241792,7.66162267851379e-12,-0.461579281003185,7.941494551535311e-09,True,False,True,True,False,False,U1_age_sex_adjusted
HSPE1,-0.501628278627102,1.9921499547872897e-11,-0.43928460914864,2.22065623894199e-08,True,False,True,True,False,False,U1_age_sex_adjusted
NUPR2,-0.663990248085821,1.6773781334066701e-09,-0.481529587179484,8.79868637391517e-06,True,False,True,True,False,False,U1_age_sex_adjusted
CPEB1,0.531602680846704,2.01208529137999e-09,0.497047779125648,1.82885516139257e-07,True,False,True,True,False,False,U1_age_sex_adjusted
IMPA2,-0.502047538259837,2.7191198958285e-09,-0.477854674338652,1.56784797806999e-07,True,False,True,True,False,False,U1_age_sex_adjusted
NDFIP2,-0.500989485549321,3.0865221619300302e-09,-0.4732517510966,2.08429758596134e-07,True,False,True,True,False,False,U1_age_sex_adjusted
ATXN7,0.500315787048235,3.9415235610852105e-09,0.497897977039952,5.72511124806456e-08,True,False,True,True,False,False,U1_age_sex_adjusted
SLC22A5,-0.530405070549572,5.59116124944095e-09,-0.472325629455535,1.15774995462456e-06,True,False,True,True,False,False,U1_age_sex_adjusted
PRDM6,0.533989413238346,1.22446936311631e-08,0.496720522971898,8.77054752824775e-07,True,False,True,True,False,False,U1_age_sex_adjusted
POLD4,-0.501455227753808,1.40787524123955e-08,-0.474824761814686,6.61281826364202e-07,True,False,True,True,False,False,U1_age_sex_adjusted
SLC16A4,0.506073046834249,3.2606738073262e-08,0.441034133059131,6.34398828836123e-06,True,False,True,True,False,False,U1_age_sex_adjusted
SHTN1,-0.504631599627423,3.62185732302721e-08,-0.471986582844284,1.84305803437233e-06,True,False,True,True,False,False,U1_age_sex_adjusted
PCDH18,0.528733120176347,4.41145148781385e-08,0.481666059216299,3.61028596756311e-06,True,False,True,True,False,False,U1_age_sex_adjusted
ADAM28,-0.511283184699829,5.46820138604905e-08,-0.498040119151784,1.07231687272089e-06,True,False,True,True,False,False,U1_age_sex_adjusted
C1orf198,0.524248004280714,6.10826468652376e-08,0.492570155638311,2.53958965901776e-06,True,False,True,True,False,False,U1_age_sex_adjusted
PYCARD,-0.501140831213258,7.82853890383296e-08,-0.489751613971,1.159317969396e-06,True,False,True,True,False,False,U1_age_sex_adjusted
CMTM8,-0.500356723530451,8.06501643128571e-08,-0.455748871695197,5.75076348794926e-06,True,False,True,True,False,False,U1_age_sex_adjusted
DEPP1,0.523525250510915,9.29207750405345e-08,0.499660694895246,1.91419868185923e-06,True,False,True,True,False,False,U1_age_sex_adjusted
COPRS,0.507535583033999,1.02122128190598e-07,0.461844938455853,6.8995713668498e-06,True,False,True,True,False,False,U1_age_sex_adjusted
SLC16A14,0.530957941511377,1.03428113214654e-07,0.496635571327149,4.17073289438249e-06,True,False,True,True,False,False,U1_age_sex_adjusted
RPP25,-0.532932438043491,1.48671837463587e-07,-0.470362880270125,1.49871245172489e-05,True,False,True,True,False,False,U1_age_sex_adjusted
SCN9A,0.514243327741477,2.78422775132848e-07,0.4968573053564,4.9190393765223e-06,True,False,True,True,False,False,U1_age_sex_adjusted
CRYM,-0.503550349018981,2.84446020326998e-07,-0.45405115044255,1.76591746125449e-05,True,False,True,True,False,False,U1_age_sex_adjusted
SLC8A1,0.52408544551145,4.66935713021369e-07,0.476716893274906,2.22371018295264e-05,True,False,True,True,False,False,U1_age_sex_adjusted
NEK2,-0.501302907218526,5.85171727814843e-07,-0.497396770055843,5.32170624483401e-06,True,False,True,True,False,False,U1_age_sex_adjusted
SYNGR3,0.545179072932509,7.29444566697739e-07,0.474550284306749,5.90832298954116e-05,True,False,True,True,False,False,U1_age_sex_adjusted
PLCD1,-0.515220169358,8.04653683858735e-07,-0.486988030367694,1.49514114544142e-05,True,False,True,True,False,False,U1_age_sex_adjusted
OCLN,-0.588095914774079,8.67406943301281e-07,-0.483617174435825,0.0001447219567413,True,False,True,True,False,False,U1_age_sex_adjusted
FHOD3,0.562453467347762,1.06893881919218e-06,0.489142821102545,7.98221441487969e-05,True,False,True,True,False,False,U1_age_sex_adjusted
ABHD3,-0.581173989921207,1.19360879545639e-06,-0.49855145490902,0.0001048440160135,True,False,True,True,False,False,U1_age_sex_adjusted
CCDC88A,0.517178909015991,1.22902056256262e-06,0.452226598453131,8.15818966015172e-05,True,False,True,True,False,False,U1_age_sex_adjusted
POF1B,-0.583868483652557,1.4547736962429e-06,-0.429312833994548,0.0003049173928168,True,False,True,True,False,False,U1_age_sex_adjusted
AGPAT2,-0.531584606781899,1.67937448452019e-06,-0.473746197260167,7.62924566331386e-05,True,False,True,True,False,False,U1_age_sex_adjusted
STX3,-0.541488515494711,2.10682520295777e-06,-0.487630427010559,7.95656649978797e-05,True,False,True,True,False,False,U1_age_sex_adjusted
BCL6,0.50738444568108,2.13573482147417e-06,0.450465807373882,9.69740845778015e-05,True,False,True,True,False,False,U1_age_sex_adjusted
DNM3,0.529414413006404,2.67914659452897e-06,0.480314045753427,8.46865953904392e-05,True,False,True,True,False,False,U1_age_sex_adjusted
FGF2,0.566625585782075,2.93143854867698e-06,0.496135220181066,0.0001509520845919,True,False,True,True,False,False,U1_age_sex_adjusted
DHRS11,-0.521483597063618,3.74238914881439e-06,-0.476510605645518,9.6154220792558e-05,True,False,True,True,False,False,U1_age_sex_adjusted
SLC40A1,-0.508019482785167,4.03850574966934e-06,-0.494025034663121,3.91024037700365e-05,True,False,True,True,False,False,U1_age_sex_adjusted
FAM83F,-0.513534441817249,4.70082581708352e-06,-0.486027610147539,6.78274650118844e-05,True,False,True,True,False,False,U1_age_sex_adjusted
SAMSN1,-0.52131817184905,5.31610997631179e-06,-0.493917056047224,7.39160737716789e-05,True,False,True,True,False,False,U1_age_sex_adjusted
SLC35G1,-0.503210614079617,6.26697752204363e-06,-0.450427505263751,0.0001726529306253,True,False,True,True,False,False,U1_age_sex_adjusted
CD2AP,-0.556983939675661,7.68499471209495e-06,-0.464285565683637,0.0005230784153861,True,False,True,True,False,False,U1_age_sex_adjusted
