"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0033108","mitochondrial respiratory chain complex assembly",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"4717/51079/6834/4716/79072/51204/617/4702/79133/91647/51103/51300/4696/51287/25813/4535/25994/10063/79145/80775/84275/28958/90871/115209/647087/9131/25915/4724/790955/4708/84233/54539/7019/79064/25880/57226/55245/131474/7386/55744/84987/4720/4698/54902/80224/90624/51295/440957/5018/55967/137682/644096/64756/374291/4719/4700/90639/4718/4711/29078/4712/4694/4695/4707/4710/91419/493753/9167/57001/55101/6341/135154/4713/192286/389203/1347/55863/4709/51241",79,-0.703540252447702,-3.00481119776575,113,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0030198","extracellular matrix organization",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"3491/6423/9510/165/26585/7049/7373/151887/25890/60681/1805/4313/3915/7837/11096/1307/2294/2192/23213/1278/857/285590/1513/1842/1291/2296/2022/1289/4921/3913/10516/30008/80781/1282/858/4035/3908/4323/4239/9507/55959/10266/169611/8425/1287/55790/64094/144165/1511/1277/1296/56999/28984/5806/1545/1306/4629/183/4016/2131/57188/1215/11117/83872/1290/2824/5351/3912/5212/1281/3688/10491/8516/5156/25903/2295/79625/7133/4060/22795/871/1288/57589/10631/4811/170690/5768/1305/64066/90102/84695/57190/26276/1286/1303/79875/84168/1285/1284/81621/2191/11095/3037/23768/23122/7092/23332/2621/333/4314/4148/133584/4791/4015/3569/9509/7045/11005/650/149371/83716/79709",122,0.545627913651816,2.86533565693435,315,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0043062","extracellular structure organization",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"3491/6423/9510/165/26585/7049/7373/151887/25890/60681/1805/4313/3915/7837/11096/1307/2294/2192/23213/1278/857/285590/1513/1842/1291/2296/2022/1289/4921/3913/10516/30008/80781/1282/858/4035/3908/4323/4239/9507/55959/10266/169611/8425/1287/55790/64094/144165/1511/1277/1296/56999/28984/5806/1545/1306/4629/183/4016/2131/57188/1215/11117/83872/1290/2824/5351/3912/5212/1281/3688/10491/8516/5156/25903/2295/79625/7133/4060/22795/871/1288/57589/10631/4811/170690/5768/1305/64066/90102/84695/57190/26276/1286/1303/79875/84168/1285/1284/81621/2191/11095/3037/23768/23122/7092/23332/2621/333/4314/4148/133584/4791/4015/3569/9509/7045/11005/650/149371/83716/79709",122,0.545265619087693,2.86166484189969,316,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0045229","external encapsulating structure organization",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"3491/6423/9510/165/26585/7049/7373/151887/25890/60681/1805/4313/3915/7837/11096/1307/2294/2192/23213/1278/857/285590/1513/1842/1291/2296/2022/1289/4921/3913/10516/30008/80781/1282/858/4035/3908/4323/4239/9507/55959/10266/169611/8425/1287/55790/64094/144165/1511/1277/1296/56999/28984/5806/1545/1306/4629/183/4016/2131/57188/1215/11117/83872/1290/2824/5351/3912/5212/1281/3688/10491/8516/5156/25903/2295/79625/7133/4060/22795/871/1288/57589/10631/4811/170690/5768/1305/64066/90102/84695/57190/26276/1286/1303/79875/84168/1285/1284/81621/2191/11095/3037/23768/23122/7092/23332/2621/333/4314/4148/133584/4791/4015/3569/9509/7045/11005/650/149371/83716/79709",122,0.543715414061187,2.85926975667022,317,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0030199","collagen fibril organization",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"6423/165/26585/7373/60681/1805/7837/1278/1291/2296/1289/4921/30008/1277/1545/4016/2131/11117/1290/5351/1281/10491/4060/871/84695/57190/26276/1303/7092",29,0.66180299323182,2.73250956590749,67,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-3000178","ECM proteoglycans","6/47","73/10634",7.29954849173194e-07,9.36517870723992e-05,8.53948578065457e-05,"COL6A3/LAMC1/FN1/COL1A2/VCAN/HAPLN1",6,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-1474244","Extracellular matrix organization","10/47","313/10634",8.32547806869799e-07,9.36517870723992e-05,8.53948578065457e-05,"HTRA1/COL6A3/MMP2/LAMC1/FN1/PXDN/COL1A2/VCAN/CTSK/HAPLN1",10,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","7/47","121/10634",8.94762296870056e-07,9.36517870723992e-05,8.53948578065457e-05,"MMP2/LAMC1/FN1/IGFBP5/VCAN/KLK1/IGFBP2",7,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-1474228","Degradation of the extracellular matrix","7/47","136/10634",1.96798943231542e-06,0.000154487170436761,0.000140866611997315,"HTRA1/COL6A3/MMP2/LAMC1/FN1/COL1A2/CTSK",7,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"composition_robust_field","adjacent_vs_healthy_u3_composition_adjusted","both","composition_robust_high_confidence","over_representation","Reactome","Pathway","R-HSA-1442490","Collagen degradation","4/47","63/10634",0.000164842882802669,0.0103521330400076,0.00943942402575281,"COL6A3/MMP2/COL1A2/CTSK",4,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
