gene_symbol,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance
A1BG,2.6994779999999996,2.5755469387755094,2.505686734693878,-0.12393106122449016,-0.0698602040816314,non_monotonic,0.15
A1CF,7.766800999999999,7.185381632653062,5.927985204081634,-0.5814193673469372,-1.257396428571428,monotonic_down,0.15
A2BP1,2.532672,2.488272959183673,2.3447954081632667,-0.04439904081632662,-0.1434775510204065,non_monotonic,0.15
A2LD1,3.8819579999999996,3.4740224489795914,3.885251020408164,-0.4079355510204081,0.4112285714285724,non_monotonic,0.15
A2M,9.552812,10.355763265306122,9.299706122448981,0.8029512653061222,-1.0560571428571404,adjacent_specific,0.15
A2ML1,2.137753,2.0986734693877547,2.098638775510204,-0.03907953061224534,-3.469387755083986e-05,non_monotonic,0.15
A3GALT2,2.652762000000001,2.5905122448979596,2.6719112244897967,-0.06224975510204134,0.08139897959183706,non_monotonic,0.15
A4GALT,2.9811639999999993,2.929007142857142,2.837826020408164,-0.05215685714285723,-0.09118112244897825,non_monotonic,0.15
A4GNT,2.5818060000000003,2.536120408163265,2.4656734693877556,-0.04568559183673537,-0.07044693877550934,non_monotonic,0.15
AAA1,2.330728,2.2713500000000004,2.273272959183673,-0.05937799999999971,0.001922959183672468,non_monotonic,0.15
AAAS,4.619409999999999,4.509419387755102,5.026424489795919,-0.10999061224489726,0.5170051020408168,tumor_specific,0.15
AACS,3.5328229999999996,3.423516836734693,3.5584780612244877,-0.10930616326530673,0.13496122448979486,non_monotonic,0.15
AACSL,2.3937519999999997,2.360170408163266,2.283596938775511,-0.033581591836733704,-0.07657346938775511,non_monotonic,0.15
AADAC,2.2108640000000004,2.223829591836735,2.4399540816326524,0.012965591836734625,0.21612448979591736,non_monotonic,0.15
AADACL2,2.037794,2.4539255102040816,2.042560204081633,0.4161315102040817,-0.4113653061224487,non_monotonic,0.15
AADACL3,2.368976000000001,2.311230612244898,2.3233642857142858,-0.05774538775510285,0.012133673469387762,non_monotonic,0.15
AADACL4,2.4237479999999993,2.3987010204081636,2.3713479591836735,-0.025046979591835772,-0.027353061224490105,non_monotonic,0.15
AADAT,3.049348,2.9617653061224494,3.855197959183674,-0.0875826938775508,0.8934326530612244,tumor_specific,0.15
AAGAB,5.859402000000001,5.934680612244897,5.404611224489797,0.07527861224489563,-0.5300693877551002,tumor_specific,0.15
AAK1,2.7198439999999993,2.722896428571427,2.5781173469387753,0.0030524285714279564,-0.14477908163265196,non_monotonic,0.15
AAMP,7.2225790000000005,7.116161224489793,7.223821938775512,-0.10641777551020759,0.10766071428571866,non_monotonic,0.15
AANAT,2.4982559999999996,2.42266530612245,2.4547989795918363,-0.07559069387754969,0.03213367346938645,non_monotonic,0.15
AARS,5.805734999999999,5.989784693877551,7.012724999999997,0.18404969387755177,1.0229403061224458,monotonic_up,0.15
AARS2,3.8261380000000007,4.007264285714287,4.138793877551022,0.18112628571428635,0.13152959183673474,non_monotonic,0.15
AARSD1,2.6401820000000003,3.0595102040816333,3.228229591836735,0.41932820408163307,0.16871938775510165,monotonic_up,0.15
AASDH,5.581052,5.620616326530611,5.599186734693876,0.03956432653061093,-0.02142959183673465,non_monotonic,0.15
AASDHPPT,6.873793999999998,6.972464285714284,7.627174489795918,0.09867028571428538,0.6547102040816339,tumor_specific,0.15
AASS,2.4916329999999998,2.805682142857143,2.7763668367346934,0.31404914285714325,-0.02931530612244959,non_monotonic,0.15
AATF,6.203284,6.2642091836734695,7.1900867346938755,0.06092518367346944,0.925877551020406,tumor_specific,0.15
AATK,4.959041999999999,5.388735714285713,5.447240816326531,0.42969371428571357,0.058505102040817825,non_monotonic,0.15
ABAT,5.334378,4.809667346938777,4.682562244897959,-0.5247106530612227,-0.1271051020408187,field_shift_then_plateau,0.15
ABCA1,2.6394859999999993,2.657469387755103,2.6039765306122447,0.017983387755103664,-0.05349285714285834,non_monotonic,0.15
ABCA10,2.5811360000000003,2.7129178571428567,2.255160714285714,0.1317818571428564,-0.45775714285714253,non_monotonic,0.15
ABCA11P,2.0925700000000007,2.1029500000000008,2.146499999999999,0.010380000000000056,0.04354999999999842,non_monotonic,0.15
ABCA12,2.4435079999999996,2.4102229591836735,2.451282653061225,-0.033285040816326106,0.041059693877551595,non_monotonic,0.15
ABCA13,2.1630960000000004,2.1112163265306125,2.2233153061224487,-0.05187967346938782,0.11209897959183612,non_monotonic,0.15
ABCA2,2.556887,2.437919387755103,2.397391326530612,-0.11896761224489705,-0.04052806122449093,non_monotonic,0.15
ABCA3,2.697218,2.8485336734693876,2.7221387755102033,0.15131567346938768,-0.12639489795918424,non_monotonic,0.15
ABCA4,2.4364290000000004,2.3513122448979598,2.4251346938775513,-0.08511675510204064,0.07382244897959156,non_monotonic,0.15
ABCA5,7.148708000000003,7.266694897959183,5.426204081632652,0.11798689795918005,-1.8404908163265308,tumor_specific,0.15
ABCA6,2.493126,2.6519346938775503,2.416358163265305,0.15880869387755014,-0.23557653061224526,non_monotonic,0.15
ABCA7,3.359993999999999,3.2609571428571433,3.3270770408163264,-0.0990368571428557,0.06611989795918305,non_monotonic,0.15
ABCA8,2.57579,2.7612499999999995,2.377608163265306,0.18545999999999951,-0.38364183673469343,non_monotonic,0.15
ABCA9,2.6977320000000007,2.9888081632653063,2.6092336734693884,0.2910761632653056,-0.3795744897959179,non_monotonic,0.15
ABCB1,6.172789,6.20808418367347,4.971001020408167,0.03529518367346984,-1.2370831632653028,tumor_specific,0.15
ABCB10,8.414818,8.070467346938774,8.276330612244896,-0.3443506530612268,0.20586326530612276,non_monotonic,0.15
ABCB11,2.671276,2.460319387755103,2.251689795918367,-0.21095661224489737,-0.2086295918367358,monotonic_down,0.15
ABCB4,2.621157,2.63848775510204,2.6741030612244896,0.017330755102039852,0.035615306122449564,non_monotonic,0.15
ABCB5,2.388010999999999,2.355063265306122,2.304986734693877,-0.03294773469387735,-0.05007653061224504,non_monotonic,0.15
ABCB7,7.657909999999998,7.774929591836735,8.012004081632652,0.11701959183673694,0.2370744897959165,non_monotonic,0.15
ABCB8,3.153505000000001,3.082072959183673,3.083036224489797,-0.07143204081632781,0.0009632653061237839,non_monotonic,0.15
ABCB9,2.903873000000001,2.8258969387755104,2.7796877551020405,-0.07797606122449041,-0.046209183673469933,non_monotonic,0.15
ABCC1,4.721908000000002,5.07271530612245,6.26661836734694,0.3508073061224479,1.19390306122449,monotonic_up,0.15
ABCC10,4.481402,4.721317346938776,5.405177551020406,0.23991534693877625,0.68386020408163,monotonic_up,0.15
ABCC11,2.5686659999999994,2.4843923469387756,2.4826596938775514,-0.08427365306122381,-0.0017326530612242763,non_monotonic,0.15
ABCC12,2.239772,2.1965219387755095,2.2310489795918365,-0.04325006122449038,0.03452704081632696,non_monotonic,0.15
ABCC13,4.0677889999999985,3.7162168367346933,2.6161352040816332,-0.35157216326530527,-1.10008163265306,monotonic_down,0.15
ABCC2,2.600482,2.6213790816326537,3.4347673469387754,0.02089708163265369,0.8133882653061217,tumor_specific,0.15
ABCC3,6.902257999999996,6.8262724489795925,6.0314188775510225,-0.07598555102040372,-0.79485357142857,tumor_specific,0.15
ABCC4,2.951706,3.1436556122448978,3.6228438775510203,0.1919496122448976,0.4791882653061226,monotonic_up,0.15
ABCC5,4.165794000000001,4.331053571428573,4.122418877551022,0.16525957142857184,-0.20863469387755096,non_monotonic,0.15
ABCC6P1,3.8377999999999997,3.5774255102040793,3.3806316326530603,-0.26037448979592037,-0.19679387755101896,monotonic_down,0.15
ABCC8,2.8375119999999994,2.7622653061224494,2.8208479591836726,-0.07524669387755001,0.05858265306122323,non_monotonic,0.15
ABCC9,2.4116459999999997,2.524432653061224,2.50183163265306,0.11278665306122448,-0.022601020408164363,non_monotonic,0.15
ABCD1,3.791234000000001,3.7927571428571425,3.940463265306121,0.0015231428571413907,0.1477061224489784,non_monotonic,0.15
ABCD2,2.035869,2.058691326530612,1.985197448979591,0.022822326530612003,-0.07349387755102099,non_monotonic,0.15
ABCD3,6.731543999999998,6.029135714285713,5.088980612244898,-0.7024082857142844,-0.9401551020408156,monotonic_down,0.15
