gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method,adjacent_direction_consistency,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance
CYR61,,4.432291857142854,0.14378573102400793,30.8256725168563,2.9541772306018324e-63,5.624753447065888e-59,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,3.0322260000000005,7.464517857142854,6.824288265306123,4.432291857142854,-0.6402295918367313,adjacent_specific,0.15
ADAMTS1,,2.6486197755102054,0.10371658420739976,25.53709029034179,6.899089701238015e-55,6.56793339557859e-51,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,3.8676939999999984,6.516313775510204,4.929301020408162,2.6486197755102054,-1.5870127551020419,adjacent_specific,0.15
APOLD1,,1.4370876938775519,0.057834665513435815,24.848206194668766,4.25329088693071e-54,2.699421949572024e-50,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,3.1071719999999994,4.544259693877551,4.8085892857142865,1.4370876938775519,0.2643295918367352,monotonic_up,0.15
SFRP2,,4.405417448979595,0.15610705186061413,28.220489699037632,8.388660501313206e-54,3.993002398625086e-50,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,2.414605,6.820022448979595,4.181518877551021,4.405417448979595,-2.638503571428574,adjacent_specific,0.15
EGR1,,3.6466055306122485,0.14463992800036587,25.211610521563756,1.2091514265946601e-51,4.6044486324724656e-48,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,4.815446,8.462051530612248,7.954078571428574,3.6466055306122485,-0.5079729591836744,adjacent_specific,0.15
CD248,,2.38668530612245,0.10276241082970472,23.225275534627198,3.043707397453146e-50,9.658698141251316e-47,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,4.32763,6.71431530612245,6.332634693877548,2.38668530612245,-0.38168061224490213,non_monotonic,0.15
GAP43,,0.7110815510204063,0.031214368845088776,22.78058398519523,1.778613126057392e-49,4.8378277028761055e-46,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,2.4141960000000005,3.1252775510204067,2.5304081632653057,0.7110815510204063,-0.594869387755101,adjacent_specific,0.15
KLF2,,1.9997388367346973,0.08915243320654061,22.430558144182967,4.0287190540264855e-49,9.588351348583036e-46,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,6.082052999999999,8.081791836734697,7.0740142857142825,1.9997388367346973,-1.007777551020414,adjacent_specific,0.15
FBLN2,,2.230851224489795,0.10154974017136412,21.968064327149012,1.7042390933669966e-47,3.605412481967513e-44,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9795918367346939,4.23041,6.461261224489795,4.937345408163267,2.230851224489795,-1.5239158163265278,adjacent_specific,0.15
IGFBP6,,3.194601632653061,0.14476439673402114,22.067591926781375,8.670864634892862e-47,1.5107738806847762e-43,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,3.53033,6.724931632653061,4.26189693877551,3.194601632653061,-2.4630346938775514,adjacent_specific,0.15
EFHD1,,1.0919231428571425,0.05070912946815032,21.533068193232616,8.728210445132635e-47,1.5107738806847762e-43,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,2.5488839999999993,3.640807142857142,3.01637193877551,1.0919231428571425,-0.6244352040816317,adjacent_specific,0.15
OGN,,3.5457465306122486,0.1652589781990259,21.455696805422633,1.3276676883433977e-46,1.944522522004484e-43,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,3.3045299999999997,6.850276530612248,2.940324489795919,3.5457465306122486,-3.9099520408163295,adjacent_specific,0.15
TIMP3,,2.8469880816326523,0.13319230041479782,21.375019973124125,1.2980154539292604e-46,1.944522522004484e-43,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9795918367346939,4.528316,7.3753040816326525,7.3542051020408215,2.8469880816326523,-0.021098979591831046,field_shift_then_plateau,0.15
RERGL,,3.1611089387755085,0.14566629231761938,21.701032465924516,2.157017040564382e-46,2.9335431751675597e-43,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,2.440938,5.6020469387755085,2.295306122448979,3.1611089387755085,-3.3067408163265295,adjacent_specific,0.15
MGP,,2.9831574693877565,0.1397279352861577,21.349757035186695,3.377073861784499e-46,4.286632421891791e-43,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,4.381640999999999,7.364798469387756,5.651941326530611,2.9831574693877565,-1.7128571428571444,adjacent_specific,0.15
AEBP1,,1.6919938775510204,0.07970262971612505,21.228833773457097,4.667203039517829e-46,5.553971617026216e-43,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,0.9897959183673469,6.21445,7.906443877551021,7.961070408163267,1.6919938775510204,0.05462653061224643,field_shift_then_plateau,0.15
VIP,,4.727134918367348,0.1881537579342029,25.12378689784352,5.553914963119309e-46,6.220384758693627e-43,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,3.4169359999999984,8.144070918367346,3.975945918367347,4.727134918367348,-4.168124999999999,adjacent_specific,0.15
EBF1,,2.170472571428571,0.10392389198764178,20.885212533097537,1.60254543747515e-45,1.6951369516403808e-42,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,3.264356,5.434828571428571,3.8317785714285697,2.170472571428571,-1.603050000000001,adjacent_specific,0.15
FOS,,3.668835285714284,0.15495533901164005,23.676727172586713,1.7745793732496924e-45,1.7783153298249552e-42,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,5.572679000000001,9.241514285714285,8.059641326530613,3.668835285714284,-1.1818729591836714,adjacent_specific,0.15
PTGIS,,1.5753201224489786,0.07280879116524962,21.636399907719547,2.975506765954606e-45,2.8326824411887854e-42,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t,1.0,2.6800109999999995,4.255331122448978,3.2137887755102055,1.5753201224489786,-1.0415423469387726,adjacent_specific,0.15
