gene_symbol,entrez_id,comparison,log2_fold_change,standard_error,moderated_statistic,p_value,adjusted_p_value,average_expression,confidence_interval_lower,confidence_interval_upper,direction,mapping_status,analysis_provenance_x,adjacent_direction_consistency,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,rule_tolerance,analysis_provenance_y,deposited_log2fc,deposited_adjusted_p_value,deposited_sign_agreement,outlier_sensitivity_status,analysis_provenance,candidate_rule
VIP,7432,adjacent_vs_healthy,4.72795273063212,0.191884311286043,24.8678120438767,7.22280302380706e-55,1.33549627910192e-50,6.5399513447649,4.35226300451113,5.10364245675311,up,mapped_unique,raw_cel_rma_limma,1.0,3.409279942049033,8.137232672681154,3.968182883019763,4.727952730632121,-4.169049789661392,adjacent_specific,0.15,raw_cel_rma,4.727134918367348,6.2203847586933816e-43,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
EGR1,1958,adjacent_vs_healthy,3.64461807945179,0.160282106076098,22.9454250110437,9.77090034997226e-51,6.02213158236624e-47,7.22347933770495,3.33074816586549,3.9584879930381,up,mapped_unique,raw_cel_rma_limma,1.0,4.810151149959838,8.45476922941163,7.94690450268444,3.644618079451792,-0.5078647267271901,adjacent_specific,0.15,raw_cel_rma,3.646605530612247,4.6044486324726455e-48,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
FOS,2353,adjacent_vs_healthy,3.67060296612635,0.162755327668061,22.7582456746923,2.52773798987914e-50,1.16844688582163e-46,7.99915729554303,3.35189538152032,3.98931055073238,up,mapped_unique,raw_cel_rma_limma,1.0,5.568622899053955,9.239225865180302,8.055690774659114,3.6706029661263466,-1.1835350905211879,adjacent_specific,0.15,raw_cel_rma,3.6688352857142856,1.7783153298248138e-42,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
CLC,1178,adjacent_vs_healthy,-3.5746184745732,0.169938391241154,-21.2272939722468,7.08920918882178e-47,2.6215895580262898e-43,4.33784761864698,-3.90737672348064,-3.24186022566575,down,mapped_unique,raw_cel_rma_limma,1.0,6.704824716675179,3.130206242101982,2.9596378621012662,-3.5746184745731973,-0.1705683800007156,monotonic_down,0.15,raw_cel_rma,-3.5790869795918354,8.189689060875775e-24,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
SFRP2,6423,adjacent_vs_healthy,4.4040032681549,0.211096977371287,21.0571475924885,1.74463680020086e-46,5.37638907261899e-43,5.30493789170937,3.99072567418762,4.81728086212219,up,mapped_unique,raw_cel_rma_limma,1.0,2.388773565498691,6.792776833653597,4.1550499851526785,4.404003268154906,-2.637726848500918,adjacent_specific,0.15,raw_cel_rma,4.405417448979591,3.993002398625481e-50,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
ADAMTS1,9510,adjacent_vs_healthy,2.64991614591567,0.131426275913946,20.3403543604045,8.068760783487421e-45,2.13130552695261e-41,5.62889437484848,2.39248126813542,2.90735102369591,up,mapped_unique,raw_cel_rma_limma,1.0,3.874220170120545,6.524136316036208,4.93390483208982,2.6499161459156633,-1.590231483946388,adjacent_specific,0.15,raw_cel_rma,2.648619775510204,6.567933395579112e-51,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
APOLD1,81575,adjacent_vs_healthy,1.44011874570621,0.0717677910705084,20.2028875823811,1.69574109416375e-44,3.91928160388597e-41,4.0536827350955,1.29926168380131,1.58097580761111,up,mapped_unique,raw_cel_rma_limma,1.0,3.100090592668414,4.54020933837462,4.805379629239986,1.4401187457062057,0.2651702908653659,monotonic_up,0.15,raw_cel_rma,1.4370876938775514,2.6994219495720775e-50,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
DYNC1H1,1778,adjacent_vs_healthy,0.76830474248107,0.0389963640743963,19.7034121693481,2.57053529153847e-43,5.2810219489496e-40,7.55285052027324,0.69125240099967,0.84535708396247,up,mapped_unique,raw_cel_rma_limma,1.0,7.044108190792538,7.812412933273606,7.883291211684547,0.7683047424810683,0.07087827841094096,field_shift_then_plateau,0.15,raw_cel_rma,0.7664070408163273,5.169455922642612e-27,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
KLF2,10365,adjacent_vs_healthy,2.00163650568029,0.107404734824715,18.7926290657028,3.9606662639615797e-41,7.32327192206497e-38,7.39946777245769,1.79116590503067,2.21210710632991,up,mapped_unique,raw_cel_rma_limma,1.0,6.0740598159937145,8.07569632167401,7.066860536499977,2.0016365056802963,-1.0088357851740337,adjacent_specific,0.15,raw_cel_rma,1.9997388367346935,9.588351348585308e-46,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
CD248,57124,adjacent_vs_healthy,2.39106871297058,0.129447699687626,18.6335231120075,9.64967222155824e-41,1.62202217615102e-37,5.90386613808565,2.13750281239797,2.64463461354318,up,mapped_unique,raw_cel_rma_limma,1.0,4.320590909226753,6.711659622197328,6.327048306336236,2.3910687129705757,-0.38461131586109243,non_monotonic,0.15,raw_cel_rma,2.386685306122448,9.658698141252082e-47,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
C1R,715,adjacent_vs_healthy,1.93664455578854,0.105985028892938,18.4253740664652,3.10807704814346e-40,4.78902871834771e-37,7.95026690925211,1.72894891817948,2.1443401933976,up,mapped_unique,raw_cel_rma_limma,0.9897959183673469,6.667894162851585,8.604538718640134,8.155729731763186,1.9366445557885488,-0.4488089868769478,non_monotonic,0.15,raw_cel_rma,1.9351923673469396,1.2403209680255251e-40,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
OGN,4969,adjacent_vs_healthy,3.53674396684044,0.194205592149308,18.3801864108841,4.0093320977576e-40,5.70250388365678e-37,5.64825713990816,3.1565130044903,3.91697492919057,up,mapped_unique,raw_cel_rma_limma,1.0,3.3063591078111148,6.843103074651549,2.940066779972397,3.5367439668404344,-3.903036294679152,adjacent_specific,0.15,raw_cel_rma,3.5457465306122438,1.94452252200483e-43,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
CH25H,9023,adjacent_vs_healthy,2.11096848013481,0.117102497700465,18.1814586429844,1.23212622503832e-39,1.62728670721132e-36,4.82271282364433,1.88154028145812,2.3403966788115,up,mapped_unique,raw_cel_rma_limma,0.9897959183673469,3.424909370582095,5.5358778507169015,5.496472365232147,2.1109684801348063,-0.03940548548475409,field_shift_then_plateau,0.15,raw_cel_rma,2.108433265306122,1.512668936806615e-39,True,no_qc_exclusions_applied,raw_cel_rma_limma_primary,raw FDR<0.05; |log2FC|>=0.5; direction consistency>=0.70; deposited sign agreement
