analysis_set,comparison,direction,evidence_tier,analysis_type,database,ontology,ID,Description,GeneRatio,BgRatio,p_value,adjusted_p_value,q_value,gene_ids,gene_count,enrichment_score,normalized_enrichment_score,set_size,redundancy_pruned,interpretation,analysis_provenance
composition_robust_field,adjacent_vs_healthy_u3_composition_adjusted,both,composition_robust_high_confidence,over_representation,Reactome,Pathway,R-HSA-3000178,ECM proteoglycans,6/47,73/10634,7.29954849173194e-07,9.36517870723992e-05,8.53948578065457e-05,COL6A3/LAMC1/FN1/COL1A2/VCAN/HAPLN1,6,,,,False,association-level pathway result; not causal or cell-intrinsic evidence,raw_cel_rma_tier_specific_enrichment
composition_robust_field,adjacent_vs_healthy_u3_composition_adjusted,both,composition_robust_high_confidence,over_representation,Reactome,Pathway,R-HSA-1474244,Extracellular matrix organization,10/47,313/10634,8.32547806869799e-07,9.36517870723992e-05,8.53948578065457e-05,HTRA1/COL6A3/MMP2/LAMC1/FN1/PXDN/COL1A2/VCAN/CTSK/HAPLN1,10,,,,False,association-level pathway result; not causal or cell-intrinsic evidence,raw_cel_rma_tier_specific_enrichment
composition_robust_field,adjacent_vs_healthy_u3_composition_adjusted,both,composition_robust_high_confidence,over_representation,Reactome,Pathway,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),7/47,121/10634,8.94762296870056e-07,9.36517870723992e-05,8.53948578065457e-05,MMP2/LAMC1/FN1/IGFBP5/VCAN/KLK1/IGFBP2,7,,,,False,association-level pathway result; not causal or cell-intrinsic evidence,raw_cel_rma_tier_specific_enrichment
composition_robust_field,adjacent_vs_healthy_u3_composition_adjusted,both,composition_robust_high_confidence,over_representation,Reactome,Pathway,R-HSA-1474228,Degradation of the extracellular matrix,7/47,136/10634,1.96798943231542e-06,0.0001544871704367,0.0001408666119973,HTRA1/COL6A3/MMP2/LAMC1/FN1/COL1A2/CTSK,7,,,,False,association-level pathway result; not causal or cell-intrinsic evidence,raw_cel_rma_tier_specific_enrichment
composition_robust_field,adjacent_vs_healthy_u3_composition_adjusted,both,composition_robust_high_confidence,over_representation,Reactome,Pathway,R-HSA-1442490,Collagen degradation,4/47,63/10634,0.0001648428828026,0.0103521330400076,0.0094394240257528,COL6A3/MMP2/COL1A2/CTSK,4,,,,False,association-level pathway result; not causal or cell-intrinsic evidence,raw_cel_rma_tier_specific_enrichment
composition_sensitive_field,adjacent_vs_healthy_u3_composition_adjusted,both,composition_sensitive_high_confidence,over_representation,Reactome,Pathway,R-HSA-1474244,Extracellular matrix organization,8/18,313/10634,1.74461923051873e-08,1.76206542282392e-06,1.01004271240558e-06,SPARC/EFEMP2/COL4A1/TIMP1/ASPN/COL15A1/SPP1/TNC,8,,,,False,association-level pathway result; not causal or cell-intrinsic evidence,raw_cel_rma_tier_specific_enrichment
composition_sensitive_field,adjacent_vs_healthy_u3_composition_adjusted,both,composition_sensitive_high_confidence,over_representation,Reactome,Pathway,R-HSA-3000178,ECM proteoglycans,4/18,73/10634,5.815206818472e-06,0.0002936679443328,0.0001683349342189,SPARC/COL4A1/ASPN/TNC,4,,,,False,association-level pathway result; not causal or cell-intrinsic evidence,raw_cel_rma_tier_specific_enrichment
composition_sensitive_field,adjacent_vs_healthy_u3_composition_adjusted,both,composition_sensitive_high_confidence,over_representation,Reactome,Pathway,R-HSA-1474228,Degradation of the extracellular matrix,4/18,136/10634,6.81463462282947e-05,0.0022942603230192,0.0013151049272127,COL4A1/TIMP1/COL15A1/SPP1,4,,,,False,association-level pathway result; not causal or cell-intrinsic evidence,raw_cel_rma_tier_specific_enrichment
composition_sensitive_field,adjacent_vs_healthy_u3_composition_adjusted,both,composition_sensitive_high_confidence,over_representation,Reactome,Pathway,R-HSA-399956,CRMPs in Sema3A signaling,2/18,16/10634,0.0003202206877503,0.0069447969346727,0.0039808632767795,SEMA3A/DPYSL3,2,,,,False,association-level pathway result; not causal or cell-intrinsic evidence,raw_cel_rma_tier_specific_enrichment
composition_sensitive_field,adjacent_vs_healthy_u3_composition_adjusted,both,composition_sensitive_high_confidence,over_representation,Reactome,Pathway,R-HSA-216083,Integrin cell surface interactions,3/18,83/10634,0.0003438018284491,0.0069447969346727,0.0039808632767795,COL4A1/SPP1/TNC,3,,,,False,association-level pathway result; not causal or cell-intrinsic evidence,raw_cel_rma_tier_specific_enrichment
