gene_symbol,category,source,evidence_tier,evidence_score,u1_log2fc,u1_fdr,composition_adjusted_log2fc,composition_adjusted_fdr,composition_robust,trajectory_category,present_in_tested_matrix,in_high_confidence_field_signature,in_top_100_high_confidence,removal_policy
FOS,immediate_early_AP1,Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200,Tier 2 - provisional,0.857142857142857,3.54124109799949,1.29404234113876e-41,3.47588891328686,2.16471335819872e-31,True,adjacent_specific,True,False,False,flag_only_not_automatically_removed
FOSB,immediate_early_AP1,Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200,Tier 2 - provisional,0.704404413080537,0.956371231573887,5.279644595383109e-11,0.651626624180274,0.0001492899284353,True,non_monotonic,True,False,False,flag_only_not_automatically_removed
FOSL1,immediate_early_AP1,Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200,not_in_initial_screen,0.0731453913172656,0.0132222233212509,0.77959213455971,-0.0247029843044517,0.723010770078155,False,tumor_specific,True,False,False,flag_only_not_automatically_removed
FOSL2,immediate_early_AP1,Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200,not_in_initial_screen,0.0802000177466339,-0.0270572349559325,0.722597401757668,0.119546397551504,0.182476721268625,False,tumor_specific,True,False,False,flag_only_not_automatically_removed
JUN,immediate_early_AP1,Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200,Tier 1 - high-confidence,0.956540475719866,1.39156666007813,6.72167520682933e-27,1.29556535923871,3.78193865229341e-18,True,field_shift_then_plateau,True,True,True,flag_only_not_automatically_removed
JUNB,immediate_early_AP1,Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200,Tier 2 - provisional,0.902981492577963,0.988592261602341,1.83836618276686e-17,0.809610028558318,1.3888290338774202e-09,True,field_shift_then_plateau,True,False,False,flag_only_not_automatically_removed
JUND,immediate_early_AP1,Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200,not_in_initial_screen,0.311059013590025,0.3148594164707,3.30141111448289e-05,0.493786986433851,4.85207124343325e-08,False,non_monotonic,True,False,False,flag_only_not_automatically_removed
EGR1,immediate_early_transcription_factor,Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200,Tier 2 - provisional,0.857142857142857,3.52436207958351,7.358627435541619e-42,3.10286429875562,3.12470504093397e-29,True,adjacent_specific,True,False,False,flag_only_not_automatically_removed
EGR2,immediate_early_transcription_factor,Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200,not_in_initial_screen,0.0806835985392521,0.0137190051079072,0.727602895796137,0.0059620712747353,0.930297837860505,False,non_monotonic,True,False,False,flag_only_not_automatically_removed
EGR3,immediate_early_transcription_factor,Tullai_et_al_2007_J_Biol_Chem_282_23981_23995_DOI_10.1074_jbc.M702044200,not_in_initial_screen,0.255430300121271,-0.0625006532321558,0.0552478695743448,0.0060489398748652,0.917057036473098,False,non_monotonic,True,False,False,flag_only_not_automatically_removed
