"gene_symbol","u0_log2fc","u0_fdr","u1_log2fc","u1_fdr","u2_log2fc","u2_fdr","qc_log2fc","qc_fdr","deposited_log2fc","deposited_fdr","sample_direction_consistency","subgroups_tested","subgroup_labels","subgroup_sign_agreement_fraction","subgroup_effect_min","subgroup_effect_max","major_demographic_subgroup_dependence","healthy","adjacent_normal","tumor","healthy_to_adjacent","adjacent_to_tumor","trajectory_category","u0_screen","u1_adjusted_support","u2_location_support","qc_robust","unadjusted_adjusted_sign_agreement","location_adjusted_sign_agreement","qc_sign_agreement","deposited_support","direction_consistent","high_direction_consistency","subgroup_robust","evidence_score","evidence_tier","composition_adjusted_log2fc","composition_adjusted_fdr","composition_robust"
"MCEE",-0.993657937453605,9.24919600528995e-33,-0.986632809973711,4.04593560600009e-29,-1.0189564671363,1.14573770609093e-31,-0.976800742525645,1.0881518038377e-29,-0.992934571428573,3.26197002713933e-31,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-1.08642822020733,-0.905528815304382,"False",7.00284745489139,6.00918951743779,5.89570746192365,-0.993657937453604,-0.113482055514135,"field_shift_then_plateau","True","False","True","True","True","True","True","True","True","True","True",0.927616629283836,"Tier 2 - provisional",-1.17817214532254,1.83787316326366e-29,TRUE
"SUCLG2",-0.938187032796111,1.73193797310841e-25,-0.943654680331665,8.61493640999586e-23,-0.918199240643142,2.6467837190528e-22,-0.946377883887176,9.13719408803957e-23,-0.934773142857143,6.5283229410721e-24,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-1.06480207297087,-0.860338115304963,"False",8.99373506146922,8.05554802867311,7.11425137242862,-0.938187032796106,-0.941296656244494,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.924546762880833,"Tier 2 - provisional",-0.724683267245793,2.69675735435281e-12,TRUE
"SOD3",0.938730144542813,6.35164338566569e-23,0.95728706159775,6.61224492985137e-21,0.909265998427528,2.71111222838347e-21,0.964875389255752,2.47079018065138e-21,0.934468346938775,3.92574267852564e-22,0.989795918367347,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.881393082816336,1.02177052582181,"False",5.37867646823111,6.31740661277393,6.36224788399254,0.93873014454281,0.0448412712186154,"field_shift_then_plateau","True","False","True","True","True","True","True","True","True","True","True",0.924062778452318,"Tier 2 - provisional",0.584149710199361,1.06566202973717e-09,TRUE
"USP13",0.934259110858018,2.07142318709784e-23,0.956321467446954,1.62873086675174e-21,0.899743896117494,8.6095836761841e-23,0.966037508718588,2.77299620476219e-22,0.934160857142856,6.5283229410721e-24,0.969387755102041,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.777829979563416,1.00351357596902,"False",4.20807504589846,5.14233415675647,5.17960158224751,0.934259110858018,0.0372674254910352,"field_shift_then_plateau","True","False","True","True","True","True","True","True","True","True","True",0.921078355546503,"Tier 2 - provisional",0.660103844596325,1.84665225112641e-10,TRUE
"MYCBP2",0.879242861357198,2.93119343097822e-30,0.881935975307844,3.64829365043629e-27,0.882376989857732,9.97411848753564e-27,0.888301943032599,9.86165417887759e-28,0.879679959183673,5.04421333616299e-30,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.838770102894249,0.922565583234879,"False",7.05632652402627,7.93556938538346,8.38328093799269,0.879242861357191,0.447711552609237,"monotonic_up","True","False","True","True","True","True","True","True","True","True","True",0.92013828395056,"Tier 2 - provisional",0.741258260587784,1.9069508266225e-19,TRUE
"CRYL1",-0.952073015036008,1.21376463620709e-20,-0.981244644915357,3.11981629601246e-19,-0.93698627456865,4.18536678282052e-19,-0.978651872750078,4.91421476686344e-19,-0.952035469387755,1.12039034571381e-20,0.989795918367347,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-1.13820489011228,-0.802086480460108,"False",8.00649582453362,7.05442280949762,6.60369317127101,-0.952073015036002,-0.450729638226602,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.915101684244782,"Tier 2 - provisional",-0.67898492198956,5.03693706851487e-09,TRUE
"CDH5",0.81119403762705,3.61271177738203e-31,0.784660351373776,2.80927308872653e-27,0.787169830603358,6.13503231098959e-27,0.791310473087988,4.22341074832678e-28,0.812944959183674,1.4726255231488e-31,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.725154910200041,0.860288406666828,"False",3.34017093977222,4.15136497739927,4.17517461866159,0.81119403762705,0.0238096412623143,"field_shift_then_plateau","True","False","True","True","True","True","True","True","True","True","True",0.913190025098127,"Tier 2 - provisional",0.502450357146316,1.36542090480049e-15,TRUE
"CAT",-0.743342063869434,1.29277079528815e-23,-0.771676272203527,3.37477634714276e-22,-0.740497495635296,3.4251765273029e-22,-0.770409318292485,5.0261584160278e-22,-0.742764897959185,1.30139409011314e-19,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.894411064212525,-0.650539775227717,"False",8.73613811659225,7.99279605272282,7.59521620216891,-0.743342063869433,-0.397579850553911,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.91226259087168,"Tier 2 - provisional",-0.707003437149483,2.19482788384857e-14,TRUE
"DYNC1H1",0.768304742481069,5.28102194895088e-40,0.75012463223084,2.68734358001874e-35,0.752179206704116,7.76141216128262e-35,0.74922886901974,5.65052512840085e-35,0.766407040816327,5.16945592264261e-27,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.705612739383944,0.852899568622348,"False",7.04410819079254,7.81241293327361,7.88329121168455,0.768304742481068,0.0708782784109409,"field_shift_then_plateau","True","False","True","True","True","True","True","True","True","True","True",0.910723188016489,"Tier 2 - provisional",0.735999886132088,4.17342305155109e-27,TRUE
"AUH",-0.75419838185567,5.31166087415645e-25,-0.782335819046904,1.60475180700983e-23,-0.75651238963179,2.84537199175451e-23,-0.778295036017834,2.32110802809736e-23,-0.753747795918366,2.51019330703601e-23,0.979591836734694,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.830106251775657,-0.720649405483855,"False",7.16739574782304,6.41319736596737,5.88508802223504,-0.75419838185567,-0.528109343732334,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.910108535179735,"Tier 2 - provisional",-0.597996579415588,7.6489878791575e-13,TRUE
"GRAMD1C",-0.975811518884458,9.80550281482209e-23,-0.924127700518002,2.97244947816839e-19,-0.902800500042346,1.20027730604478e-18,-0.925065841164662,3.97273149763112e-19,-0.977631591836734,1.48263418707177e-19,0.979591836734694,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-1.10966807933942,-0.788978562942157,"False",4.24204258308412,3.26623106419966,2.65971503364955,-0.975811518884459,-0.606516030550111,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.909714280414953,"Tier 2 - provisional",-0.646702843959717,1.36547746913493e-09,TRUE
"ETFA",-0.734203401396483,1.37706605338041e-23,-0.734842316472304,4.9462455646291e-21,-0.708514435808884,1.04214370189822e-20,-0.73775672997657,4.44851041471015e-21,-0.733382387755102,5.31070645982548e-27,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.747383617660635,-0.692488185183601,"False",10.3223459062372,9.5881425048407,8.79786292698133,-0.734203401396481,-0.790279577859378,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.909631594033736,"Tier 2 - provisional",-0.562932771408407,3.35048226261414e-11,TRUE
"PHIP",0.720499033435777,2.87934083875354e-24,0.734799917395785,4.02867456894996e-22,0.747105232956079,1.6995250486647e-22,0.737469862930221,3.60150344005228e-22,0.723184163265304,8.19775111237347e-24,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,0.687871156511765,0.781752685077347,"False",6.74563001361922,7.46612904705499,7.50405051286703,0.720499033435772,0.0379214658120403,"field_shift_then_plateau","True","False","True","True","True","True","True","True","True","True","True",0.90962856552827,"Tier 2 - provisional",0.717203793244106,1.47019256580986e-15,TRUE
"PDCD10",-0.70122235827117,4.81899454780821e-29,-0.692008890345299,1.42975699623022e-25,-0.692309550823914,4.03989319786418e-25,-0.693362557465585,1.6899211227858e-25,-0.699334897959183,2.38326909224476e-23,1,6,"sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper",1,-0.740016437276047,-0.625672100044094,"False",9.79479290355088,9.09357054527971,8.8653810492904,-0.701222358271172,-0.22818949598931,"monotonic_down","True","False","True","True","True","True","True","True","True","True","True",0.906572063596093,"Tier 2 - provisional",-0.615725212802759,2.10265620424433e-16,TRUE
