"contrast","model","fdr","absolute_log2fc","significant_genes"
"tumor_vs_adjacent","P_patient_fixed_effect",0.01,0.25,7849
"tumor_vs_adjacent","P_patient_fixed_effect",0.05,0.25,7936
"tumor_vs_adjacent","P_patient_fixed_effect",0.1,0.25,7955
"tumor_vs_adjacent","P_patient_fixed_effect",0.01,0.5,4491
"tumor_vs_adjacent","P_patient_fixed_effect",0.05,0.5,4502
"tumor_vs_adjacent","P_patient_fixed_effect",0.1,0.5,4502
"tumor_vs_adjacent","P_patient_fixed_effect",0.01,1,1695
"tumor_vs_adjacent","P_patient_fixed_effect",0.05,1,1695
"tumor_vs_adjacent","P_patient_fixed_effect",0.1,1,1695
"adjacent_vs_healthy","U0_unadjusted",0.01,0.25,4280
"adjacent_vs_healthy","U0_unadjusted",0.05,0.25,4427
"adjacent_vs_healthy","U0_unadjusted",0.1,0.25,4455
"adjacent_vs_healthy","U0_unadjusted",0.01,0.5,1644
"adjacent_vs_healthy","U0_unadjusted",0.05,0.5,1662
"adjacent_vs_healthy","U0_unadjusted",0.1,0.5,1664
"adjacent_vs_healthy","U0_unadjusted",0.01,1,433
"adjacent_vs_healthy","U0_unadjusted",0.05,1,433
"adjacent_vs_healthy","U0_unadjusted",0.1,1,434
"tumor_vs_healthy","U0_unadjusted",0.01,0.25,8057
"tumor_vs_healthy","U0_unadjusted",0.05,0.25,8204
"tumor_vs_healthy","U0_unadjusted",0.1,0.25,8253
"tumor_vs_healthy","U0_unadjusted",0.01,0.5,4995
"tumor_vs_healthy","U0_unadjusted",0.05,0.5,5003
"tumor_vs_healthy","U0_unadjusted",0.1,0.5,5009
"tumor_vs_healthy","U0_unadjusted",0.01,1,1986
"tumor_vs_healthy","U0_unadjusted",0.05,1,1987
"tumor_vs_healthy","U0_unadjusted",0.1,1,1987
"adjacent_vs_healthy","U1_age_sex_adjusted",0.01,0.25,4059
"adjacent_vs_healthy","U1_age_sex_adjusted",0.05,0.25,4235
"adjacent_vs_healthy","U1_age_sex_adjusted",0.1,0.25,4292
"adjacent_vs_healthy","U1_age_sex_adjusted",0.01,0.5,1563
"adjacent_vs_healthy","U1_age_sex_adjusted",0.05,0.5,1580
"adjacent_vs_healthy","U1_age_sex_adjusted",0.1,0.5,1584
"adjacent_vs_healthy","U1_age_sex_adjusted",0.01,1,404
"adjacent_vs_healthy","U1_age_sex_adjusted",0.05,1,406
"adjacent_vs_healthy","U1_age_sex_adjusted",0.1,1,406
"tumor_vs_healthy","U1_age_sex_adjusted",0.01,0.25,7977
"tumor_vs_healthy","U1_age_sex_adjusted",0.05,0.25,8179
"tumor_vs_healthy","U1_age_sex_adjusted",0.1,0.25,8231
"tumor_vs_healthy","U1_age_sex_adjusted",0.01,0.5,4975
"tumor_vs_healthy","U1_age_sex_adjusted",0.05,0.5,4998
"tumor_vs_healthy","U1_age_sex_adjusted",0.1,0.5,5004
"tumor_vs_healthy","U1_age_sex_adjusted",0.01,1,1975
"tumor_vs_healthy","U1_age_sex_adjusted",0.05,1,1979
"tumor_vs_healthy","U1_age_sex_adjusted",0.1,1,1979
"adjacent_vs_healthy","U1_age_sex_adjusted_qc_sensitivity",0.01,0.25,4074
"adjacent_vs_healthy","U1_age_sex_adjusted_qc_sensitivity",0.05,0.25,4256
"adjacent_vs_healthy","U1_age_sex_adjusted_qc_sensitivity",0.1,0.25,4307
"adjacent_vs_healthy","U1_age_sex_adjusted_qc_sensitivity",0.01,0.5,1567
"adjacent_vs_healthy","U1_age_sex_adjusted_qc_sensitivity",0.05,0.5,1584
"adjacent_vs_healthy","U1_age_sex_adjusted_qc_sensitivity",0.1,0.5,1588
"adjacent_vs_healthy","U1_age_sex_adjusted_qc_sensitivity",0.01,1,414
"adjacent_vs_healthy","U1_age_sex_adjusted_qc_sensitivity",0.05,1,415
"adjacent_vs_healthy","U1_age_sex_adjusted_qc_sensitivity",0.1,1,415
"adjacent_vs_healthy","U2_age_sex_location_adjusted",0.01,0.25,4015
"adjacent_vs_healthy","U2_age_sex_location_adjusted",0.05,0.25,4235
"adjacent_vs_healthy","U2_age_sex_location_adjusted",0.1,0.25,4285
"adjacent_vs_healthy","U2_age_sex_location_adjusted",0.01,0.5,1504
"adjacent_vs_healthy","U2_age_sex_location_adjusted",0.05,0.5,1521
"adjacent_vs_healthy","U2_age_sex_location_adjusted",0.1,0.5,1524
"adjacent_vs_healthy","U2_age_sex_location_adjusted",0.01,1,390
"adjacent_vs_healthy","U2_age_sex_location_adjusted",0.05,1,390
"adjacent_vs_healthy","U2_age_sex_location_adjusted",0.1,1,390
"tumor_vs_healthy","U2_age_sex_location_adjusted",0.01,0.25,7924
"tumor_vs_healthy","U2_age_sex_location_adjusted",0.05,0.25,8111
"tumor_vs_healthy","U2_age_sex_location_adjusted",0.1,0.25,8171
"tumor_vs_healthy","U2_age_sex_location_adjusted",0.01,0.5,4935
"tumor_vs_healthy","U2_age_sex_location_adjusted",0.05,0.5,4955
"tumor_vs_healthy","U2_age_sex_location_adjusted",0.1,0.5,4960
"tumor_vs_healthy","U2_age_sex_location_adjusted",0.01,1,1950
"tumor_vs_healthy","U2_age_sex_location_adjusted",0.05,1,1954
"tumor_vs_healthy","U2_age_sex_location_adjusted",0.1,1,1954
