gene_symbol,raw_log2fc,raw_fdr,deposited_log2fc,deposited_fdr,comparison,raw_significant,deposited_significant,sign_agreement,conclusion_changed_materially
COX16,-0.596829506971936,2.1336997554549e-28,-0.4407203673469375,2.1420224735177986e-21,adjacent_vs_healthy,True,False,True,True
VTA1,-0.497906699226873,1.3171559513471001e-20,-0.5008059591836744,1.5576309736266971e-24,adjacent_vs_healthy,False,True,True,True
DDX5,0.672497457444033,1.1187354108624e-17,0.3642213877551032,8.525773029179014e-11,adjacent_vs_healthy,True,False,True,True
SOX7,0.734090657479902,2.9574349139843e-14,0.4602964897959185,5.430522683228106e-16,adjacent_vs_healthy,True,False,True,True
SLC25A16,-0.500184939122473,3.18937570414771e-13,-0.4989128163265297,2.4877554702931263e-11,adjacent_vs_healthy,True,False,True,True
CDK5RAP2,0.501089884601691,2.3526373082267397e-12,0.4945020816326533,4.1915672360800695e-12,adjacent_vs_healthy,True,False,True,True
KLHDC4,0.382254557103527,5.04718861281779e-12,0.5475036326530613,6.828818947613882e-11,adjacent_vs_healthy,False,True,True,True
HSPE1,-0.501628278627103,1.9921499547871098e-11,-0.49850812244898,1.946028896363929e-12,adjacent_vs_healthy,True,False,True,True
SYT11,0.424499925491728,9.39598084429232e-10,0.5298133877551008,1.005961459343479e-15,adjacent_vs_healthy,False,True,True,True
RBM8A,-0.241256956036604,1.18172046455121e-09,0.1138463061224506,0.0334653125661416,adjacent_vs_healthy,False,False,False,True
FZD8,0.4474522530553,1.5779130045693e-09,0.607977938775508,8.640858889628456e-14,adjacent_vs_healthy,False,True,True,True
CENPA,-0.48613144831281,2.29397160564364e-09,-0.8060105102040822,2.3162667817893768e-11,adjacent_vs_healthy,False,True,True,True
NDFIP2,-0.500989485549319,3.08652216193049e-09,-0.4982055102040821,6.337603235995521e-13,adjacent_vs_healthy,True,False,True,True
SLC35A1,-0.203049599801274,5.2395424155971206e-09,-0.6242498775510219,1.6654563753021758e-12,adjacent_vs_healthy,False,True,True,True
NPR3,0.665417843308195,2.44477500139675e-08,0.1172351428571429,0.0211810249829817,adjacent_vs_healthy,True,False,True,True
EEF1E1,-0.470548956507744,7.95546183860308e-08,-0.5675955510204078,2.2828176734403047e-10,adjacent_vs_healthy,False,True,True,True
RBM28,0.269077060884146,8.20579804180207e-08,-0.0280566938775503,0.5096800532322263,adjacent_vs_healthy,False,False,False,True
