"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0033108","mitochondrial respiratory chain complex assembly",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"4717/51079/6834/4716/79072/51204/617/4702/79133/91647/51103/51300/4696/51287/25813/4535/25994/10063/79145/80775/84275/28958/90871/115209/647087/9131/25915/4724/790955/4708/84233/54539/7019/79064/25880/57226/55245/131474/7386/55744/84987/4720/4698/54902/80224/90624/51295/440957/5018/55967/137682/644096/64756/374291/4719/4700/90639/4718/4711/29078/4712/4694/4695/4707/4710/91419/493753/9167/57001/55101/6341/135154/4713/192286/389203/1347/55863/4709/51241",79,-0.703540252447702,-3.00481119776575,113,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0030198","extracellular matrix organization",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"3491/6423/9510/165/26585/7049/7373/151887/25890/60681/1805/4313/3915/7837/11096/1307/2294/2192/23213/1278/857/285590/1513/1842/1291/2296/2022/1289/4921/3913/10516/30008/80781/1282/858/4035/3908/4323/4239/9507/55959/10266/169611/8425/1287/55790/64094/144165/1511/1277/1296/56999/28984/5806/1545/1306/4629/183/4016/2131/57188/1215/11117/83872/1290/2824/5351/3912/5212/1281/3688/10491/8516/5156/25903/2295/79625/7133/4060/22795/871/1288/57589/10631/4811/170690/5768/1305/64066/90102/84695/57190/26276/1286/1303/79875/84168/1285/1284/81621/2191/11095/3037/23768/23122/7092/23332/2621/333/4314/4148/133584/4791/4015/3569/9509/7045/11005/650/149371/83716/79709",122,0.545627913651816,2.86533565693435,315,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0043062","extracellular structure organization",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"3491/6423/9510/165/26585/7049/7373/151887/25890/60681/1805/4313/3915/7837/11096/1307/2294/2192/23213/1278/857/285590/1513/1842/1291/2296/2022/1289/4921/3913/10516/30008/80781/1282/858/4035/3908/4323/4239/9507/55959/10266/169611/8425/1287/55790/64094/144165/1511/1277/1296/56999/28984/5806/1545/1306/4629/183/4016/2131/57188/1215/11117/83872/1290/2824/5351/3912/5212/1281/3688/10491/8516/5156/25903/2295/79625/7133/4060/22795/871/1288/57589/10631/4811/170690/5768/1305/64066/90102/84695/57190/26276/1286/1303/79875/84168/1285/1284/81621/2191/11095/3037/23768/23122/7092/23332/2621/333/4314/4148/133584/4791/4015/3569/9509/7045/11005/650/149371/83716/79709",122,0.545265619087693,2.86166484189969,316,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0045229","external encapsulating structure organization",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"3491/6423/9510/165/26585/7049/7373/151887/25890/60681/1805/4313/3915/7837/11096/1307/2294/2192/23213/1278/857/285590/1513/1842/1291/2296/2022/1289/4921/3913/10516/30008/80781/1282/858/4035/3908/4323/4239/9507/55959/10266/169611/8425/1287/55790/64094/144165/1511/1277/1296/56999/28984/5806/1545/1306/4629/183/4016/2131/57188/1215/11117/83872/1290/2824/5351/3912/5212/1281/3688/10491/8516/5156/25903/2295/79625/7133/4060/22795/871/1288/57589/10631/4811/170690/5768/1305/64066/90102/84695/57190/26276/1286/1303/79875/84168/1285/1284/81621/2191/11095/3037/23768/23122/7092/23332/2621/333/4314/4148/133584/4791/4015/3569/9509/7045/11005/650/149371/83716/79709",122,0.543715414061187,2.85926975667022,317,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0030199","collagen fibril organization",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"6423/165/26585/7373/60681/1805/7837/1278/1291/2296/1289/4921/30008/1277/1545/4016/2131/11117/1290/5351/1281/10491/4060/871/84695/57190/26276/1303/7092",29,0.66180299323182,2.73250956590749,67,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0002040","sprouting angiogenesis",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"10365/84870/26585/7049/7424/25960/161198/22915/3164/9353/57674/7010/4223/57381/7057/652/187/10266/3791/55294/3716/2624/1969/27286/56999/185/284/3688/301/5743/79812/9723/1012/3678/90627/6915/90139/1948/55742/196740/147372/7082/4804/2247/7423/5228/10000/168667/57608/375056/94/5315/6722",53,0.566535208667688,2.68966796763456,129,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0006119","oxidative phosphorylation",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"1337/4696/7381/4535/134145/10105/539/92014/51142/2631/387/84275/7124/7384/30968/1345/4724/1350/4729/790955/4708/515/54539/983/1716/7385/9377/7386/54205/4720/1329/9551/4698/4701/522/4697/6390/1738/55967/27069/93974/374291/10476/4719/4700/4718/4711/65084/4712/4694/6392/27089/79736/4695/4707/4710/1349/29796/9167/388753/4713/10975/1347/4709/509",65,-0.617251755386164,-2.68604489292434,132,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0010257","NADH dehydrogenase complex assembly",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"4717/51079/4716/617/4702/79133/51103/51300/4696/4535/90871/9131/25915/4724/4708/84233/54539/25880/57226/55744/4720/4698/80224/51295/5018/55967/137682/374291/4719/4700/4718/4711/29078/4712/4694/4695/4707/4710/55101/4713/55863/4709",42,-0.713763030909859,-2.68281785362156,58,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0032981","mitochondrial respiratory chain complex I assembly",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"4717/51079/4716/617/4702/79133/51103/51300/4696/4535/90871/9131/25915/4724/4708/84233/54539/25880/57226/55744/4720/4698/80224/51295/5018/55967/137682/374291/4719/4700/4718/4711/29078/4712/4694/4695/4707/4710/55101/4713/55863/4709",42,-0.713763030909859,-2.68281785362156,58,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"adjacent_vs_healthy_u1","adjacent_vs_healthy_u1","ranked","full_rank_covariate_adjusted","ranked_GSEA","GO","Biological Process","GO:0009060","aerobic respiration",NA,NA,1e-10,6.30714285714286e-09,4.43931256713212e-09,"1337/4696/7381/3658/4535/134145/10105/5162/539/3417/92014/5160/51142/10873/1737/2631/387/84275/7124/7384/9650/30968/4190/1345/4724/1350/4729/4191/790955/4708/515/54539/983/1716/7385/9377/7386/54205/4720/1329/9551/4698/4701/1743/522/4697/6390/1738/5018/55967/8802/27069/93974/374291/92259/10476/4719/4700/4718/4711/65084/2647/4712/4694/6392/27089/79736/4695/4707/4710/1349/29796/9167/388753/135154/8803/4713/10975/1347/847/8801/4709/509",83,-0.584127150416367,-2.67037768736387,180,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
