task,model,repeat,outer_fold,n_train,n_test,best_inner_f1_macro,best_parameters,f1_macro,f1_weighted,balanced_accuracy,log_loss,precision_adjacent_normal,recall_adjacent_normal,f1_adjacent_normal,precision_healthy,recall_healthy,f1_healthy,precision_tumor,recall_tumor,f1_tumor,roc_auc_ovr_macro,brier_score_multiclass,roc_auc,pr_auc,brier_score,sensitivity,specificity
task_a_three_class,elastic_net,0,0,196,50,0.9815694815694816,"{""model__C"": 0.2, ""model__l1_ratio"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.958913308913309,0.9602197802197802,0.9666666666666668,0.1391885644595514,0.95,0.95,0.95,0.9090909090909092,1.0,0.9523809523809524,1.0,0.95,0.9743589743589745,0.995,0.0710134530187917,,,,,
task_a_three_class,linear_svm,0,0,196,50,0.9876744876744876,"{""model__C"": 0.05, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.958913308913309,0.9602197802197802,0.9666666666666668,0.2425020920568183,0.95,0.95,0.95,0.9090909090909092,1.0,0.9523809523809524,1.0,0.95,0.9743589743589745,0.9833333333333334,0.0983568516818083,,,,,
task_a_three_class,random_forest,0,0,196,50,0.9617485617485618,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.958913308913309,0.9602197802197802,0.9666666666666668,0.1451619394928023,0.95,0.95,0.95,0.9090909090909092,1.0,0.9523809523809524,1.0,0.95,0.9743589743589745,0.9955555555555556,0.0772048532296132,,,,,
task_a_three_class,elastic_net,0,1,196,50,0.9425430651689232,"{""model__C"": 0.2, ""model__l1_ratio"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.95,0.96,0.95,0.1191755654785755,0.95,0.95,0.95,0.9,0.9,0.9,1.0,1.0,1.0,0.998611111111111,0.0574324267568396,,,,,
task_a_three_class,linear_svm,0,1,196,50,0.9659844054580896,"{""model__C"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9580361159308528,0.960169654906497,0.9499999999999998,0.1341941291782043,0.9090909090909092,1.0,0.9523809523809524,1.0,0.9,0.9473684210526316,1.0,0.95,0.9743589743589745,1.0,0.0513421687529933,,,,,
task_a_three_class,random_forest,0,1,196,50,0.9421343018128244,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9580361159308528,0.960169654906497,0.9499999999999998,0.1317892074183744,0.9090909090909092,1.0,0.9523809523809524,1.0,0.9,0.9473684210526316,1.0,0.95,0.9743589743589745,1.0,0.059336,,,,,
task_a_three_class,elastic_net,0,2,198,48,0.9492114886851728,"{""model__C"": 0.2, ""model__l1_ratio"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9751179751179752,0.9793811668811668,0.9824561403508772,0.1344160823014383,1.0,0.9473684210526316,0.972972972972973,0.9090909090909092,1.0,0.9523809523809524,1.0,1.0,1.0,1.0,0.0563181348338248,,,,,
task_a_three_class,linear_svm,0,2,198,48,0.9521835166572008,"{""model__C"": 0.05, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9751179751179752,0.9793811668811668,0.9824561403508772,0.2306221869320962,1.0,0.9473684210526316,0.972972972972973,0.9090909090909092,1.0,0.9523809523809524,1.0,1.0,1.0,1.0,0.0910783184298829,,,,,
task_a_three_class,random_forest,0,2,198,48,0.9346210049996956,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9739091318038686,0.9788855150697257,0.9666666666666668,0.1366341961774029,0.95,1.0,0.9743589743589745,1.0,0.9,0.9473684210526316,1.0,1.0,1.0,1.0,0.0544829915788518,,,,,
task_a_three_class,elastic_net,0,3,198,48,0.9526958421695264,"{""model__C"": 0.2, ""model__l1_ratio"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9575741154688524,0.9585478335478336,0.9649122807017544,0.1272553901856536,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9090909090909092,1.0,0.9523809523809524,1.0,0.9473684210526316,0.972972972972973,0.9964307320024198,0.0607165077332802,,,,,
task_a_three_class,linear_svm,0,3,198,48,0.9834323535543048,"{""model__C"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9751179751179752,0.9793811668811668,0.9824561403508772,0.1436190869981441,1.0,0.9473684210526316,0.972972972972973,0.9090909090909092,1.0,0.9523809523809524,1.0,1.0,1.0,1.0,0.0567727991058191,,,,,
task_a_three_class,random_forest,0,3,198,48,0.9394981904796657,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9739091318038686,0.9788855150697257,0.9666666666666668,0.1412729318968952,0.95,1.0,0.9743589743589745,1.0,0.9,0.9473684210526316,1.0,1.0,1.0,1.0,0.0671583333333333,,,,,
task_a_three_class,elastic_net,0,4,196,50,0.9461421231158074,"{""model__C"": 0.2, ""model__l1_ratio"": 0.8, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.8941798941798943,0.9174603174603174,0.8833333333333333,0.2523542160333098,0.8636363636363636,0.95,0.9047619047619048,0.875,0.7,0.7777777777777778,1.0,1.0,1.0,0.9808333333333332,0.1369798198003041,,,,,
task_a_three_class,linear_svm,0,4,196,50,0.9516505863745915,"{""model__C"": 0.05, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.8941798941798943,0.9174603174603174,0.8833333333333333,0.2948564425585792,0.8636363636363636,0.95,0.9047619047619048,0.875,0.7,0.7777777777777778,1.0,1.0,1.0,0.9888888888888888,0.1475885154801764,,,,,
task_a_three_class,random_forest,0,4,196,50,0.9092614939400164,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.8136645962732919,0.8621118012422361,0.7999999999999999,0.2340252534442396,0.7692307692307693,1.0,0.8695652173913043,1.0,0.4,0.5714285714285714,1.0,1.0,1.0,0.9855555555555556,0.144778,,,,,
task_a_three_class,elastic_net,1,0,196,50,0.9811726561726564,"{""model__C"": 0.2, ""model__l1_ratio"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.958913308913309,0.9602197802197802,0.9666666666666668,0.1780511656900948,0.95,0.95,0.95,0.9090909090909092,1.0,0.9523809523809524,1.0,0.95,0.9743589743589745,0.9930555555555556,0.0942533837554867,,,,,
task_a_three_class,linear_svm,1,0,196,50,0.9934772829509672,"{""model__C"": 0.05, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.958913308913309,0.9602197802197802,0.9666666666666668,0.2814595594648031,0.95,0.95,0.95,0.9090909090909092,1.0,0.9523809523809524,1.0,0.95,0.9743589743589745,0.9972222222222222,0.1231594257738011,,,,,
task_a_three_class,random_forest,1,0,196,50,0.9827766309313164,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9070753807595912,0.9200694042799304,0.9,0.2054341506643342,0.8636363636363636,0.95,0.9047619047619048,0.8888888888888888,0.8,0.8421052631578947,1.0,0.95,0.9743589743589745,0.9877777777777778,0.1174378340249774,,,,,
task_a_three_class,elastic_net,1,1,196,50,0.9529953986475724,"{""model__C"": 0.2, ""model__l1_ratio"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9755799755799756,0.9802197802197802,0.9833333333333334,0.1278107156500191,1.0,0.95,0.9743589743589745,0.9090909090909092,1.0,0.9523809523809524,1.0,1.0,1.0,1.0,0.0599025115749358,,,,,
task_a_three_class,linear_svm,1,1,196,50,0.9647873147873148,"{""model__C"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.1360697132297147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0449632388946964,,,,,
task_a_three_class,random_forest,1,1,196,50,0.9391777766777768,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9755799755799756,0.9802197802197802,0.9833333333333334,0.1368136758959192,1.0,0.95,0.9743589743589745,0.9090909090909092,1.0,0.9523809523809524,1.0,1.0,1.0,0.998611111111111,0.0610915507796629,,,,,
task_a_three_class,elastic_net,1,2,196,50,0.927525741598968,"{""model__C"": 0.2, ""model__l1_ratio"": 0.8, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9355089355089355,0.9407925407925408,0.9499999999999998,0.2088913228891494,0.9473684210526316,0.9,0.9230769230769232,0.8333333333333334,1.0,0.9090909090909092,1.0,0.95,0.9743589743589745,0.9969444444444444,0.0983250168976923,,,,,
task_a_three_class,linear_svm,1,2,196,50,0.9636716386716389,"{""model__C"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9833229101521784,0.979987492182614,0.9833333333333334,0.1802927941716614,1.0,0.95,0.9743589743589745,1.0,1.0,1.0,0.9523809523809524,1.0,0.975609756097561,0.9988888888888888,0.071336213465665,,,,,
task_a_three_class,random_forest,1,2,196,50,0.9220743027046576,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.958913308913309,0.9602197802197802,0.9666666666666668,0.1527858679137636,0.95,0.95,0.95,0.9090909090909092,1.0,0.9523809523809524,1.0,0.95,0.9743589743589745,0.992777777777778,0.0812779999999999,,,,,
task_a_three_class,elastic_net,1,3,198,48,0.9374730289203972,"{""model__C"": 0.2, ""model__l1_ratio"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.921727395411606,0.9366565452091768,0.9157894736842106,0.1890418190901329,0.9,0.9473684210526316,0.9230769230769232,0.8888888888888888,0.8,0.8421052631578947,1.0,1.0,1.0,0.984573502722323,0.1026773443967858,,,,,
task_a_three_class,linear_svm,1,3,198,48,0.963762576390946,"{""model__C"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9167862266857963,0.9342718794835008,0.9,0.1871300316204227,0.8636363636363636,1.0,0.926829268292683,1.0,0.7,0.8235294117647058,1.0,1.0,1.0,0.9934664246823957,0.0911226441973223,,,,,
task_a_three_class,random_forest,1,3,198,48,0.9331073410020778,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",0.9462962962962962,0.9570601851851852,0.9333333333333332,0.2059642771561639,0.9047619047619048,1.0,0.95,1.0,0.8,0.8888888888888888,1.0,1.0,1.0,0.9890199637023592,0.111229390407013,,,,,
task_a_three_class,elastic_net,1,4,198,48,0.9570943186636384,"{""model__C"": 0.2, ""model__l1_ratio"": 0.2, ""univariate__k"": 50, ""variance_quantile__quantile"": 0.5}",1.0,1.0,1.0,0.1098573252628552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0432139997550005,,,,,
