gene_symbol,entrez_id,log2_fold_change,standard_error,test_statistic,p_value,adjusted_p_value,comparison,direction,annotation_status,method
A1BG,,-0.1239310612244892,0.0382953909399059,-3.236187389207356,0.001753476837806,0.0040586188903267,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A1CF,,-0.5814193673469381,0.0868868947453035,-6.691680823112454,4.408477717532064e-10,3.5090892868649882e-09,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A2BP1,,-0.0443990408163261,0.0211264292971642,-2.101587551394016,0.0376654634702441,0.0616214490869091,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A2LD1,,-0.4079355510204077,0.0634649437189819,-6.427730446381799,5.811508030054445e-09,3.853834687035367e-08,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A2M,,0.8029512653061222,0.0635044984338582,12.64400609576373,3.440673595502127e-25,2.447261586158117e-23,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
A2ML1,,-0.0390795306122448,0.0200645223223748,-1.9476930466799849,0.0543573463063677,0.084867886320069,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A3GALT2,,-0.0622497551020404,0.0260436642786802,-2.3902072471806144,0.0184475322920112,0.0329031395634561,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A4GALT,,-0.0521568571428576,0.02619798799371,-1.990872625614612,0.0487646964384642,0.0772445773867188,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
A4GNT,,-0.0456855918367344,0.0362877529650637,-1.2589810088466658,0.2105506979921684,0.275278808608864,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AAA1,,-0.0593780000000001,0.0199661488459199,-2.973933554148278,0.0037093040032204,0.0079407632360374,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AAAS,,-0.1099906122448972,0.0499638448213224,-2.2014040880608525,0.029521518970519,0.0497160552979553,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AACS,,-0.1093061632653058,0.052226765680638,-2.092914654790287,0.0385468862084337,0.0628204440758265,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AACSL,,-0.033581591836735,0.0360358870844634,-0.9318930253617496,0.353730674514806,0.4288190527672167,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AADAC,,0.0129655918367341,0.0278531285532531,0.4654985816744034,0.6423596568537626,0.7024194731504503,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AADACL2,,0.4161315102040817,0.043872480186312,9.4850236056158,8.254403904404649e-17,1.8106434370952133e-15,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AADACL3,,-0.0577453877551019,0.0359570271308152,-1.6059555631509383,0.1126857925369489,0.1605700860577389,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AADACL4,,-0.0250469795918366,0.0270929346600121,-0.9244838149189066,0.3575413645856796,0.4326948186430648,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AADAT,,-0.0875826938775512,0.0530719800880613,-1.6502624121471805,0.1012324468637757,0.146100252633385,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AAGAB,,0.0752786122448974,0.0532690948666641,1.413176109587078,0.1599175212134704,0.2171465984812778,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AAK1,,0.0030524285714279,0.0291890310368535,0.1045745084026262,0.9168803253768666,0.934750556606101,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AAMP,,-0.106417775510204,0.0374555168614983,-2.8411776001840208,0.0052564248638751,0.0108454094420243,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AANAT,,-0.0755906938775505,0.0301581638833874,-2.5064753335062813,0.0136088597264215,0.025124860776793,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
AARS,,0.1840496938775491,0.049774418975577,3.6976763901123055,0.0003381810794809,0.0009197127214581,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AARS2,,0.1811262857142863,0.0443652463163866,4.082616479182853,9.74311635359034e-05,0.0002995461575526,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AARSD1,,0.4193282040816322,0.0825104119141428,5.082124720428848,1.4063305104673256e-06,6.237254348776585e-06,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AASDH,,0.0395643265306127,0.0475559705858833,0.8319528766458834,0.4071696065879987,0.4828118147496728,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AASDHPPT,,0.0986702857142871,0.0457014009428562,2.159021029522962,0.033008893015842,0.0548420002636677,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AASS,,0.3140491428571432,0.0337387753038422,9.30825556140974,2.3215191441666486e-16,4.752873602680966e-15,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AATF,,0.0609251836734685,0.0440143002172428,1.384213389120312,0.1695911164133926,0.2282957336334132,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
AATK,,0.4296937142857144,0.1039746257798394,4.1326786325306655,6.997647125750352e-05,0.0002218368319585,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABAT,,-0.5247106530612236,0.0726349867744564,-7.22393816482044,1.2056344141484929e-10,1.0549301123799315e-09,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCA1,,0.0179833877551023,0.0329793081749484,0.545293056473598,0.5866972706133563,0.6531054743029878,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA10,,0.1317818571428568,0.0463605361142122,2.842543857090078,0.0053397331353624,0.0109995151895814,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA11P,,0.0103799999999996,0.0340450520028121,0.3048901202777487,0.7610228685273888,0.8066062912915544,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA12,,-0.0332850408163265,0.0225825941400084,-1.4739245903267175,0.1432024746421523,0.1973735388960206,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCA13,,-0.0518796734693878,0.0402406383376838,-1.2892358474543484,0.2012737327109639,0.2647862827897985,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCA2,,-0.1189676122448979,0.0215801083993329,-5.512836638419089,2.190988928988247e-07,1.1226165018282082e-06,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCA3,,0.1513156734693881,0.0354387572434649,4.269779338757463,4.9262114896154165e-05,0.0001611045461392,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA4,,-0.0851167551020406,0.021761994063863,-3.911257160178234,0.000165545686857,0.0004829895614094,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCA5,,0.1179868979591844,0.0936259963111468,1.2601937774534235,0.2099033800454237,0.274545603906359,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA6,,0.1588086938775514,0.0285248620996712,5.567378146216585,1.3463387932358106e-07,7.128556903006071e-07,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA7,,-0.0990368571428566,0.039129724561085,-2.5309878424585137,0.0126668950865857,0.0235870594081752,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCA8,,0.1854600000000004,0.0405745894208366,4.5708410768233,1.0308977221340823e-05,3.896048556854492e-05,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCA9,,0.2910761632653074,0.0325574162153889,8.940395065125726,2.2486926017080888e-15,3.892282466956546e-14,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCB1,,0.0352951836734698,0.0659253700138843,0.5353808960956368,0.5932021891768268,0.6589212812511978,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCB10,,-0.3443506530612232,0.0446526413910226,-7.711764463063872,1.859701857579615e-11,1.8261332319915352e-10,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCB11,,-0.2109566122448982,0.0613495146435888,-3.4386027904288192,0.0009947305643362,0.002436283759321,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCB4,,0.0173307551020407,0.0247830152653963,0.6992996984607865,0.4860761471053634,0.5595459395940822,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCB5,,-0.0329477346938773,0.0177862713464498,-1.85242505593809,0.0662294379312697,0.1009937929049636,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCB7,,0.1170195918367351,0.0311024571879608,3.762390576717238,0.000261978295049,0.0007311736642823,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCB8,,-0.071432040816326,0.0254883511882627,-2.8025367466382063,0.00585465925747,0.0119337022012877,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCB9,,-0.0779760612244899,0.0280538464077585,-2.779514084846669,0.0064080562340578,0.0129274624598921,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC1,,0.3508073061224488,0.0773725252206361,4.534003577136509,1.6642291532889935e-05,6.036754253881203e-05,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCC10,,0.2399153469387753,0.0455775827361212,5.263889230980147,7.402282949169131e-07,3.4662928517506213e-06,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCC11,,-0.0842736530612242,0.0261627863512043,-3.2211268299159954,0.0017788863730583,0.0041117350986533,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC12,,-0.0432500612244899,0.0232884190041618,-1.8571488780221963,0.0665234105896461,0.1013446741580142,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC13,,-0.3515721632653052,0.0841682157076141,-4.177018133384295,5.738942469119745e-05,0.00018545394537,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC2,,0.0208970816326532,0.0283712167872733,0.7365592314682516,0.4629817984231988,0.5373795075577728,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCC3,,-0.0759855510204081,0.0823481568681085,-0.9227352974288066,0.3578486794506175,0.4330116845719579,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC4,,0.1919496122448984,0.0514209310989608,3.732908139595658,0.0003057310376129,0.0008412021612934,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCC5,,0.1652595714285709,0.045645897125037,3.620469348556744,0.000454485824766,0.0012020294629177,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCC6P1,,-0.2603744897959186,0.0922459596776969,-2.822611317673476,0.0057066988434732,0.0116570696255476,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC8,,-0.0752466938775504,0.030253816843331,-2.4871801884441385,0.0142017288373802,0.0260828510720286,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCC9,,0.1127866530612244,0.0424297949549192,2.658194629058608,0.0087325444037885,0.0169712815604913,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCD1,,0.0015231428571427,0.0505335207824833,0.0301412376093671,0.9760007916827894,0.9820872568248764,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCD2,,0.022822326530612,0.0179606911853473,1.2706819740451256,0.2062733216266155,0.270429253168819,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
ABCD3,,-0.7024082857142862,0.0909956125528749,-7.719144539041782,1.2185846716706814e-11,1.2207804943930868e-10,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCD4,,-0.2248002857142861,0.0535536021057751,-4.197668819181895,5.57834697453291e-05,0.0001806936481713,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCE1,,-0.0923749795918364,0.0481697883197531,-1.917695360806807,0.0576143629814914,0.0893376880175582,adjacent_normal_vs_healthy,down,unique_gene_symbol,processed_matrix_welch_t
ABCF1,,0.2441678163265299,0.0354563598667116,6.886432144879263,4.825689018418387e-10,3.822009938048506e-09,adjacent_normal_vs_healthy,up,unique_gene_symbol,processed_matrix_welch_t
