"gene_symbol","entrez_id","comparison","log2_fold_change","standard_error","moderated_statistic","p_value","adjusted_p_value","average_expression","confidence_interval_lower","confidence_interval_upper","direction","mapping_status","analysis_provenance"
"VIP",7432,"adjacent_vs_healthy",4.72795273063212,0.191884311286043,24.8678120438767,7.22280302380706e-55,1.33549627910192e-50,6.5399513447649,4.35226300451113,5.10364245675311,"up","mapped_unique","raw_cel_rma_limma"
"CCN1",3491,"adjacent_vs_healthy",4.43353870707428,0.185382445243726,24.1364553692575,2.55468630353365e-53,2.36180748761686e-49,5.94939201356501,4.07056866429889,4.79650874984967,"up","mapped_unique","raw_cel_rma_limma"
"EGR1",1958,"adjacent_vs_healthy",3.64461807945179,0.160282106076098,22.9454250110437,9.77090034997226e-51,6.02213158236624e-47,7.22347933770495,3.33074816586549,3.9584879930381,"up","mapped_unique","raw_cel_rma_limma"
"FOS",2353,"adjacent_vs_healthy",3.67060296612635,0.162755327668061,22.7582456746923,2.52773798987914e-50,1.16844688582163e-46,7.99915729554303,3.35189538152032,3.98931055073238,"up","mapped_unique","raw_cel_rma_limma"
"CLC",1178,"adjacent_vs_healthy",-3.5746184745732,0.169938391241154,-21.2272939722468,7.08920918882178e-47,2.62158955802629e-43,4.33784761864698,-3.90737672348064,-3.24186022566575,"down","mapped_unique","raw_cel_rma_limma"
"SFRP2",6423,"adjacent_vs_healthy",4.4040032681549,0.211096977371287,21.0571475924885,1.74463680020086e-46,5.37638907261899e-43,5.30493789170937,3.99072567418762,4.81728086212219,"up","mapped_unique","raw_cel_rma_limma"
"ADAMTS1",9510,"adjacent_vs_healthy",2.64991614591567,0.131426275913946,20.3403543604045,8.06876078348742e-45,2.13130552695261e-41,5.62889437484848,2.39248126813542,2.90735102369591,"up","mapped_unique","raw_cel_rma_limma"
"APOLD1",81575,"adjacent_vs_healthy",1.44011874570621,0.0717677910705084,20.2028875823811,1.69574109416375e-44,3.91928160388597e-41,4.0536827350955,1.29926168380131,1.58097580761111,"up","mapped_unique","raw_cel_rma_limma"
"DYNC1H1",1778,"adjacent_vs_healthy",0.76830474248107,0.0389963640743963,19.7034121693481,2.57053529153847e-43,5.2810219489496e-40,7.55285052027324,0.69125240099967,0.84535708396247,"up","mapped_unique","raw_cel_rma_limma"
"KLF2",10365,"adjacent_vs_healthy",2.00163650568029,0.107404734824715,18.7926290657028,3.96066626396158e-41,7.32327192206497e-38,7.39946777245769,1.79116590503067,2.21210710632991,"up","mapped_unique","raw_cel_rma_limma"
"CD248",57124,"adjacent_vs_healthy",2.39106871297058,0.129447699687626,18.6335231120075,9.64967222155824e-41,1.62202217615102e-37,5.90386613808565,2.13750281239797,2.64463461354318,"up","mapped_unique","raw_cel_rma_limma"
"C1R",715,"adjacent_vs_healthy",1.93664455578854,0.105985028892938,18.4253740664652,3.10807704814346e-40,4.78902871834771e-37,7.95026690925211,1.72894891817948,2.1443401933976,"up","mapped_unique","raw_cel_rma_limma"
"OGN",4969,"adjacent_vs_healthy",3.53674396684044,0.194205592149308,18.3801864108841,4.0093320977576e-40,5.70250388365678e-37,5.64825713990816,3.1565130044903,3.91697492919057,"up","mapped_unique","raw_cel_rma_limma"
"CH25H",9023,"adjacent_vs_healthy",2.11096848013481,0.117102497700465,18.1814586429844,1.23212622503832e-39,1.62728670721132e-36,4.82271282364433,1.88154028145812,2.3403966788115,"up","mapped_unique","raw_cel_rma_limma"
"GAP43",2596,"adjacent_vs_healthy",0.706686158093897,0.0389403864422491,18.1487434406749,1.48292868818311e-39,1.82795676296705e-36,2.88383384188023,0.629742329441986,0.783629986745809,"up","mapped_unique","raw_cel_rma_limma"
"AEBP1",165,"adjacent_vs_healthy",1.68998119353292,0.0940549239378986,18.1116859135222,1.82950140787542e-39,2.11421756447603e-36,7.33910064581528,1.50559994028723,1.87436244677861,"up","mapped_unique","raw_cel_rma_limma"
"RSPO3",84870,"adjacent_vs_healthy",2.38129335456094,0.133270915718389,18.0258691549231,2.97737400602671e-39,3.23833208067258e-36,6.24210968742248,2.12025131457099,2.64233539455088,"up","mapped_unique","raw_cel_rma_limma"
"C3orf38",285237,"adjacent_vs_healthy",-0.625882082773845,0.0347297538548947,-17.9785572221754,3.89582471811203e-39,4.00187772432731e-36,6.34290031156764,-0.694673055642286,-0.557091109905405,"down","mapped_unique","raw_cel_rma_limma"
"CCN2",1490,"adjacent_vs_healthy",2.64791972282921,0.149118948330601,17.9168920843322,5.53302206116995e-39,5.38450410058065e-36,6.64416708854634,2.35588404944898,2.93995539620943,"up","mapped_unique","raw_cel_rma_limma"
"SNORA12",677800,"adjacent_vs_healthy",-2.20336025835863,0.125658981104224,-17.6874828599934,2.04880564553511e-38,1.89412081929721e-35,4.66373074159302,-2.44951785832213,-1.95720265839512,"down","mapped_unique","raw_cel_rma_limma"
"GREM1",26585,"adjacent_vs_healthy",2.67039134601187,0.153499932814029,17.5538951046355,4.40352553958548e-38,3.87719939175883e-35,6.92856694371219,2.36978705056119,2.97099564146255,"up","mapped_unique","raw_cel_rma_limma"
"FBLN2",2199,"adjacent_vs_healthy",2.22986941440363,0.128385507572819,17.5208183337452,5.32375594347533e-38,4.47437488158449e-35,5.69458298128774,1.97838051917748,2.48135830962978,"up","mapped_unique","raw_cel_rma_limma"
"NNMT",4837,"adjacent_vs_healthy",2.45370134821551,0.141521055210313,17.4928201453242,6.25207806176372e-38,5.02612710269614e-35,6.78902837709464,2.17652533761614,2.73087735881488,"up","mapped_unique","raw_cel_rma_limma"
"C3",718,"adjacent_vs_healthy",3.31938394862414,0.192246464214269,17.4262402242303,9.16604658777021e-38,7.0616750586613e-35,7.26033003254955,2.94298572770633,3.69578216954195,"up","mapped_unique","raw_cel_rma_limma"
"EFHD1",80303,"adjacent_vs_healthy",1.09356721015302,0.0634311508360513,17.3437799710226,1.47325432850594e-37,1.08961890136299e-34,3.26540692724062,0.968973679293712,1.21816074101234,"up","mapped_unique","raw_cel_rma_limma"
"TIMP3",7078,"adjacent_vs_healthy",2.84752561098242,0.165777045573283,17.3335890261136,1.56232645061599e-37,1.11105446430345e-34,6.41144337735817,2.52290737565248,3.17214384631236,"up","mapped_unique","raw_cel_rma_limma"
"IGFBP6",3489,"adjacent_vs_healthy",3.19958428420051,0.186959167111917,17.2719547021367,2.22878578786846e-37,1.52630552658103e-34,5.64696979798418,2.83352971379583,3.56563885460519,"up","mapped_unique","raw_cel_rma_limma"
"RERGL",79785,"adjacent_vs_healthy",3.16146887208053,0.186355259581118,17.1214591800995,5.31629389268381e-37,3.51065264556156e-34,4.51228605604122,2.79659572346574,3.52634202069532,"up","mapped_unique","raw_cel_rma_limma"
"TGFBR3",7049,"adjacent_vs_healthy",1.98967950635164,0.117300692713249,17.1079213646179,5.74943395375121e-37,3.66575978637448e-34,7.29630087255522,1.75986382966803,2.21949518303524,"up","mapped_unique","raw_cel_rma_limma"
"TCIM",56892,"adjacent_vs_healthy",1.98039663422665,0.11686158136469,17.0919510971998,6.30615527088289e-37,3.88669369862082e-34,8.03540181282691,1.75143943331601,2.20935383513729,"up","mapped_unique","raw_cel_rma_limma"
"MGP",4256,"adjacent_vs_healthy",2.98323327103367,0.176293104115845,17.0774850659923,6.85700126339962e-37,4.08986946323416e-34,6.34600616153304,2.63804417488811,3.32842236717924,"up","mapped_unique","raw_cel_rma_limma"
"EBF1",1879,"adjacent_vs_healthy",2.16672632646725,0.129070827822377,16.9344464333754,1.57144689769973e-36,9.08001660577124e-34,4.6808633565782,1.91389736276884,2.41955529016566,"up","mapped_unique","raw_cel_rma_limma"
"SPTBN1",6711,"adjacent_vs_healthy",0.976204285201541,0.0581361921022655,16.880922252758,2.14449664145172e-36,1.20156796668007e-33,5.61813006867025,0.861932684994238,1.09047588540884,"up","mapped_unique","raw_cel_rma_limma"
"CILP",8483,"adjacent_vs_healthy",3.1998097692273,0.192491864751226,16.7770958869979,3.92319199399962e-36,2.13352411673685e-33,5.00030079392135,2.82293146045761,3.57668807799699,"up","mapped_unique","raw_cel_rma_limma"
"ATP5F1C",509,"adjacent_vs_healthy",-0.798902081352651,0.0477955735182718,-16.769291800314,4.1056044266754e-36,2.1689321671208e-33,9.88617027779567,-0.893041735782143,-0.704762426923158,"down","mapped_unique","raw_cel_rma_limma"
"PTGIS",5740,"adjacent_vs_healthy",1.57450619386462,0.0949802647086394,16.7102690635767,5.79090816543911e-36,2.97427477719359e-33,3.71915334161397,1.38831690223384,1.7606954854954,"up","mapped_unique","raw_cel_rma_limma"
"SFRP1",6422,"adjacent_vs_healthy",2.34103959499526,0.142250963225705,16.6041243899393,1.07592390862192e-35,5.37671164065386e-33,4.72313802334155,2.06243610657607,2.61964308341446,"up","mapped_unique","raw_cel_rma_limma"
"MFAP5",8076,"adjacent_vs_healthy",3.36644975837782,0.205003625860394,16.574327241312,1.28056157302442e-35,6.2309430224267e-33,5.12406027447706,2.96509353901095,3.76780597774468,"up","mapped_unique","raw_cel_rma_limma"
"NIPSNAP3A",25934,"adjacent_vs_healthy",-1.02197387810773,0.0620751109961808,-16.5597516940228,1.39445730144241e-35,6.56030825586296e-33,8.90920391223657,-1.14392329943856,-0.900024456776891,"down","mapped_unique","raw_cel_rma_limma"
"C11orf96",387763,"adjacent_vs_healthy",2.01585934089187,0.122811922717817,16.5567420828669,1.41921217000821e-35,6.56030825586296e-33,7.33853319732252,1.77526848844054,2.25645019334321,"up","mapped_unique","raw_cel_rma_limma"
"MCEE",84693,"adjacent_vs_healthy",-0.993657937453602,0.060585115753348,-16.4938068480679,2.05093042843148e-35,9.2491960052922e-33,6.34488476657752,-1.11270255680859,-0.874613318098611,"down","mapped_unique","raw_cel_rma_limma"
"GAL",51083,"adjacent_vs_healthy",3.01225126206585,0.185021258107061,16.4308652873922,2.9651979933677e-35,1.30539311660402e-32,4.5733659846561,2.64998780349911,3.37451472063259,"up","mapped_unique","raw_cel_rma_limma"
"SLIT3",6586,"adjacent_vs_healthy",2.13701034477996,0.133121377831933,16.194841898604,1.18585038139856e-34,5.0991566400138e-32,4.15882397648961,1.87626072672945,2.39775996283048,"up","mapped_unique","raw_cel_rma_limma"
"HTRA1",5654,"adjacent_vs_healthy",2.47877449762279,0.154739331908313,16.16394567479,1.42238237470642e-34,5.97723866098222e-32,6.0807862975548,2.17574604635059,2.78180294889498,"up","mapped_unique","raw_cel_rma_limma"
"COL6A3",1293,"adjacent_vs_healthy",2.31545834582168,0.144569115958488,16.1597215079368,1.45820569266567e-34,5.99160516830852e-32,7.07317149570901,2.03232118706899,2.59859550457437,"up","mapped_unique","raw_cel_rma_limma"
"SIK1",150094,"adjacent_vs_healthy",2.78635089424383,0.174372356475217,16.1259632186543,1.77900470372555e-34,7.15082542867076e-32,6.0660964703047,2.44491913814182,3.12778265034585,"up","mapped_unique","raw_cel_rma_limma"
