probe_id,gene_symbol,entrez_id,symbol_count,entrez_count,mapping_status,accession
11715100_at,H3C8,8355.0,1,1,mapped_unique,GSE44076
11715101_s_at,H3C8,8355.0,1,1,mapped_unique,GSE44076
11715102_x_at,H3C8,8355.0,1,1,mapped_unique,GSE44076
11715103_x_at,TNFAIP8L1,126282.0,1,1,mapped_unique,GSE44076
11715104_s_at,OTOP2,92736.0,1,1,mapped_unique,GSE44076
11715105_at,C17orf78,284099.0,1,1,mapped_unique,GSE44076
11715106_x_at,CTAGE15,441294.0,2,2,ambiguous,GSE44076
11715106_x_at,CTAGE6,340307.0,2,2,ambiguous,GSE44076
11715107_s_at,F8A1,8263.0,3,3,ambiguous,GSE44076
11715107_s_at,F8A2,474383.0,3,3,ambiguous,GSE44076
11715107_s_at,F8A3,474384.0,3,3,ambiguous,GSE44076
11715108_x_at,LINC01098,285501.0,1,1,mapped_unique,GSE44076
11715109_at,SAMD7,344658.0,1,1,mapped_unique,GSE44076
11715110_at,ARRDC5,645432.0,1,1,mapped_unique,GSE44076
11715111_s_at,CGB1,114335.0,6,6,ambiguous,GSE44076
11715111_s_at,CGB2,114336.0,6,6,ambiguous,GSE44076
11715111_s_at,CGB3,1082.0,6,6,ambiguous,GSE44076
11715111_s_at,CGB5,93659.0,6,6,ambiguous,GSE44076
11715111_s_at,CGB7,94027.0,6,6,ambiguous,GSE44076
11715111_s_at,CGB8,94115.0,6,6,ambiguous,GSE44076
11715112_at,ERICH3,127254.0,1,1,mapped_unique,GSE44076
11715113_x_at,FAM86C1P,55199.0,1,1,mapped_unique,GSE44076
11715114_x_at,FAM86C1P,55199.0,1,1,mapped_unique,GSE44076
11715115_s_at,H2BC10,8346.0,1,1,mapped_unique,GSE44076
11715116_s_at,H4C5,8367.0,1,1,mapped_unique,GSE44076
11715117_x_at,H2AC14,8331.0,1,1,mapped_unique,GSE44076
11715118_s_at,H2BC7,8343.0,1,1,mapped_unique,GSE44076
11715119_s_at,C2CD4B,388125.0,1,1,mapped_unique,GSE44076
11715120_s_at,H2BC6,8344.0,1,1,mapped_unique,GSE44076
11715121_s_at,H3C1,8350.0,1,1,mapped_unique,GSE44076
11715122_at,RAB3D,9545.0,1,1,mapped_unique,GSE44076
11715123_s_at,PDZD9,255762.0,1,1,mapped_unique,GSE44076
11715124_s_at,CACNG8,59283.0,1,1,mapped_unique,GSE44076
11715125_at,MORC2,22880.0,1,1,mapped_unique,GSE44076
11715126_s_at,H2BC15,8341.0,1,1,mapped_unique,GSE44076
11715127_s_at,GPR32,2854.0,1,1,mapped_unique,GSE44076
11715128_s_at,PCDHGB5,56101.0,1,1,mapped_unique,GSE44076
11715129_s_at,ZNF600,162966.0,1,1,mapped_unique,GSE44076
11715130_s_at,KRTAP6-2,337967.0,1,1,mapped_unique,GSE44076
11715131_s_at,KRTAP20-1,337975.0,1,1,mapped_unique,GSE44076
11715132_x_at,H2BC9,8345.0,1,1,mapped_unique,GSE44076
11715133_s_at,PCDHGA1,56114.0,1,1,mapped_unique,GSE44076
11715134_s_at,GLIPR1L2,144321.0,1,1,mapped_unique,GSE44076
11715135_s_at,SNAPC5,10302.0,1,1,mapped_unique,GSE44076
11715136_at,OR8U9,504190.0,1,1,mapped_unique,GSE44076
11715137_s_at,SSX7,280658.0,1,1,mapped_unique,GSE44076
11715138_s_at,CGB1,114335.0,6,6,ambiguous,GSE44076
11715138_s_at,CGB2,114336.0,6,6,ambiguous,GSE44076
11715138_s_at,CGB3,1082.0,6,6,ambiguous,GSE44076
11715138_s_at,CGB5,93659.0,6,6,ambiguous,GSE44076
11715138_s_at,CGB7,94027.0,6,6,ambiguous,GSE44076
11715138_s_at,CGB8,94115.0,6,6,ambiguous,GSE44076
11715139_x_at,IFNA10,3446.0,1,1,mapped_unique,GSE44076
11715140_s_at,PCDHA11,56138.0,2,2,ambiguous,GSE44076
11715140_s_at,PCDHA13,56136.0,2,2,ambiguous,GSE44076
11715141_s_at,PCDHGB3,56102.0,1,1,mapped_unique,GSE44076
11715142_s_at,GSC2,2928.0,1,1,mapped_unique,GSE44076
11715143_s_at,OR9Q2,219957.0,1,1,mapped_unique,GSE44076
11715144_s_at,KRTAP19-7,337974.0,1,1,mapped_unique,GSE44076
11715145_s_at,KRTAP20-2,337976.0,1,1,mapped_unique,GSE44076
11715146_x_at,SSX7,280658.0,1,1,mapped_unique,GSE44076
11715147_at,CFAP91,89876.0,1,1,mapped_unique,GSE44076
11715148_s_at,H2AC21,317772.0,1,1,mapped_unique,GSE44076
11715149_x_at,H2AC21,317772.0,1,1,mapped_unique,GSE44076
11715150_s_at,PCDHA4,56144.0,1,1,mapped_unique,GSE44076
11715151_x_at,PRB3,5544.0,1,1,mapped_unique,GSE44076
11715152_at,PCDHGB1,56104.0,1,1,mapped_unique,GSE44076
11715153_s_at,PCDHGB1,56104.0,1,1,mapped_unique,GSE44076
11715154_s_at,ZNF675,171392.0,1,1,mapped_unique,GSE44076
11715155_s_at,TUBB7P,56604.0,3,3,ambiguous,GSE44076
11715155_s_at,TUBB8,347688.0,3,3,ambiguous,GSE44076
11715155_s_at,TUBBP5,643224.0,3,3,ambiguous,GSE44076
11715156_s_at,KRTAP6-1,337966.0,1,1,mapped_unique,GSE44076
