gene_symbol,u0_log2fc,u0_fdr,u1_log2fc,u1_fdr,u2_log2fc,u2_fdr,qc_log2fc,qc_fdr,deposited_log2fc,deposited_fdr,sample_direction_consistency,subgroups_tested,subgroup_labels,subgroup_sign_agreement_fraction,subgroup_effect_min,subgroup_effect_max,major_demographic_subgroup_dependence,healthy,adjacent_normal,tumor,healthy_to_adjacent,adjacent_to_tumor,trajectory_category,u0_screen,u1_adjusted_support,u2_location_support,qc_robust,unadjusted_adjusted_sign_agreement,location_adjusted_sign_agreement,qc_sign_agreement,deposited_support,direction_consistent,high_direction_consistency,subgroup_robust,evidence_score,evidence_tier,composition_adjusted_log2fc,composition_adjusted_fdr,composition_robust
CLC,-3.5746184745732,2.6215895580258397e-43,-3.68717832725262,7.358627435541619e-42,-3.62689669446287,1.65137217904881e-41,-3.69208840176318,1.47484561771526e-41,-3.57908697959184,8.18968906087578e-24,1.0,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,-3.91794455958922,-3.12318165748517,False,6.70482471667518,3.13020624210198,2.95963786210127,-3.5746184745732,-0.170568380000716,monotonic_down,True,True,True,True,True,True,True,True,True,True,True,1.0,Tier 1 - high-confidence,-3.64049978374823,1.35538313316156e-32,True
SNORA12,-2.20336025835863,1.8941208192968902e-35,-2.12035686791791,7.725199769857181e-31,-2.11748244150513,2.79523273340533e-30,-2.11261457558831,1.07326440366526e-30,-2.20076604081633,6.10328898902952e-27,1.0,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,-2.33152912612222,-1.98013071506556,False,6.12271253428995,3.91935227593132,3.39490681462003,-2.20336025835863,-0.524445461311288,monotonic_down,True,True,True,True,True,True,True,True,True,True,True,1.0,Tier 1 - high-confidence,-1.93383924762025,6.6432070045495005e-21,True
GAL,3.01225126206586,1.30539311660383e-32,2.86709801677729,6.24050826334235e-28,2.8837522915687,1.04973755029867e-27,2.88003618663841,4.27144097206717e-28,3.0059716122449,1.3361227578948298e-40,1.0,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,2.82419916693612,3.24088149108283,False,2.57876717599088,5.59101843805673,5.90639094644765,3.01225126206585,0.315372508390918,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,1.0,Tier 1 - high-confidence,1.85853713819869,2.1429463248158303e-15,True
SIK1,2.78635089424384,7.150825428669741e-32,2.61953510153896,1.50673864552878e-27,2.61725688758178,4.7496683024866e-27,2.61581263561506,2.60057921409295e-27,2.78904224489796,3.3545032390413498e-40,1.0,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,2.37897165852662,2.9962708200521,False,4.22108033762973,7.00743123187356,7.10422249790513,2.78635089424384,0.0967912660315706,field_shift_then_plateau,True,True,True,True,True,True,True,True,True,True,True,1.0,Tier 1 - high-confidence,2.25744622437702,3.0999721672675204e-17,True
THBS2,2.35865132552248,2.79467216032952e-25,2.2524546653028,2.6613030861439e-21,2.25131826088682,6.48552992626926e-21,2.27301261485808,6.501945392510129e-22,2.37124710204082,9.16550228202263e-33,1.0,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,2.12865123631686,2.43716064774024,False,2.57319531137867,4.93184663690115,6.75297796316687,2.35865132552248,1.82113132626572,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,1.0,Tier 1 - high-confidence,1.12291479443308,4.40615399585261e-09,True
CH25H,2.11096848013481,1.62728670721118e-36,2.06052679503787,4.19626591949821e-32,2.04089003953042,2.01316629792839e-31,2.07459494414877,8.487602487425059e-33,2.10843326530612,1.51266893680661e-39,0.989795918367347,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,1.75560275634334,2.4418760644063,False,3.4249093705821,5.5358778507169,5.49647236523215,2.11096848013481,-0.039405485484754,field_shift_then_plateau,True,True,True,True,True,True,True,True,True,True,True,0.998542274052478,Tier 1 - high-confidence,1.85214726140319,4.24470616930801e-22,True
NNMT,2.45370134821551,5.02612710269707e-35,2.4567022945962,1.01960764721332e-31,2.44299859082624,5.001035227710131e-31,2.4691390471808,5.59454756086328e-32,2.45294804081633,6.20681993057821e-38,0.989795918367347,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,2.13858919904495,2.75447469574311,False,5.16428018706005,7.61798153527555,7.89865716910488,2.4537013482155,0.280675633829331,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.998542274052478,Tier 1 - high-confidence,1.75819102244551,8.38358957986481e-20,True
COL6A3,2.31545834582168,5.99160516830817e-32,2.22395025845559,1.98780303424081e-27,2.19606966145831,9.20113045162188e-27,2.23510316150471,1.17630873031774e-27,2.31028787755102,7.60476143533873e-41,0.989795918367347,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,2.20826049972773,2.34860487136937,False,5.5399625910433,7.85542093686498,8.53435325446176,2.31545834582168,0.678932317596779,monotonic_up,True,True,True,True,True,True,True,True,True,True,True,0.998542274052478,Tier 1 - high-confidence,1.14468164259511,1.6622164875668198e-18,True
TIMP3,2.84752561098242,1.1110544643033999e-34,2.76610822206652,2.7350556212404097e-30,2.73687650322038,1.28397466712644e-29,2.79473987590131,8.28524761142474e-32,2.84698808163265,1.94452252200483e-43,0.979591836734694,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,2.61109289894935,2.94754561986204,False,4.52591966197792,7.37344527296034,7.35441672196695,2.84752561098242,-0.0190285509933909,field_shift_then_plateau,True,True,True,True,True,True,True,True,True,True,True,0.997084548104956,Tier 1 - high-confidence,1.60228585133504,3.2759512622520803e-21,True
HTRA1,2.47877449762279,5.97723866098153e-32,2.40044164060159,9.8946928294673e-28,2.37784894265111,4.70989767461676e-27,2.41714829576164,2.90823642424514e-28,2.47650830612245,7.15467632289206e-41,0.979591836734694,6,sex=Female;sex=Male;location=Left;location=Right;age_stratum=age_lower;age_stratum=age_upper,1,2.28001353146013,2.59267448468423,False,4.43943561669647,6.91821011431925,6.88366080988782,2.47877449762279,-0.0345493044314286,field_shift_then_plateau,True,True,True,True,True,True,True,True,True,True,True,0.997084548104956,Tier 1 - high-confidence,1.30215453802955,9.592929602186321e-19,True
