task,panel_size,outer_folds,effective_gene_count_median,outer_fold_macro_f1_mean,outer_fold_macro_f1_sd,outer_fold_balanced_accuracy_mean,outer_fold_roc_auc_mean,outer_fold_pr_auc_mean,outer_fold_brier_mean,outer_fold_log_loss_mean,analysis_provenance
task_a_three_class,10,15,10.0,0.9442316983735151,0.0295795619124884,0.94953216374269,,,,0.18934439251209145,raw_cel_rma
task_a_three_class,15,15,15.0,0.9429288141485124,0.027846056335127278,0.9484210526315789,,,,0.18248332441784998,raw_cel_rma
task_a_three_class,20,15,20.0,0.9432527314172306,0.02376604910018292,0.9494736842105262,,,,0.18003408930563208,raw_cel_rma
task_a_three_class,3,15,3.0,0.9305298864530157,0.04290131424599733,0.937251461988304,,,,0.26222097788953297,raw_cel_rma
task_a_three_class,5,15,5.0,0.9443726379800128,0.02420927190502804,0.9505847953216374,,,,0.22496347717310197,raw_cel_rma
task_a_three_class,full_nonzero,15,39.0,0.9432007252291525,0.021065924786332357,0.9494736842105262,,,,0.17714384424200258,raw_cel_rma
task_a_three_class,nested_selected_policy,15,10.0,0.948173919081065,0.022995094261187538,0.9539766081871345,,,,0.20949288995527876,raw_cel_rma
task_b_field_effect,10,15,10.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.020020744150067937,0.13277949190413468,raw_cel_rma
task_b_field_effect,15,15,15.0,0.9926277926277927,0.015262668412479197,0.9949122807017544,1.0,0.9999999999999999,0.019800856997569696,0.12778201794145957,raw_cel_rma
task_b_field_effect,20,15,20.0,0.9926277926277927,0.015262668412479197,0.9949122807017544,1.0,0.9999999999999999,0.020282433298645267,0.12727640696956477,raw_cel_rma
task_b_field_effect,3,15,3.0,0.9974326059050064,0.009943474573061425,0.9966666666666666,1.0,0.9999999999999999,0.03466604568664325,0.18739652355315722,raw_cel_rma
task_b_field_effect,5,15,5.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.024812490919892346,0.1538740498456127,raw_cel_rma
task_b_field_effect,full_nonzero,15,20.0,0.9926277926277927,0.015262668412479197,0.9949122807017544,1.0,0.9999999999999999,0.020009778524691803,0.12621873979230006,raw_cel_rma
task_b_field_effect,nested_selected_policy,15,5.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.028432443074252474,0.16593865289211962,raw_cel_rma
task_c_tumor_vs_adjacent,10,15,10.0,0.994908980274834,0.010543338050284751,0.9949122807017544,0.9989279778393352,0.9990867484917827,0.013780746540570573,0.09401097042251597,raw_cel_rma
task_c_tumor_vs_adjacent,15,15,15.0,0.9881439819822362,0.016187246783892956,0.9881578947368421,0.9996666666666667,0.9996969696969696,0.013226196546849844,0.08545894628539534,raw_cel_rma
task_c_tumor_vs_adjacent,20,15,20.0,0.9863810652193195,0.01906143635449984,0.9864035087719298,0.9996666666666667,0.9996969696969696,0.013374495656662478,0.08322759351086076,raw_cel_rma
task_c_tumor_vs_adjacent,3,15,3.0,0.9898116909670183,0.016022413474020218,0.9898245614035088,0.9901759002770082,0.9950024315813788,0.025689363347240902,0.147108304298792,raw_cel_rma
task_c_tumor_vs_adjacent,5,15,5.0,0.994908980274834,0.010543338050284751,0.9949122807017544,0.9926939058171745,0.9957799486088958,0.018199302883820625,0.11922855241825224,raw_cel_rma
task_c_tumor_vs_adjacent,full_nonzero,15,20.0,0.9847133562345373,0.01887823306238815,0.9847368421052631,0.9996666666666667,0.9996969696969696,0.013801637448973246,0.08385565604932955,raw_cel_rma
task_c_tumor_vs_adjacent,nested_selected_policy,15,3.0,0.9898116909670183,0.016022413474020218,0.9898245614035088,0.9903605724838411,0.9950524816314289,0.02292343593205848,0.13663195686857932,raw_cel_rma
