scenario,gene_symbol,selected_folds,selection_frequency,median_coefficient,panel_was_locked_before_sensitivity
age_sex_location_residualized,CLC,15,1.0,0.4236823834560803,True
age_sex_location_residualized,DYNC1H1,15,1.0,-0.4132635388233807,True
age_sex_location_residualized,FOS,15,1.0,-0.4371123697321345,True
age_sex_location_residualized,SNORA12,15,1.0,0.4039492125766623,True
age_sex_location_residualized,VIP,15,1.0,-0.5008292277603333,True
age_sex_matched_fixed_panel,CLC,15,1.0,0.36843463093486345,True
age_sex_matched_fixed_panel,DYNC1H1,15,1.0,-0.32185974704231557,True
age_sex_matched_fixed_panel,FOS,15,1.0,-0.39846678952708564,True
age_sex_matched_fixed_panel,SNORA12,15,1.0,0.3149431944862257,True
age_sex_matched_fixed_panel,VIP,15,1.0,-0.40567516299020717,True
borderline_sample_excluded_fixed_panel,CLC,15,1.0,0.453786811102631,True
borderline_sample_excluded_fixed_panel,DYNC1H1,15,1.0,-0.4146111568786683,True
borderline_sample_excluded_fixed_panel,FOS,15,1.0,-0.4772444852456123,True
borderline_sample_excluded_fixed_panel,SNORA12,15,1.0,0.41802705209734503,True
borderline_sample_excluded_fixed_panel,VIP,15,1.0,-0.5159027175470215,True
composition_and_demographic_residualized,CLC,15,1.0,0.252111152919612,True
composition_and_demographic_residualized,DYNC1H1,15,1.0,-0.1429110788241185,True
composition_and_demographic_residualized,FOS,15,1.0,-0.2636677380126893,True
composition_and_demographic_residualized,SNORA12,15,1.0,0.19485852885794872,True
composition_and_demographic_residualized,VIP,15,1.0,-0.21977005373360645,True
primary_fixed_panel,CLC,15,1.0,0.4606459402577414,True
primary_fixed_panel,DYNC1H1,15,1.0,-0.4150888583690072,True
primary_fixed_panel,FOS,15,1.0,-0.47510455954744046,True
primary_fixed_panel,SNORA12,15,1.0,0.42483666554820754,True
primary_fixed_panel,VIP,15,1.0,-0.5151146434255209,True
