"population","method","healthy_n","adjacent_normal_n","healthy_mean","adjacent_normal_mean","adjusted_difference","standard_error","statistic","p_value","adjusted_p_value"
"T cells","MCP-counter 1.2.0; age/sex-adjusted linear model",50,98,3.30298677389924,3.2817779131351,-0.00544656578101429,0.0385110239315026,-0.141428744940716,0.887728911175756,0.909970702991301
"CD8 T cells","MCP-counter 1.2.0; age/sex-adjusted linear model",50,98,2.72434927157339,2.59516429516729,-0.133755776969454,0.0602744230109373,-2.21911335335691,0.0280434113549128,0.0467390189248547
"Cytotoxic lymphocytes","MCP-counter 1.2.0; age/sex-adjusted linear model",50,98,3.11893653477919,2.98798556607408,-0.142625127599024,0.0475398593172922,-3.00011673671794,0.00318123452171604,0.00636246904343207
"B lineage","MCP-counter 1.2.0; age/sex-adjusted linear model",50,98,3.335368207902,3.38988828047819,0.0770321248555307,0.111410338525366,0.691427078268789,0.490410406063809,0.613013007579761
"NK cells","MCP-counter 1.2.0; age/sex-adjusted linear model",50,98,2.9893552723637,2.83476362514384,-0.149071116009677,0.0340165966041913,-4.38230543002968,2.24919357348421e-05,7.49731191161405e-05
"Monocytic lineage","MCP-counter 1.2.0; age/sex-adjusted linear model",50,98,4.01937336253236,3.87973608096062,-0.149260160121646,0.0466332445275627,-3.20072432518449,0.00168679697520297,0.00421699243800742
"Myeloid dendritic cells","MCP-counter 1.2.0; age/sex-adjusted linear model",50,98,3.06401720214912,2.98491684167836,-0.0599595812602885,0.0439135813941777,-1.36539948136041,0.174256694805269,0.248938135436098
"Neutrophils","MCP-counter 1.2.0; age/sex-adjusted linear model",50,98,3.6591343760386,3.67667214555034,-0.00286188175953743,0.0252650141267556,-0.113274496708344,0.909970702991301,0.909970702991301
"Endothelial cells","MCP-counter 1.2.0; age/sex-adjusted linear model",50,98,3.62821512818957,3.99640514941501,0.359777036778668,0.0274931570998529,13.0860575768722,2.82807765798929e-26,2.82807765798929e-25
"Fibroblasts","MCP-counter 1.2.0; age/sex-adjusted linear model",50,98,5.27509056114693,6.68871743251693,1.37602732134561,0.117271153622761,11.733723757609,9.86336920875906e-23,4.93168460437953e-22
