"population","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"T cells",-0.413923608227152,0.246635777395507,0.340880047354014,0.0385513798326197,-0.20418896842461,0.0723823691632406,0.305122861458202,0.0872255469226284,-0.695439803285257,0.137388156272056
"CD8 T cells",-0.379851246065043,0.00877941011868591,0.173022410536628,-0.192197074790227,0.422884772493382,0.72012915680838,0.0915700105659374,-0.0505342598034686,0.28185219744109,-0.0310243448173983
"Cytotoxic lymphocytes",-0.438849261904311,0.0326357959070794,0.176813613379617,-0.0328633175836841,0.333678686352641,-0.370629039432233,-0.651124714924154,-0.243615910325531,-0.126936424983351,-0.160844228680281
"B lineage",-0.246895628286104,0.285303143216033,0.308331030336199,0.276211256234099,-0.623658006907494,0.0432373386999166,-0.151275763087362,-0.0590743598706116,0.512249165909924,-0.0818037979606367
"NK cells",-0.403194240285323,-0.264656165288322,0.0913078004578624,-0.236081888655029,0.0807673676817375,-0.506487533628726,0.452807609974893,0.347903440239505,0.326305029869149,-0.0878649469193045
"Monocytic lineage",-0.226983621822948,0.400792718985922,-0.494259762417278,0.214323478311101,0.123797151844427,0.0457967617250113,-0.215282735167507,0.643106237105866,0.0290074792041232,0.13935410086223
"Myeloid dendritic cells",-0.169123121711513,0.483180909946944,-0.439909923940563,0.0244092621017438,0.113301202576107,-0.178113001642897,0.386053998030715,-0.582920448147591,0.0946528868155426,-0.0382428241846062
"Neutrophils",0.0749199613115369,-0.103594827851319,0.240158793006221,0.844450000658418,0.400400066590011,-0.0728198237160033,0.211380703295579,-0.00456722381749791,0.0461336267467229,-0.0207159055334988
"Endothelial cells",0.278839069986427,0.411860032473565,0.401935272936689,-0.213186465341322,0.245947615535599,-0.200265539063359,-0.0163160788810768,0.0363923698297038,0.195408618627794,0.636590913455948
"Fibroblasts",0.323697595987237,0.460574294443329,0.249307406195558,-0.152944838561753,0.15390858051425,-0.0343397509897752,0.0793733483867456,0.226352715631038,-0.0426888713858335,-0.716463390217294
