"gene_symbol","entrez_id","model","contrast","comparison","log2_fold_change","standard_error","moderated_statistic","p_value","adjusted_p_value","average_expression","confidence_interval_lower","confidence_interval_upper","direction","mapping_status","analysis_provenance"
"LY96",23643,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-1.6484258937839,0.0913200344525692,-18.1948734722049,2.78169440839856e-39,5.14335296112894e-35,6.55464299194266,-1.82748770859585,-1.46936407897195,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"CCN1",3491,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",3.273035481176,0.188780640804948,17.5194085597307,1.22573843658369e-37,1.13319518462162e-33,5.94939201356501,2.90379112463385,3.64227983771814,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"VIP",7432,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",3.64594600968638,0.213287214762025,17.2760032571257,4.85944826519072e-37,2.99503994744588e-33,6.5399513447649,3.22883702031432,4.06305499905843,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"CLC",1178,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-3.64049978374823,0.216938781418834,-16.9601752947558,2.93214306795362e-36,1.35538313316156e-32,4.33784761864698,-4.06474139805517,-3.21625816944128,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"FOS",2353,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",3.47588891328686,0.213700164788114,16.4384134538425,5.85374082801168e-35,2.16471335819872e-31,7.99915729554303,3.05797331356772,3.89380451300601,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"RPS15A",6210,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.768657626649972,0.048767563992823,-15.759741601206,3.00405071161886e-33,9.25748294297211e-30,10.598680089796,-0.865055275583353,-0.672259977716592,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"MCEE",84693,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-1.17817214532254,0.0759375847717774,-15.6160346008128,6.95787568569261e-33,1.83787316326366e-29,6.34488476657752,-1.32728688750371,-1.02905740314137,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"EGR1",1958,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",3.10286429875562,0.202267620443656,15.5026257054725,1.35195458774861e-32,3.12470504093397e-29,7.22347933770495,2.70727902619994,3.4984495713113,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"NSMCE2",286053,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",-0.854825758035531,0.056490187116156,-15.1737189545556,9.34613931256805e-32,1.92011239877092e-28,7.17555485913445,-0.96617010127755,-0.743481414793512,"down","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
"SFRP2",6423,"U3_age_sex_composition_pc_adjusted","adjacent_vs_healthy","adjacent_vs_healthy",3.13202647860602,0.211882886045031,14.9390838019611,3.73480773254716e-31,6.90565949747971e-28,5.30493789170937,2.71766053370081,3.54639242351123,"up","mapped_unique","raw_cel_rma_limma_MCPcounter_PC1_PC2; variance_explained=0.332;0.2193"
